,,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction,- - Adopted,,,,,,,,,
From Date:,7/1/2022,,To Date: 6/30/2023,Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,Percentage
,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,FY23,Adopted,,
Account,,,Description,,,,,,,,,
1000.4100.1000.51010.950,,Teachers,Salary,"$47,921",,"$52,617",,"$22,961","$31,726","$141,542","$109,816",346.14
1000.4100.1000.51010.990,,Teacher,Salaries,"$11,980",,"$12,707",,"$7,108","$7,932","$15,821","$7,889",99.47
1000.4100.1000.52010.950,,Teacher,Benefits,"$8,024",,"$7,981",,"$1,115",$601,"$27,709","$27,108","4,507.88"
1000.4100.1000.52010.990,,Teacher,Benefits,"$2,006",,"$1,940",,$322,$150,"$1,158","$1,008",670.25
1000.4100.1000.52310.950,,Retirement,,"$1,917",,"$2,189",,$177,"$1,320","$5,888","$4,568",346.12
1000.4100.1000.52310.990,,Retirement,,$479,,$529,,$105,$330,$658,$328,99.42
1000.4100.1000.53000.950,,Purchased,Professional Services,$0,,$0,,$0,$200,$200,$0,0.00
1000.4100.1000.53000.990,,Purchased,Professional Services,$0,,$0,,$0,$200,$200,$0,0.00
1000.4100.1000.53400.950,,,Professional Services,$0,,$643,,$0,$0,$250,$250,0.00
1000.4100.1000.53400.990,,,Professional Services,$0,,$0,,$0,$0,$250,$250,0.00
1000.4100.1000.55800.950,,Travel,,$170,,$164,,$0,$170,$200,$30,17.65
1000.4100.1000.55800.990,,,Travel-Other,$140,,$30,,$0,$140,$200,$60,42.86
1000.4100.1000.56100.950,,,Instructional Supplies,$237,,$264,,$223,$350,$350,$0,0.00
1000.4100.1000.56100.990,,,Instructional Supplies,$0,,$590,,$0,$400,$350,($50),(12.50)
1000.4200.1000.53000.010,,Purchased,Professional,"$25,000",,"$25,000",,"$25,000","$25,000","$25,000",$0,0.00
1000.4200.1000.53000.050,,Purchased,Professional,"$25,000",,"$25,000",,"$25,000","$25,000","$25,000",$0,0.00
1000.4200.1000.53000.300,,JMG,,"$25,000",,"$25,000",,"$25,000","$25,000","$25,000",$0,0.00
1000.4900.1000.51010.950,,Teacher,Salaries,"$121,383","$126,718",,,"$179,842","$190,080","$206,642","$16,562",8.71
1000.4900.1000.51010.990,,Teacher,Salaries,"$48,485",,"$55,635",,"$4,842","$10,688","$8,520","($2,168)",(20.29)
1000.4900.1000.51500.950,,Stipends,,"$5,000",,"$3,000",,"$3,209","$15,444","$15,444",$0,0.00
1000.4900.1000.51500.990,,Stipends,,$0,,$0,,$0,$300,$300,$0,0.00
1000.4900.1000.52000.950,,Stipends,,$29,,$15,,$0,$772,$772,$0,0.00
1000.4900.1000.52000.990,,Stipends,,$0,,$0,,$0,$15,$0,($15),(100.00)
1000.4900.1000.52010.950,,Teacher,Benefits,"$29,628",,"$29,457",,"$4,116","$27,500","$32,865","$5,365",19.51
