,,,,,,,RSU,No.,5,,,,,
Article 2,Special,Education,- Proposed,,,,,,,,,,,
From Date:,3/22/2023,,To Date:,,3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,FY20,Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,,
1000.2800.2110.52310.010,,Retirement,,,,"$2,526.16",,$614.40,,"$2,616.90","$3,014.00","$3,372.00",$358.00,11.88
1000.2800.2110.52310.020,,Retirement,,,,"$2,824.38",,$315.84,,"$1,344.46","$1,533.00","$1,706.00",$173.00,11.29
1000.2800.2110.52310.030,,Retirement,,,,"$1,197.30",,$276.29,,"$1,230.02","$1,356.00","$1,591.00",$235.00,17.33
1000.2800.2110.52310.040,,Retirement,,,,"$3,907.02",,$947.52,,"$1,344.20","$1,507.00","$1,706.00",$199.00,13.21
1000.2800.2110.52310.050,,Retirement,,,,"$2,868.84",,$695.46,,"$3,157.23","$3,363.00","$3,801.00",$438.00,13.02
1000.2800.2110.52310.300,,Retirement,,,,"$1,552.98",,$367.08,,"$1,822.05","$2,452.00","$2,817.00",$365.00,14.89
1000.2800.2110.55800.020,,Travel,,,,$0.00,,$0.00,,$0.00,$150.00,$0.00,($150.00),(100.00)
1000.2800.2110.55800.040,,Travel,,,,$0.00,,$0.00,,$0.00,$150.00,$0.00,($150.00),(100.00)
1000.2800.2110.55800.900,,Social,Worker Travel,,,$0.00,,$0.00,,$0.00,$0.00,$300.00,$300.00,0.00
1000.2800.2140.51010.010,,Psychological,Services,Salary,,"$58,587.83","$22,929.90",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.51010.020,,Psychological,Services,Salary,,"$25,390.19","$32,555.17",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.51010.030,,Psychological,Services,Salary,,"$58,387.57","$32,555.14",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.51010.040,,Psychological,Services,Salary,,"$25,390.19","$32,555.20",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.51010.050,,Psychological,Services,Salary,,"$25,389.96","$32,555.53",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.51010.300,,Psychological,Services,Salary,,"$10,381.56","$18,859.46",,,$0.00,"$44,099.00",$0.00,"($44,099.00)",(100.00)
1000.2800.2140.51010.950,,Psychological,Services,Salary,K-8,$0.00,,$0.00,"$68,177.04",,"$98,339.00","$74,489.00","($23,850.00)",(24.25)
1000.2800.2140.51010.990,,Psychological,Services,Salary,9-12,$0.00,,$0.00,"$68,177.27",,$0.00,"$74,489.00","$74,489.00",0.00
1000.2800.2140.52010.010,,Psych,Services,Benefit,,"$7,763.26","$1,278.25",,,$0.00,"$11,708.00",$0.00,"($11,708.00)",(100.00)
1000.2800.2140.52010.020,,Psych,Services,Benefit,,"$5,028.74","$1,247.01",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.52010.030,,Psych,Services,Benefit,,"$7,759.30","$1,278.21",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.52010.040,,Psych,Services,Benefit,,"$5,028.64","$1,246.98",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.52010.050,,Psych,Services,Benefit,,"$5,029.35","$1,247.17",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2800.2140.52010.300,,Psych,Services,Benefit,,"$1,346.45",,$452.83,,$0.00,"$5,403.00",$0.00,"($5,403.00)",(100.00)
1000.2800.2140.52010.950,,Psych,Services,Benefit,,$0.00,,$0.00,"$10,011.07",,"$15,504.00","$11,161.00","($4,343.00)",(28.01)
,03/22/2023,,,,,,,,,,,,Page 17,
