sv-03-17-2022,2:42,pm,,RSU 5,,,,,,,
,,,,Draft 7.0 03/17/2022,,,,,,,
,,,2022-2023,SUPERINTENDENT'S PROPOSED,BUDGET,,,,,,
,,,,,Assessed,2021-,Proposed,2022-2023,,Difference,in
,ARTICLE,#,,Description,2022,Budget,Budget,,Difference,in $'s,%
Article 1,,,REGULAR,INSTRUCTION,$,"15,714,380",$,"16,401,257",$,"686,877",4.37%
,,,(1-Added .5 ELL,2/16/2022),,,,,,,
Article 2,,,SPECIAL EDUCATION,,$,"4,781,322",$,"4,972,716",$,"191,394",4.00%
Article 3,,,CAREER AND,TECHNICAL EDUCATION,$,"142,979",$,"184,596",$,"41,617",29.11%
,,,(3-Reflects actual,increase-03-14-2022),,,,,,,
Article 4,,,OTHER INSTRUCTION,(Co-Curricular & Athletics),$,"902,450",$,"919,069",$,"16,619",1.84%
,,,(added hours,3/16/2022 for Athletic Trainer),,,,,,,
Article 5,,,STUDENT AND,STAFF SUPPORT,$,"3,458,441",$,"3,594,805",$,"136,364",3.94%
,,,(5 - added cyber,security from MSMA 2/16/2022),,,,,,,
1000.1100.1000.52000.050,,Stipend Benefits,$429,,"$7,927",,$0,$354,$401,$47,13.28
1000.1100.1000.52010.010,,Teacher Benefits,"$444,253","$433,145",,,"$112,490","$491,882","$472,460","($19,422)",(3.95)
1000.1100.1000.52010.020,,Teacher Benefits,"$220,845","$235,748",,,"$51,068","$293,631","$233,494","($60,137)",(20.48)
1000.1100.1000.52010.030,,Teacher Benefits,"$104,056","$110,244",,,"$33,104","$165,278","$156,866","($8,412)",(5.09)
1000.1100.1000.52010.040,,Teacher Benefits,"$302,462","$272,389",,,"$68,094","$309,264","$302,714","($6,550)",(2.12)
1000.1100.1000.52010.050,,Teacher Benefits,"$418,578","$407,267",,,"$95,632","$503,147","$424,331","($78,816)",(15.66)
1000.1100.1000.52020.010,,Ed Tech Benefits,"$39,719",,"$33,991",,"$15,543","$21,723","$42,408","$20,685",95.23
1000.1100.1000.52020.020,,Ed Tech Benefits,"$14,904",,"$16,721",,"$7,666","$9,393","$38,830","$29,437",313.38
1000.1100.1000.52020.030,,Ed Tech Benefits,"$8,742",,"$6,644",,"$6,008","$5,062","$13,349","$8,287",163.73
1000.1100.1000.52020.040,,Ed Tech Benefits,$0,,"$18,864",,"$1,487",$518,"$23,185","$22,667","4,379.41"
1000.1100.1000.52020.050,,Ed Tech Benefits,"$34,093",,"$27,831",,"$4,173","$8,353","$68,385","$60,033",718.74
1000.1100.1000.52030.010,,Benefits-Subs,"$2,671",,"$2,417",,$146,$894,"$1,007",$113,12.64
1000.1100.1000.52030.020,,Substitute Benefits,"$2,536",,"$1,643",,$7,$535,$585,$51,9.45
1000.1100.1000.52030.030,,Sub Benefits,"$9,847",,$177,,$5,$314,$585,$271,86.31
