,,,,,RSU,No.,5,,,,,
Article,4,Other,Instruction- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
Program:,,CO-CURRICULAR,K-8 - 9100,"$10,750.17","$11,041.00",,"$13,493.56",,"$11,247.00","$11,269.00",$22.00,0.20
Function:,REGULAR,,INSTRUCTION - 1000,"$10,750.17","$11,041.00",,"$13,493.56",,"$11,247.00","$11,269.00",$22.00,0.20
Cost,Center:,MAST LANDING,- 040,"$10,750.17","$11,041.00",,"$13,493.56",,"$11,247.00","$11,269.00",$22.00,0.20
,1000.9100.1000.51500.050,,Stipends,"$27,155.45","$22,327.67",,"$23,998.50",,"$33,250.00","$41,958.00","$8,708.00",26.19
,1000.9100.1000.52000.050,,Stipend Benefits,$215.56,,$20.37,,"$1,045.47","$1,444.00","$1,721.00",$277.00,19.18
,1000.9100.1000.52300.050,,Retirement,$11.44,,$0.00,,$872.59,"$1,201.00","$1,876.00",$675.00,56.20
,1000.9100.1000.56000.050,,Supplies,"$2,117.05",($120.48),,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.9100.1000.56100.050,,Instructional Supplies,$0.00,"$4,973.86",,,"$3,906.04","$3,900.00","$3,900.00",$0.00,0.00
,1000.9100.1000.58100.050,,Dues & Fees,"$1,463.00","$27,157.00",,,"$2,465.90","$2,750.00","$2,350.00",($400.00),(14.55)
Program:,,CO-CURRICULAR,K-8 - 9100,"$30,962.50","$54,358.42",,"$32,288.50",,"$42,545.00","$51,805.00","$9,260.00",21.77
,1000.9200.1000.51040.050,,Athletic Director Salary,"$34,653.22",,$0.00,,($106.44),$0.00,$0.00,$0.00,0.00
,1000.9200.1000.51180.050,,Support Salary,$0.00,,$0.00,,"$2,007.53",$0.00,$0.00,$0.00,0.00
,1000.9200.1000.51230.050,,Other Wages,"$5,823.07",,$0.00,,$200.00,$0.00,$0.00,$0.00,0.00
,1000.9200.1000.51500.050,,Stipends-Coaches,"$84,948.47","$89,064.15",,"$66,742.11",,"$114,106.00","$73,489.00","($40,617.00)",(35.60)
,1000.9200.1000.52000.050,,Benefits,"$3,620.62","$1,167.60",,,"$5,627.06","$5,705.00","$4,438.00","($1,267.00)",(22.21)
,1000.9200.1000.52030.050,,Other Benefits,$581.45,,$59.09,,$589.19,$0.00,$0.00,$0.00,0.00
,1000.9200.1000.52040.050,,AD Benefits,"$4,016.27",,$0.00,,$0.00,"$6,994.00",$0.00,"($6,994.00)",(100.00)
,1000.9200.1000.52080.050,,Support Benefits,$0.00,,$0.00,,$297.12,$904.00,$0.00,($904.00),(100.00)
,1000.9200.1000.52300.050,,Retirement,$139.49,,$0.00,,"$1,119.08","$4,746.00","$3,285.00","($1,461.00)",(30.78)
,1000.9200.1000.52330.050,,Retirement,$22.10,,$0.00,,$3.84,$0.00,$0.00,$0.00,0.00
,1000.9200.1000.52340.050,,Retirement,"$1,441.60",,$0.00,,$0.00,"$1,370.00",$0.00,"($1,370.00)",(100.00)
,Page,35 of 80,,,,,,,,,,
