,,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account,Number,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2200.1000.51010.010,,Teacher,Salaries,,"$279,351.00",$0.00,"$279,351.00",,$0.00,$0.00,"$279,351.00","$279,350.86",$0.14,0.00%
,1000.2200.1000.51020.010,,Ed Tech,Salaries,,"$131,428.00",$0.00,"$131,428.00",,$0.00,$0.00,"$131,428.00","$203,862.65","($72,434.65)",-55.11%
,1000.2200.1000.52010.010,,Teacher,Benefits,,"$64,261.00",$0.00,"$64,261.00",,$0.00,$0.00,"$64,261.00",$0.00,"$64,261.00",100.00%
,1000.2200.1000.52020.010,,Ed Tech,Benefits,,"$38,027.00",$0.00,"$38,027.00",,$0.00,$0.00,"$38,027.00",$0.00,"$38,027.00",100.00%
,1000.2200.1000.52310.010,,Retirement,,,"$12,487.00",$0.00,"$12,487.00",,$0.00,$0.00,"$12,487.00",$0.00,"$12,487.00",100.00%
,1000.2200.1000.52320.010,,Retirement,,,"$5,875.00",$0.00,"$5,875.00",,$0.00,$0.00,"$5,875.00",$0.00,"$5,875.00",100.00%
,1000.2200.1000.56100.010,,Instructional,Supplies,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT,- 2200,"$531,529.00",$0.00,"$531,529.00",,$0.00,$0.00,"$531,529.00","$483,213.51","$48,315.49",9.09%
,1000.2300.1000.51010.010,,Teacher,Salaries,,"$65,036.00",$0.00,"$65,036.00",,$0.00,$0.00,"$65,036.00",$0.00,"$65,036.00",100.00%
,1000.2300.1000.51020.010,,Ed Tech,Salaries,,"$164,880.00",$0.00,"$164,880.00",,$0.00,$0.00,"$164,880.00","$33,027.05","$131,852.95",79.97%
,1000.2300.1000.52010.010,,Teacher,Benefits,,"$27,184.00",$0.00,"$27,184.00",,$0.00,$0.00,"$27,184.00",$0.00,"$27,184.00",100.00%
,1000.2300.1000.52020.010,,Ed Tech,Benefits,,"$91,805.00",$0.00,"$91,805.00",,$0.00,$0.00,"$91,805.00",$0.00,"$91,805.00",100.00%
,1000.2300.1000.52310.010,,Retirement,,,"$2,907.00",$0.00,"$2,907.00",,$0.00,$0.00,"$2,907.00",$0.00,"$2,907.00",100.00%
,1000.2300.1000.52320.010,,Retirement,,,"$7,370.00",$0.00,"$7,370.00",,$0.00,$0.00,"$7,370.00",$0.00,"$7,370.00",100.00%
,Program:,SELF,CONTAINED CLASS,PLACEMENT,- 2300,"$359,182.00",$0.00,"$359,182.00",,$0.00,$0.00,"$359,182.00","$33,027.05","$326,154.95",90.80%
,,Function:,REGULAR,INSTRUCTION,- 1000,"$890,711.00",$0.00,"$890,711.00",,$0.00,$0.00,"$890,711.00","$516,240.56","$374,470.44",42.04%
,1000.2800.2110.51010.010,,Social Worker,Salary,,"$92,509.00",$0.00,"$92,509.00",,$0.00,$0.00,"$92,509.00","$92,509.30",($0.30),0.00%
,1000.2800.2110.52010.010,,Social Worker,Benefits,,"$13,954.00",$0.00,"$13,954.00",,$0.00,$0.00,"$13,954.00",$0.00,"$13,954.00",100.00%
,1000.2800.2110.52310.010,,Retirement,,,"$4,135.00",$0.00,"$4,135.00",,$0.00,$0.00,"$4,135.00",$0.00,"$4,135.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$110,598.00",$0.00,"$110,598.00",,$0.00,$0.00,"$110,598.00","$92,509.30","$18,088.70",16.36%
,,Function:,Attendance,& Social Work,- 2110,"$110,598.00",$0.00,"$110,598.00",,$0.00,$0.00,"$110,598.00","$92,509.30","$18,088.70",16.36%
,1000.2800.2140.53440.010,,Professional,Services,,"$1,750.00",$0.00,"$1,750.00",,$0.00,$0.00,"$1,750.00",$0.00,"$1,750.00",100.00%
,1000.2800.2140.55800.010,,Travel,,,$267.00,$0.00,,$267.00,$0.00,$0.00,$267.00,$0.00,$267.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$2,017.00",$0.00,"$2,017.00",,$0.00,$0.00,"$2,017.00",$0.00,"$2,017.00",100.00%
,,,Function:,PSYCHOLOGICAL,- 2140,"$2,017.00",$0.00,"$2,017.00",,$0.00,$0.00,"$2,017.00",$0.00,"$2,017.00",100.00%
,1000.2800.2150.51010.010,,Speech &,Audiology Salaries,,"$140,943.00",$0.00,"$140,943.00",,$0.00,$0.00,"$140,943.00","$140,943.33",($0.33),0.00%
,1000.2800.2150.52010.010,,Speech &,Audiology Benefits,,"$20,252.00",$0.00,"$20,252.00",,$0.00,$0.00,"$20,252.00",$0.00,"$20,252.00",100.00%
,1000.2800.2150.52310.010,,Retirement,,,"$6,300.00",$0.00,"$6,300.00",,$0.00,$0.00,"$6,300.00",$0.00,"$6,300.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$167,495.00",$0.00,"$167,495.00",,$0.00,$0.00,"$167,495.00","$140,943.33","$26,551.67",15.85%
,,,Function: SPEECH &,AUDIOLOGY,- 2150,"$167,495.00",$0.00,"$167,495.00",,$0.00,$0.00,"$167,495.00","$140,943.33","$26,551.67",15.85%
,1000.2800.2160.51010.010,,OT Salary,,,"$91,931.00",$0.00,"$91,931.00",,$0.00,$0.00,"$91,931.00","$84,867.69","$7,063.31",7.68%
,,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account,Number,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2800.2160.52010.010,,OT Benefits,,,"$19,858.00",$0.00,"$19,858.00",,$0.00,$0.00,"$19,858.00",$0.00,"$19,858.00",100.00%
,1000.2800.2160.52310.010,,Retirement,,,"$4,109.00",$0.00,"$4,109.00",,$0.00,$0.00,"$4,109.00",$0.00,"$4,109.00",100.00%
,1000.2800.2160.55800.010,,Travel,,,$50.00,$0.00,,$50.00,$0.00,$0.00,$50.00,$0.00,$50.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$115,948.00",$0.00,"$115,948.00",,$0.00,$0.00,"$115,948.00","$84,867.69","$31,080.31",26.81%
,,,,Function: OT,- 2160,"$115,948.00",$0.00,"$115,948.00",,$0.00,$0.00,"$115,948.00","$84,867.69","$31,080.31",26.81%
,,Cost,Center: DURHAM,COMMUNITY,- 010,"$1,286,769.00",$0.00,"$1,286,769.00",,$0.00,$0.00,"$1,286,769.00","$834,560.88","$452,208.12",35.14%
,1000.2200.1000.51010.020,,Teacher,Salaries,,"$81,764.00",$0.00,"$81,764.00",,$0.00,$0.00,"$81,764.00","$59,030.71","$22,733.29",27.80%
,1000.2200.1000.51020.020,,Ed Tech,Salaries,,"$245,132.00",$0.00,"$245,132.00",,$0.00,$0.00,"$245,132.00","$64,462.32","$180,669.68",73.70%
,1000.2200.1000.52010.020,,Teacher,Benefits,,"$30,381.00",$0.00,"$30,381.00",,$0.00,$0.00,"$30,381.00",$0.00,"$30,381.00",100.00%
,1000.2200.1000.52020.020,,Ed Tech,Benefits,,"$84,047.00",$0.00,"$84,047.00",,$0.00,$0.00,"$84,047.00",$0.00,"$84,047.00",100.00%
,1000.2200.1000.52310.020,,Retirement,,,"$3,655.00",$0.00,"$3,655.00",,$0.00,$0.00,"$3,655.00",$0.00,"$3,655.00",100.00%
,1000.2200.1000.52320.020,,Retirement,,,"$10,957.00",$0.00,"$10,957.00",,$0.00,$0.00,"$10,957.00",$0.00,"$10,957.00",100.00%
,1000.2200.1000.56100.020,,Instructional,Supplies,,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT,- 2200,"$456,436.00",$0.00,"$456,436.00",,$0.00,$0.00,"$456,436.00","$123,493.03","$332,942.97",72.94%
,1000.2300.1000.51010.020,,Teacher,Salaries,,"$161,744.00",$0.00,"$161,744.00",,$0.00,$0.00,"$161,744.00","$161,743.68",$0.32,0.00%
,1000.2300.1000.51020.020,,Ed Tech,Salaries,,$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,"$121,002.67","($121,002.67)",0.00%
,1000.2300.1000.52010.020,,Teacher,Benefits,,"$48,167.00",$0.00,"$48,167.00",,$0.00,$0.00,"$48,167.00",$0.00,"$48,167.00",100.00%
,1000.2300.1000.52310.020,,Retirement,,,"$7,230.00",$0.00,"$7,230.00",,$0.00,$0.00,"$7,230.00",$0.00,"$7,230.00",100.00%
,Program:,SELF,CONTAINED CLASS,PLACEMENT,- 2300,"$217,141.00",$0.00,"$217,141.00",,$0.00,$0.00,"$217,141.00","$282,746.35","($65,605.35)",-30.21%
,,Function:,REGULAR,INSTRUCTION,- 1000,"$673,577.00",$0.00,"$673,577.00",,$0.00,$0.00,"$673,577.00","$406,239.38","$267,337.62",39.69%
,1000.2800.2110.51010.020,,Social Worker,Salary,,"$46,838.00",$0.00,"$46,838.00",,$0.00,$0.00,"$46,838.00","$46,838.43",($0.43),0.00%
,1000.2800.2110.52010.020,,Social Worker,Benefits,,"$10,732.00",$0.00,"$10,732.00",,$0.00,$0.00,"$10,732.00",$0.00,"$10,732.00",100.00%
,1000.2800.2110.52310.020,,Retirement,,,"$2,094.00",$0.00,"$2,094.00",,$0.00,$0.00,"$2,094.00",$0.00,"$2,094.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$59,664.00",$0.00,"$59,664.00",,$0.00,$0.00,"$59,664.00","$46,838.43","$12,825.57",21.50%
,,Function:,Attendance,& Social Work,- 2110,"$59,664.00",$0.00,"$59,664.00",,$0.00,$0.00,"$59,664.00","$46,838.43","$12,825.57",21.50%
,1000.2800.2140.53440.020,,Professional,Services,,"$1,750.00",$0.00,"$1,750.00",,$0.00,$0.00,"$1,750.00",$0.00,"$1,750.00",100.00%
,1000.2800.2140.55800.020,,Travel,,,$266.00,$0.00,,$266.00,$0.00,$0.00,$266.00,$0.00,$266.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$2,016.00",$0.00,"$2,016.00",,$0.00,$0.00,"$2,016.00",$0.00,"$2,016.00",100.00%
,,,Function:,PSYCHOLOGICAL,- 2140,"$2,016.00",$0.00,"$2,016.00",,$0.00,$0.00,"$2,016.00",$0.00,"$2,016.00",100.00%
,1000.2800.2150.51010.020,,Speech &,Audiology Salaries,,"$134,223.00",$0.00,"$134,223.00",,$0.00,$0.00,"$134,223.00","$134,223.21",($0.21),0.00%
,1000.2800.2150.52010.020,,Speech &,Audiology Benefits,,"$21,074.00",$0.00,"$21,074.00",,$0.00,$0.00,"$21,074.00",$0.00,"$21,074.00",100.00%
,,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account,Number,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2800.2150.52310.020,,Retirement,,,"$6,000.00",$0.00,"$6,000.00",,$0.00,$0.00,"$6,000.00",$0.00,"$6,000.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$161,297.00",$0.00,"$161,297.00",,$0.00,$0.00,"$161,297.00","$134,223.21","$27,073.79",16.79%
,,,Function: SPEECH &,AUDIOLOGY,- 2150,"$161,297.00",$0.00,"$161,297.00",,$0.00,$0.00,"$161,297.00","$134,223.21","$27,073.79",16.79%
,1000.2800.2160.51010.020,,OT Salary,,,"$74,169.00",$0.00,"$74,169.00",,$0.00,$0.00,"$74,169.00","$66,947.85","$7,221.15",9.74%
,1000.2800.2160.52010.020,,OT Benefits,,,"$8,570.00",$0.00,"$8,570.00",,$0.00,$0.00,"$8,570.00",$0.00,"$8,570.00",100.00%
,1000.2800.2160.52310.020,,Retirement,,,"$3,315.00",$0.00,"$3,315.00",,$0.00,$0.00,"$3,315.00",$0.00,"$3,315.00",100.00%
,1000.2800.2160.55800.020,,Travel,,,$50.00,$0.00,,$50.00,$0.00,$0.00,$50.00,$0.00,$50.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$86,104.00",$0.00,"$86,104.00",,$0.00,$0.00,"$86,104.00","$66,947.85","$19,156.15",22.25%
,,,,Function: OT,- 2160,"$86,104.00",$0.00,"$86,104.00",,$0.00,$0.00,"$86,104.00","$66,947.85","$19,156.15",22.25%
,,,Cost Center:,MORSE STREET,- 020,"$982,658.00",$0.00,"$982,658.00",,$0.00,$0.00,"$982,658.00","$654,248.87","$328,409.13",33.42%
,1000.2200.1000.51010.030,,Teacher,Salaries,,"$46,926.00",$0.00,"$46,926.00",,$0.00,$0.00,"$46,926.00","$3,026.13","$43,899.87",93.55%
,1000.2200.1000.51020.030,,Ed Tech,Salaries,,"$30,251.00",$0.00,"$30,251.00",,$0.00,$0.00,"$30,251.00","$30,719.20",($468.20),-1.55%
,1000.2200.1000.52010.030,,Teacher,Benefits,,"$5,889.00",$0.00,"$5,889.00",,$0.00,$0.00,"$5,889.00",$0.00,"$5,889.00",100.00%
,1000.2200.1000.52020.030,,Ed Tech,Benefits,,"$12,480.00",$0.00,"$12,480.00",,$0.00,$0.00,"$12,480.00",$0.00,"$12,480.00",100.00%
,1000.2200.1000.52310.030,,Retirement,,,"$2,098.00",$0.00,"$2,098.00",,$0.00,$0.00,"$2,098.00",$0.00,"$2,098.00",100.00%
,1000.2200.1000.52320.030,,Retirement,,,"$1,352.00",$0.00,"$1,352.00",,$0.00,$0.00,"$1,352.00",$0.00,"$1,352.00",100.00%
,1000.2200.1000.56100.030,,Instructional,Supplies,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT,- 2200,"$99,096.00",$0.00,"$99,096.00",,$0.00,$0.00,"$99,096.00","$33,745.33","$65,350.67",65.95%
,,Function:,REGULAR,INSTRUCTION,- 1000,"$99,096.00",$0.00,"$99,096.00",,$0.00,$0.00,"$99,096.00","$33,745.33","$65,350.67",65.95%
,1000.2800.2110.51010.030,,Social Worker,Salary,,"$40,615.00",$0.00,"$40,615.00",,$0.00,$0.00,"$40,615.00","$41,260.90",($645.90),-1.59%
,1000.2800.2110.52010.030,,Social Worker,Benefits,,"$2,712.00",$0.00,"$2,712.00",,$0.00,$0.00,"$2,712.00",$0.00,"$2,712.00",100.00%
,1000.2800.2110.52310.030,,Retirement,,,"$1,816.00",$0.00,"$1,816.00",,$0.00,$0.00,"$1,816.00",$0.00,"$1,816.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$45,143.00",$0.00,"$45,143.00",,$0.00,$0.00,"$45,143.00","$41,260.90","$3,882.10",8.60%
,,Function:,Attendance,& Social Work,- 2110,"$45,143.00",$0.00,"$45,143.00",,$0.00,$0.00,"$45,143.00","$41,260.90","$3,882.10",8.60%
,1000.2800.2140.53440.030,,Professional,Services,,"$1,750.00",$0.00,"$1,750.00",,$0.00,$0.00,"$1,750.00",$0.00,"$1,750.00",100.00%
,1000.2800.2140.55800.030,,Travel,,,$266.00,$0.00,,$266.00,$0.00,$0.00,$266.00,$0.00,$266.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$2,016.00",$0.00,"$2,016.00",,$0.00,$0.00,"$2,016.00",$0.00,"$2,016.00",100.00%
,,,Function:,PSYCHOLOGICAL,- 2140,"$2,016.00",$0.00,"$2,016.00",,$0.00,$0.00,"$2,016.00",$0.00,"$2,016.00",100.00%
