,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,,Function:,REGULAR,INSTRUCTION - 1000,"$886,341.00",$0.00,"$886,341.00",,$0.00,$0.00,"$886,341.00","$472,680.09","$413,660.91",46.67%
,1000.2800.2110.51010.050,,Social Worker,Salary,"$103,925.00",$0.00,"$103,925.00",,$0.00,$0.00,"$103,925.00","$103,925.38",($0.38),0.00%
,1000.2800.2110.52010.050,,Social Worker,Benefits,"$21,216.00",$0.00,"$21,216.00",,$0.00,$0.00,"$21,216.00",$0.00,"$21,216.00",100.00%
,1000.2800.2110.52310.050,,Retirement,,"$4,645.00",$0.00,"$4,645.00",,$0.00,$0.00,"$4,645.00",$0.00,"$4,645.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$129,786.00",$0.00,"$129,786.00",,$0.00,$0.00,"$129,786.00","$103,925.38","$25,860.62",19.93%
,,Function:,Attendance &,Social Work - 2110,"$129,786.00",$0.00,"$129,786.00",,$0.00,$0.00,"$129,786.00","$103,925.38","$25,860.62",19.93%
,1000.2800.2140.53440.050,,Professional,Services,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,1000.2800.2140.55800.050,,Travel,,$267.00,$0.00,,$267.00,$0.00,$0.00,$267.00,$0.00,$267.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$1,767.00",$0.00,"$1,767.00",,$0.00,$0.00,"$1,767.00",$0.00,"$1,767.00",100.00%
,,,Function:,PSYCHOLOGICAL - 2140,"$1,767.00",$0.00,"$1,767.00",,$0.00,$0.00,"$1,767.00",$0.00,"$1,767.00",100.00%
,1000.2800.2150.51010.050,,Speech & Audiology,Salaries,"$46,255.00",$0.00,"$46,255.00",,$0.00,$0.00,"$46,255.00","$46,254.78",$0.22,0.00%
,1000.2800.2150.52010.050,,Speech & Audiology,Benefits,"$13,076.00",$0.00,"$13,076.00",,$0.00,$0.00,"$13,076.00",$0.00,"$13,076.00",100.00%
,1000.2800.2150.52310.050,,Retirement,,"$2,068.00",$0.00,"$2,068.00",,$0.00,$0.00,"$2,068.00",$0.00,"$2,068.00",100.00%
,1000.2800.2150.55800.050,,Travel,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$61,499.00",$0.00,"$61,499.00",,$0.00,$0.00,"$61,499.00","$46,254.78","$15,244.22",24.79%
,,Function:,SPEECH &,AUDIOLOGY - 2150,"$61,499.00",$0.00,"$61,499.00",,$0.00,$0.00,"$61,499.00","$46,254.78","$15,244.22",24.79%
,1000.2800.2160.51010.050,,OT Salary,,"$9,601.00",$0.00,"$9,601.00",,$0.00,$0.00,"$9,601.00","$9,601.29",($0.29),0.00%
,1000.2800.2160.52010.050,,OT Benefits,,"$2,617.00",$0.00,"$2,617.00",,$0.00,$0.00,"$2,617.00",$0.00,"$2,617.00",100.00%
,1000.2800.2160.52310.050,,Retirement,,$429.00,$0.00,,$429.00,$0.00,$0.00,$429.00,$0.00,$429.00,100.00%
,1000.2800.2160.55800.050,,Travel,,$50.00,$0.00,,$50.00,$0.00,$0.00,$50.00,$0.00,$50.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$12,697.00",$0.00,"$12,697.00",,$0.00,$0.00,"$12,697.00","$9,601.29","$3,095.71",24.38%
,,,,Function: OT - 2160,"$12,697.00",$0.00,"$12,697.00",,$0.00,$0.00,"$12,697.00","$9,601.29","$3,095.71",24.38%
,,Cost Center:,FREEPORT MIDDLE,SCHOOL - 050,"$1,092,090.00",$0.00,"$1,092,090.00",,$0.00,$0.00,"$1,092,090.00","$632,461.54","$459,628.46",42.09%
,1000.2100.1000.51210.300,,Tutor Salaries/ESY,,"$14,426.00",$0.00,"$14,426.00",,$0.00,$0.00,"$14,426.00",$0.00,"$14,426.00",100.00%
,1000.2100.1000.52010.300,,Benefits,,$645.00,$0.00,,$645.00,$0.00,$0.00,$645.00,$0.00,$645.00,100.00%
,1000.2100.1000.52310.300,,Retirement,,$485.00,$0.00,,$485.00,$0.00,$0.00,$485.00,$0.00,$485.00,100.00%
,1000.2100.1000.53440.300,,Purchased,Professional,"$1,250.00",$0.00,"$1,250.00",,$0.00,$0.00,"$1,250.00",$0.00,"$1,250.00",100.00%
,Program:,REGULAR,CLASSROOM,PLACEMENT - 2100,"$16,806.00",$0.00,"$16,806.00",,$0.00,$0.00,"$16,806.00",$0.00,"$16,806.00",100.00%
,1000.2200.1000.51010.300,,Teacher Salaries,,"$142,284.00",$0.00,"$142,284.00",,$0.00,$0.00,"$142,284.00","$238,075.27","($95,791.27)",-67.32%
,1000.2200.1000.51020.300,,Ed Tech Salaries,,"$67,590.00",$0.00,"$67,590.00",,$0.00,$0.00,"$67,590.00",$0.00,"$67,590.00",100.00%
,1000.2200.1000.52010.300,,Teacher Benefits,,"$40,645.00",$0.00,"$40,645.00",,$0.00,$0.00,"$40,645.00",$0.00,"$40,645.00",100.00%
