,,,,,,,RSU,No.,5,,,,,,
Article,1 Regular,Instruction-,,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.4900.1000.51010.950,Teacher,Salaries,,,"$244,329.00",$0.00,"$244,329.00",,$0.00,$0.00,"$244,329.00","$247,128.78","($2,799.78)",-1.15%
,1000.4900.1000.51500.950,Stipends,,,,"$13,388.00",$0.00,"$13,388.00",,$0.00,$0.00,"$13,388.00","$2,700.00","$10,688.00",79.83%
,1000.4900.1000.52000.950,Stipends,,,,$450.00,$0.00,,$450.00,$0.00,$0.00,$450.00,$300.00,$150.00,33.33%
,1000.4900.1000.52010.950,Teacher,Benefits,,,"$57,183.00",$0.00,"$57,183.00",,$0.00,$0.00,"$57,183.00",$0.00,"$57,183.00",100.00%
,1000.4900.1000.52300.950,Retirement,,,,$598.00,$0.00,,$598.00,$0.00,$0.00,$598.00,$0.00,$598.00,100.00%
,1000.4900.1000.52310.950,Retirement,,,,"$10,921.00",$0.00,"$10,921.00",,$0.00,$0.00,"$10,921.00",$0.00,"$10,921.00",100.00%
,1000.4900.1000.53000.950,Purchased,Professional,Services,,"$4,038.00",$0.00,"$4,038.00",,$0.00,$0.00,"$4,038.00",$0.00,"$4,038.00",100.00%
,1000.4900.1000.53400.950,,Professional Services,Testing,,"$2,014.00",$0.00,"$2,014.00",,$0.00,$0.00,"$2,014.00",$0.00,"$2,014.00",100.00%
,1000.4900.1000.53440.950,GaTE,K-8 Professional,Servies,,"$2,629.00",$0.00,"$2,629.00",,$0.00,$0.00,"$2,629.00",$0.00,"$2,629.00",100.00%
,1000.4900.1000.55800.950,Travel,,,,$920.00,$0.00,,$920.00,$0.00,$0.00,$920.00,$0.00,$920.00,100.00%
,1000.4900.1000.56100.950,GaTE,K-8 Instructional,Supplies,,"$1,145.00",$0.00,"$1,145.00",,$0.00,$0.00,"$1,145.00",$0.00,"$1,145.00",100.00%
,1000.4900.1000.56400.950,GaTE,K-8 Books,,,"$1,200.00",$0.00,"$1,200.00",,$0.00,$0.00,"$1,200.00",$0.00,"$1,200.00",100.00%
,1000.4900.1000.58100.950,Dues,and Fees,,,"$4,955.00",$0.00,"$4,955.00",,$0.00,$0.00,"$4,955.00",$0.00,"$4,955.00",100.00%
,,Program:,GIFTED &,TALENTED -,4900,"$343,770.00",$0.00,"$343,770.00",,$0.00,$0.00,"$343,770.00","$250,128.78","$93,641.22",27.24%
,Function:,REGULAR,,INSTRUCTION -,1000,"$555,339.00",$0.00,"$555,339.00",,$0.00,$0.00,"$555,339.00","$439,999.01","$115,339.99",20.77%
,,,Cost,Center: K-8 -,950,"$555,339.00",$0.00,"$555,339.00",,$0.00,$0.00,"$555,339.00","$439,999.01","$115,339.99",20.77%
,1000.4100.1000.51010.990,Teacher,Salaries,,,"$92,936.00",$0.00,"$92,936.00",,$0.00,$0.00,"$92,936.00","$117,324.40","($24,388.40)",-26.24%
,1000.4100.1000.52010.990,Teacher,Benefits,,,"$20,861.00",$0.00,"$20,861.00",,$0.00,$0.00,"$20,861.00",$0.00,"$20,861.00",100.00%
,1000.4100.1000.52310.990,Retirement,,,,"$4,154.00",$0.00,"$4,154.00",,$0.00,$0.00,"$4,154.00",$0.00,"$4,154.00",100.00%
,1000.4100.1000.53000.990,Purchased,Professional,Services,,"$3,150.00",$0.00,"$3,150.00",,$0.00,$0.00,"$3,150.00",$0.00,"$3,150.00",100.00%
,1000.4100.1000.55800.990,,Travel-Other,,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,1000.4100.1000.56100.990,,Instructional Supplies,,,$250.00,$0.00,,$250.00,$0.00,$0.00,$250.00,$0.00,$250.00,100.00%
,,,Program:,ELL -,4100,"$121,451.00",$0.00,"$121,451.00",,$0.00,$0.00,"$121,451.00","$117,324.40","$4,126.60",3.40%
,1000.4900.1000.51010.990,Teacher,Salaries,,,"$13,587.00",$0.00,"$13,587.00",,$0.00,$0.00,"$13,587.00","$13,586.83",$0.17,0.00%
,1000.4900.1000.51500.990,Stipends,,,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.4900.1000.52000.990,Stipends,,,,$10.00,$0.00,,$10.00,$0.00,$0.00,$10.00,$0.00,$10.00,100.00%
,1000.4900.1000.52010.990,Teacher,Benefits,,,"$4,693.00",$0.00,"$4,693.00",,$0.00,$0.00,"$4,693.00",$0.00,"$4,693.00",100.00%
,1000.4900.1000.52300.990,Retirement,,,,$13.00,$0.00,,$13.00,$0.00,$0.00,$13.00,$0.00,$13.00,100.00%
,1000.4900.1000.52310.990,Retirement,,,,$607.00,$0.00,,$607.00,$0.00,$0.00,$607.00,$0.00,$607.00,100.00%
,1000.4900.1000.53000.990,Purchase,Professional,Services,,$38.00,$0.00,,$38.00,$0.00,$0.00,$38.00,$0.00,$38.00,100.00%
,1000.4900.1000.53440.990,GaTE,HS Professional,Services,,"$11,190.00",$0.00,"$11,190.00",,$0.00,$0.00,"$11,190.00",$0.00,"$11,190.00",100.00%
,1000.4900.1000.56100.990,GaTE,HS Instructional,Supplies,,$105.00,$0.00,,$105.00,$0.00,$0.00,$105.00,$0.00,$105.00,100.00%
,1000.4900.1000.58100.990,GaTE,Dues & Fees,- Sec,,$250.00,$0.00,,$250.00,$0.00,$0.00,$250.00,$0.00,$250.00,100.00%
