,,,,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction,-,Proposed,,,,,,,,,,
From Date:,3/22/2023,,To Date:,,3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,FY20,Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,,
1000.4900.1000.51500.990,,Stipends,,,,$0.00,,$0.00,,$0.00,$300.00,$300.00,$0.00,0.00
1000.4900.1000.51501.010,,GaTE,Art Advisor,Stipend,- DCS,$0.00,,$0.00,,"$1,272.00",$0.00,$0.00,$0.00,0.00
1000.4900.1000.51501.050,,GaTE,Art Advisor,Stipend,- FMS,$0.00,,$0.00,,"$1,272.00",$0.00,$0.00,$0.00,0.00
1000.4900.1000.51502.010,,GaTE,Music,Advisor Stipend,- DCS,$0.00,,$0.00,,"$1,272.00",$0.00,$0.00,$0.00,0.00
1000.4900.1000.51502.050,,GaTE,Music,Advisor Stipend,- FMS,$0.00,,$0.00,,"$1,272.00",$0.00,$0.00,$0.00,0.00
1000.4900.1000.52000.950,,Stipends,,,,$15.00,,$0.00,,$47.78,$772.00,$0.00,($772.00),(100.00)
1000.4900.1000.52001.010,,GaTE,Art Stipend,Benefits,- DCS,$0.00,,$0.00,,$373.98,$0.00,$0.00,$0.00,0.00
1000.4900.1000.52001.050,,GaTE,Art Stipend,Benefits,- FMS,$0.00,,$0.00,,$21.02,$0.00,$0.00,$0.00,0.00
1000.4900.1000.52002.010,,GaTE,Music,Stipend Benefits,- DCS,$0.00,,$0.00,,$20.07,$0.00,$0.00,$0.00,0.00
1000.4900.1000.52002.050,,GaTE,Music,Advisor Benefits,- FMS,$0.00,,$0.00,,$20.72,$0.00,$0.00,$0.00,0.00
1000.4900.1000.52010.950,,Teacher,Benefits,,,"$29,456.62","$4,115.68",,"$24,321.66",,"$32,865.00","$48,225.00","$15,360.00",46.74
1000.4900.1000.52010.990,,Teacher,Benefits,,,"$21,107.03",,$52.15,,"$3,200.47","$3,174.00","$3,496.00",$322.00,10.14
1000.4900.1000.52300.950,,,Retirement,,,$0.00,,$0.00,,$115.20,$642.00,$632.00,($10.00),(1.56)
1000.4900.1000.52300.990,,,Retirement,,,$0.00,,$0.00,,$0.00,$12.00,$14.00,$2.00,16.67
1000.4900.1000.52301.010,,GaTE,Art Stipend,Retirement,- DCS,$0.00,,$0.00,,$48.84,$0.00,$0.00,$0.00,0.00
1000.4900.1000.52301.050,,GaTE,Art Stipend,Retirement,- FMS,$0.00,,$0.00,,$48.84,$0.00,$0.00,$0.00,0.00
1000.4900.1000.52302.010,,GaTE,Music,Stipend,Retirement - DCS,$0.00,,$0.00,,$48.81,$0.00,$0.00,$0.00,0.00
1000.4900.1000.52302.050,,GaTE,Music,Advisor,Retirement - FMS,$0.00,,$0.00,,$48.76,$0.00,$0.00,$0.00,0.00
1000.4900.1000.52310.950,,,Retirement,,,"$5,580.20","$1,387.55",,,"$7,486.35","$8,596.00","$9,454.00",$858.00,9.98
1000.4900.1000.52310.990,,,Retirement,,,"$2,317.84",,$10.98,,$439.93,$354.00,$525.00,$171.00,48.31
1000.4900.1000.53000.950,,,Purchased,Professional,Services,$0.00,"$1,822.24",,,$300.00,"$4,514.81","$3,970.00",($544.81),(12.07)
1000.4900.1000.53000.990,,Purchase,,Professional,Services,$0.00,,$0.00,,$368.13,$0.00,$30.00,$30.00,0.00
1000.4900.1000.53400.950,,,Professional,Services Testing,,"$1,403.64",,$0.00,,$0.00,$0.00,"$1,120.00","$1,120.00",0.00
1000.4900.1000.53440.950,,GaTE,K-8,Professional,Servies,"$1,410.00",,$316.00,,"$2,618.59",$0.00,"$1,682.00","$1,682.00",0.00
,03/22/2023,,,,,,,,,,,,Page 10,
