,,,,,RSU,No. 5,,,,,,,
,Article 11,All,Other Expenditures-,Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY25 Adopted,,,,,,,
,,,,,,,,,,FY25,,Dollar,Percent
,,,,FY21,Actual,FY22 Actual,FY23 Actual,FY24,Adopted,,Difference,,Difference
,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,
,1000.0000.3100.59100.900,,Fund Transfer Out,,"$73,311.24",$0.00,,$0.00,"$293,245.00","$185,334.00","($107,911.00)",,(36.80)
,Program:,OVERHEAD,- 0000,"$73,311.24",,$0.00,$0.00,"$293,245.00",,"$185,334.00","($107,911.00)",,(36.80)
,Function:,FOOD,SERVICES OPERATIONS - 3100,"$73,311.24",,$0.00,$0.00,"$293,245.00",,"$185,334.00","($107,911.00)",,(36.80)
Cost,Center:,SYSTEM,WIDE - 900,"$73,311.24",,$0.00,$0.00,"$293,245.00",,"$185,334.00","($107,911.00)",,(36.80)
Grand,Total:,,,,"$73,311.24",$0.00,,$0.00,"$293,245.00","$185,334.00","($107,911.00)",,(36.80)
,,,,,End,of Report,,,,,,,
,,03/27/2024,,,,,,,,,,81 of 81,
