,,,,,,,RSU,No.,5,,,,,
Article,2,Special,Education-,,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.2800.2110.52010.030,,Social,Worker,Benefits,$859.83,,$82.68,,$536.08,"$2,133.00","$6,970.00","$4,837.00",226.77
,1000.2800.2110.52310.030,,Retirement,,,"$1,197.30",,$276.29,,"$1,230.02","$1,356.00","$1,591.00",$235.00,17.33
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$32,660.95","$26,226.72",,"$33,795.33",,"$36,102.00","$44,155.00","$8,053.00",22.31
Function:,Attendance,& Social,Work -,2110,,"$32,660.95","$26,226.72",,"$33,795.33",,"$36,102.00","$44,155.00","$8,053.00",22.31
,1000.2800.2140.51010.030,,,Psychological,Services Salary,"$58,387.57","$32,555.14",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52010.030,,Psych,Services,Benefit,"$7,759.30","$1,278.21",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52310.030,,Retirement,,,"$2,476.13",,$294.30,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.55800.030,,Travel,,,$0.00,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$68,623.00","$34,127.65",,,$0.00,$125.00,$0.00,($125.00),(100.00)
Function:,,PSYCHOLOGICAL,- 2140,,,"$68,623.00","$34,127.65",,,$0.00,$125.00,$0.00,($125.00),(100.00)
,1000.2800.2150.51010.030,,Speech,&,Audiology Salaries,"$32,653.60","$30,067.88",,"$29,596.36",,"$33,377.00","$40,510.00","$7,133.00",21.37
,1000.2800.2150.52010.030,,Speech,&,Audiology Benefits,"$6,587.03","$1,925.04",,,"$8,574.09","$9,631.00","$10,521.00",$890.00,9.24
,1000.2800.2150.52310.030,,Retirement,,,"$1,358.44",,$270.96,,"$1,136.46","$1,289.00","$1,811.00",$522.00,40.50
,1000.2800.2150.55800.030,,Travel,,,$0.00,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$40,599.07","$32,263.88",,"$39,306.91",,"$44,422.00","$52,842.00","$8,420.00",18.95
Function:,SPEECH,&,AUDIOLOGY -,2150,,"$40,599.07","$32,263.88",,"$39,306.91",,"$44,422.00","$52,842.00","$8,420.00",18.95
,1000.2800.2160.51010.030,,OT,Salary,,$0.00,"$12,422.65",,"$14,416.11",,"$17,306.00","$19,760.00","$2,454.00",14.18
,1000.2800.2160.52010.030,,OT,Benefits,,$0.00,,$470.14,,"$3,040.72","$4,204.00","$5,293.00","$1,089.00",25.90
,Page,19 of 80,,,,,,,,,,,,
