,sv-03-17-2022 2:42pm,,RSU 5,,,,
,,Draft 7.0,03/17/2022,,,,
,,,2022-2023,,,,
,,SUPERINTENDENT'S,PROPOSED,,,,
,,,BUDGET,,,,
,,,,Assessed,Proposed,Difference in Difference,in
,ARTICLE #,,Description,,,,
,,,,2021-2022 Budget,2022-2023 Budget,$'s,%
,,REGULAR,INSTRUCTION,,,,
Article,1,,,,,,
,,(Added .5 ELL,2/16/22),"$15,714,380","$16,401,257","$686,877",4.37%
Article,2,SPECIAL EDUCATION,,,,,
,,,,"$4,781,322","$4,972,716","$191,394",4.00%
,,CAREER AND,TECHNICAL,,,,
Article,3,EDUCATION,,,,,
,,,,"$142,979","$184,596","$41,617",29.11%
,,(Reflects actual,increase 3-14-22),,,,
,,OTHER,INSTRUCTION(Co-Curricular &,,,,
Article,4,,,,,,
,,Athletics),,"$902,450","$919,069","$16,619",1.84%
,,(Added hours 3/16/2022,for Athletic Trainer),,,,
,,STUDENT AND,STAFF SUPPORT,,,,
Article,5,,,,,,
,,(Added Cyber,Security/MSMA 2-16-22),"$3,458,441","$3,594,805","$136,364",3.94%
Article,6,SYSTEM,ADMINISTRATION,,,,
,,,,"$1,067,818","$1,082,988","$15,170",1.42%
Article,7,SCHOOL,ADMINISTRATION,,,,
,,,,"$1,767,262","$1,942,616","$175,354",9.92%
Article,8,TRANSPORTATION,AND BUSES,,,,
,,,,"$1,187,344","$1,438,023","$250,679",21.11%
Article,9,FACILITIES,MAINTENANCE,,,,
,,,,"$5,077,269","$5,100,233","$22,964",0.45%
,,DEBT SERVICE,AND OTHER,,,,
Article,10,,,,,,
,,COMMITMENTS,,"$1,208,949","$1,181,603","$(27,346)",-2.26%
Article,11,ALL OTHER,EXPENSES(Nutrition),,,,
,,,,"$294,645","$293,245","$(1,400)",-0.48%
TOTAL,ARTICLES 1-11,,,,,,
,BUDGET,,,"$35,602,863","$37,111,151","$1,508,288",4.24%
ADULT,EDUCATION,,,,,,
,,,,"$112,000","$112,000",-,0.00%
TOTAL,OPERATING,,,,,,
,BUDGET,,,"$35,714,863","$37,223,151","$1,508,288",4.22%
