,,,,,,RSU,No.,5,,,,,,
Article,10,Debt Service-,Adopted,,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.5100.58310.900,,Principal Payments-State,Supported,"$995,302.00",$0.00,"$995,302.00",,$0.00,$0.00,"$995,302.00",$0.00,"$995,302.00",100.00%
,,,Debt,,,,,,,,,,,
,1000.0000.5100.58320.900,,Interest Payments-State,Supported,"$115,762.00",$0.00,"$115,762.00",,$0.00,$0.00,"$115,762.00",$0.00,"$115,762.00",100.00%
,,,Debt,,,,,,,,,,,
,,,Program: OVERHEAD,- 0000,"$1,111,064.00",$0.00,"$1,111,064.00",,$0.00,$0.00,"$1,111,064.00",$0.00,"$1,111,064.00",100.00%
,Function:,STATE,SUPPORTED DEBT,SERVICE - 5100,"$1,111,064.00",$0.00,"$1,111,064.00",,$0.00,$0.00,"$1,111,064.00",$0.00,"$1,111,064.00",100.00%
,,,Cost Center: SYSTEM,WIDE - 900,"$1,111,064.00",$0.00,"$1,111,064.00",,$0.00,$0.00,"$1,111,064.00",$0.00,"$1,111,064.00",100.00%
Grand,Total:,,,,"$1,111,064.00",$0.00,"$1,111,064.00",,$0.00,$0.00,"$1,111,064.00",$0.00,"$1,111,064.00",100.00%
,,,,,,End,of Report,,,,,,,
,,,,,,,Page 43 of,44,,,,,,
