,,,,,,,RSU,No.,5,,,,,
Article,4,Other Instruction-,Adopted,,,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024,,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,FY20,Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,,
,1000.9200.1000.52380.050,,Retirement for,Regular Employees,,$0.00,,$0.00,,$62.19,$0.00,$0.00,$0.00,0.00
,1000.9200.1000.53000.050,,Game Officials,,,"$9,628.86","$3,818.28",,"$12,610.84",,"$21,917.00","$26,647.00","$4,730.00",21.58
,1000.9200.1000.56100.050,,Program Supplies,,,"$16,230.77","$26,649.48",,"$22,778.63",,"$28,183.00","$28,404.00",$221.00,0.78
,1000.9200.1000.58100.050,,Dues and Fees,,,"$16,482.94","$6,612.05",,"$13,995.50",,"$17,958.00","$18,558.00",$600.00,3.34
Program:,,EXTRA-CURRICULAR,K-8 - 9200,,,"$177,588.86","$127,370.65",,"$125,926.65",,"$201,883.00","$154,821.00","($47,062.00)",(23.31)
Function:,REGULAR,INSTRUCTION,- 1000,,,"$208,551.36","$181,729.07",,"$158,215.15",,"$244,428.00","$206,626.00","($37,802.00)",(15.47)
,1000.9200.2330.51010.050,,Athletic Director,Salary -,,$0.00,,$0.00,"$31,675.47",,"$32,942.00","$32,626.00",($316.00),(0.96)
,1000.9200.2330.51180.050,,Athletic Office,Support Staff,Wages -,$0.00,,$0.00,,"$7,446.31","$5,249.00","$5,968.00",$719.00,13.70
,1000.9200.2330.52010.050,,Athletic Director,Benefits -,,$0.00,,$0.00,,"$5,842.86",$0.00,"$18,847.00","$18,847.00",0.00
,1000.9200.2330.52080.050,,Athletic Office,Support Staff,Benefits -,$0.00,,$0.00,,$586.80,$0.00,"$1,612.00","$1,612.00",0.00
,1000.9200.2330.52310.050,,Athletic Director,Retirement -,,$0.00,,$0.00,,"$1,212.24",$0.00,"$1,944.00","$1,944.00",0.00
Program:,,EXTRA-CURRICULAR,K-8 - 9200,,,$0.00,,$0.00,"$46,763.68",,"$38,191.00","$60,997.00","$22,806.00",59.72
Function:,SPECIAL,AREA,ADMINISTRATION -,2330,,$0.00,,$0.00,"$46,763.68",,"$38,191.00","$60,997.00","$22,806.00",59.72
Cost,Center:,FREEPORT MIDDLE,SCHOOL - 050,,,"$208,551.36","$181,729.07",,"$204,978.83",,"$282,619.00","$267,623.00","($14,996.00)",(5.31)
,1000.4300.1000.51210.300,,Summer School,Tutor Wages -,FHS,$0.00,,$0.00,,"$5,580.00",$0.00,$0.00,$0.00,0.00
,1000.4300.1000.52010.300,,Summer School,Teacher Benefits,- FHS,$0.00,,$0.00,,"$1,891.68",$0.00,$0.00,$0.00,0.00
,1000.4300.1000.52310.300,,Summer School,Teacher Retirement,- FHS,$0.00,,$0.00,,$140.54,$0.00,$0.00,$0.00,0.00
Program:,SUMMER,SCHOOL -,4300,,,$0.00,,$0.00,,"$7,612.22",$0.00,$0.00,$0.00,0.00
,Page,36 of 80,,,,,,,,,,,,
