,,,,,RSU,No. 5,,,,,,,
FY27,Article,4 Other,Instruction-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.4300.1000.51010.050,,,Summer School Teacher,$0.00,,$340.00,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,Salary - FMS,,,,,,,,,
,Program: SUMMER,SCHOOL,- 4300,,$0.00,,$340.00,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.9100.1000.51500.050,,,Stipends,"$54,113.00","$51,759.64",,"$45,350.89","$35,164.00","$33,828.00","($1,336.00)",,(3.80)
,1000.9100.1000.52000.050,,,Stipend Benefits,"$7,462.20",,"$8,575.16","$7,748.47","$1,181.00","$1,137.00",,($44.00),(3.73)
,1000.9100.1000.52300.050,,,Retirement,"$1,843.25",,"$1,603.78","$1,480.90","$1,572.00","$1,512.00",,($60.00),(3.82)
,1000.9100.1000.56100.050,,,Instructional Supplies,"$3,867.48",,"$3,899.48","$3,514.30","$3,900.00","$3,900.00",,$0.00,0.00
,1000.9100.1000.58100.050,,,Dues & Fees,"$1,902.50",,"$2,348.59","$1,515.00","$2,350.00","$2,350.00",,$0.00,0.00
,Program:,CO-CURRICULAR,K-8 - 9100,,"$69,188.43","$68,186.65",,"$59,609.56","$44,167.00","$42,727.00","($1,440.00)",,(3.26)
,1000.9200.1000.51180.050,,,Support Salary,$314.49,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.9200.1000.51230.050,,,Other Wages,$400.00,,$125.00,$175.00,$0.00,$0.00,,$0.00,0.00
,1000.9200.1000.51500.050,,,Stipends-Coaches,"$88,798.21","$92,844.90",,"$104,341.64","$81,816.00","$83,996.00",,"$2,180.00",2.66
,1000.9200.1000.52000.050,,,Benefits,"$10,719.80","$10,256.10",,"$11,283.71","$2,749.00","$2,822.00",,$73.00,2.66
,1000.9200.1000.52030.050,,,Other Benefits,$24.87,,$8.99,$11.11,$0.00,$0.00,,$0.00,0.00
,1000.9200.1000.52080.050,,,Support Benefits,$110.93,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.9200.1000.52300.050,,,Retirement,"$1,723.36",,"$2,082.95","$2,465.82","$3,657.00","$3,754.00",,$97.00,2.65
,1000.9200.1000.52380.050,,,Retirement for Regular,$11.64,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,Employees,,,,,,,,,
,1000.9200.1000.53000.050,,,Game Officials,"$13,750.54","$17,164.04",,"$19,592.93","$28,282.00","$30,511.00",,"$2,229.00",7.88
,1000.9200.1000.56100.050,,,Program Supplies,"$25,961.64","$21,796.40",,"$28,092.50","$28,977.00","$29,565.00",,$588.00,2.03
,,,,,Page,41 of 89,,,,,,,
