,,,,,RSU,No.,5,,,,,
Article,1,Regular,Instruction- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.1200.1000.53400.300,,Purchased Professional Services,"$21,743.85","$33,713.99",,"$19,336.71",,"$49,865.00","$55,980.00","$6,115.00",12.26
,1000.1200.1000.54300.300,,Copier Repair/Maint,"$42,666.75","$37,944.50",,"$29,157.37",,"$42,882.00","$40,000.00","($2,882.00)",(6.72)
,1000.1200.1000.54330.300,,Software,$0.00,,$0.00,,$0.00,$0.00,$200.00,$200.00,0.00
,1000.1200.1000.55630.300,,Secondary Tuition Paid To Private,"Scho$o1l5,000.00","$18,000.00",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.1200.1000.55800.300,,Travel,$469.68,,$0.00,,$603.42,"$1,000.00","$1,000.00",$0.00,0.00
,1000.1200.1000.56000.300,,Supplies High School,$0.00,,$0.00,,$41.99,$0.00,$0.00,$0.00,0.00
,1000.1200.1000.56100.300,,Instructional Supplies High School,"$40,211.58","$49,191.50",,"$37,921.27",,"$51,279.00","$51,069.00",($210.00),(0.41)
,1000.1200.1000.56400.300,,Books High School,"$6,753.91","$19,267.79",,"$26,004.54",,"$13,280.00","$8,643.00","($4,637.00)",(34.92)
,1000.1200.1000.57300.300,,Equipment High School,"$18,914.96","$19,587.15",,"$15,791.45",,"$23,275.00","$21,327.00","($1,948.00)",(8.37)
,1000.1200.1000.58100.300,,Dues and Fees,$0.00,,$0.00,,$0.00,$0.00,"$1,414.00","$1,414.00",0.00
,1000.1200.1000.58900.300,,Regular Instruction Miscellaneous,Expenditure$s0.00,,$0.00,,$404.00,$0.00,$0.00,$0.00,0.00
Program:,,SECONDARY PROGRAMS,- 1200,"$3,904,109.91","$3,597,639.78",,"$3,989,176.55",,"$4,298,803.83","$4,436,965.00","$138,161.17",3.21
,1000.4200.1000.53000.300,,JMG,"$25,000.00","$25,000.00",,"$25,000.00",,"$25,000.00","$27,000.00","$2,000.00",8.00
Program:,ALT (AT,RISK) ED,PROGRAMS - 4200,"$25,000.00","$25,000.00",,"$25,000.00",,"$25,000.00","$27,000.00","$2,000.00",8.00
Function:,REGULAR,INSTRUCTION,- 1000,"$3,929,109.91","$3,622,639.78",,"$4,014,176.55",,"$4,323,803.83","$4,463,965.00","$140,161.17",3.24
Cost,Center:,FREEPORT HIGH,SCHOOL - 300,"$3,929,109.91","$3,622,639.78",,"$4,014,176.55",,"$4,323,803.83","$4,463,965.00","$140,161.17",3.24
,1000.1100.1000.51010.900,,TEACHER ADDITIONAL PAY,CLEARING $0.00,"$6,225.02",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.1100.1000.59000.900,,Contingency,$0.00,,$0.00,,$0.00,"$177,000.00","$177,000.00",$0.00,0.00
Program:,,ELEMENTARY PROGRAMS,- 1100,$0.00,"$6,225.02",,,$0.00,"$177,000.00","$177,000.00",$0.00,0.00
,Page 10,of 80,,,,,,,,,,
