,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,4 Other,,Instruction-,,Proposed,,,,,,,,,
From,Date:,7/1/2026,,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,FY23 Actual,FY24 Actual,FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,,Description,,,,,,,,,
,1000.9600.2330.51010.300,,,,Athletic,Director Salary -,"$100,618.86","$77,420.02",,"$81,270.17","$85,701.00","$90,415.00",,"$4,714.00",5.50
,,,,,FHS,,,,,,,,,,
,1000.9600.2330.51060.300,,,,Athletic,Trainer Salary,$0.00,"$64,575.20",,"$66,150.00","$70,119.00","$73,976.00",,"$3,857.00",5.50
,1000.9600.2330.51180.300,,,,Athletic,Office Support Staff,"$7,094.56","$14,783.81",,"$15,235.17","$16,595.00","$16,800.00",,$205.00,1.24
,,,,,Wages,- FHS,,,,,,,,,
,1000.9600.2330.52010.300,,,,Athletic,Director Benefits -,"$16,664.94","$11,916.41",,"$13,457.94","$20,598.00","$22,394.00",,"$1,796.00",8.72
,,,,,FHS,,,,,,,,,,
,1000.9600.2330.52060.300,,,,Athletic,Trainer Benefits,$0.00,"$13,784.47",,"$23,302.69","$20,670.00","$21,995.00",,"$1,325.00",6.41
,1000.9600.2330.52080.300,,,,Athletic,Office Support Staff,$505.05,"$1,261.24",,"$8,494.65","$3,795.00","$5,362.00",,"$1,567.00",41.29
,,,,,Benefits,- FHS,,,,,,,,,
,1000.9600.2330.52310.300,,,,Athletic,Director Retirement,"$1,558.58","$3,441.88",,"$3,614.00","$3,831.00","$4,042.00",,$211.00,5.51
,,,,,- FHS,,,,,,,,,,
,1000.9600.2330.52340.300,,,,Athletic,Dir Retirement,"$1,449.55",,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,Program:,EXTRA-CURRICULAR,9-12,- 9600,,,"$127,891.54","$187,183.03",,"$211,524.62","$221,309.00","$234,984.00","$13,675.00",,6.18
,Function: SPECIAL,AREA,,ADMINISTRATION,- 2330,,"$127,891.54","$187,183.03",,"$211,524.62","$221,309.00","$234,984.00","$13,675.00",,6.18
Cost,Center:,FREEPORT,HIGH,SCHOOL -,300,,"$564,277.12","$622,751.56",,"$678,520.28","$736,036.00","$769,494.00","$33,458.00",,4.55
,1000.9100.1000.51500.950,,,,Stipends,Paid,"$2,544.00","$1,272.00",,"$1,380.53","$1,486.00","$1,486.00",,$0.00,0.00
,1000.9100.1000.52000.950,,,,,Employee Benefits,$202.02,,$104.60,$120.47,$50.00,$50.00,,$0.00,0.00
,Program:,CO-CURRICULAR,K-8 -,9100,,,"$2,746.02","$1,376.60",,"$1,501.00","$1,536.00","$1,536.00",,$0.00,0.00
,Function: REGULAR,,INSTRUCTION,- 1000,,,"$2,746.02","$1,376.60",,"$1,501.00","$1,536.00","$1,536.00",,$0.00,0.00
Cost,Center: K-8,- 950,,,,,"$2,746.02","$1,376.60",,"$1,501.00","$1,536.00","$1,536.00",,$0.00,0.00
Grand,Total:,,,,,,"$919,318.38","$964,393.45",,"$1,032,642.09","$1,119,087.00","$1,172,539.00","$53,452.00",,4.78
,,,,,,,End of,Report,,,,,,,
,,,,,,,Page 44,of 89,,,,,,,
