,,,,,,,RSU,No.,5,,,,,
,Article 1,Regular,Instruction,- -,Adopted,,,,,,,,,
From,Date:,7/1/2022,,To Date:,6/30/2023,Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,,,FY23,Adopted,,
,Account,,,Description,,,,,,,,,,
,1000.4900.1000.52010.990,,Teacher,Benefits,,"$20,973",,"$21,107",,$52,"$3,173","$3,174",$1,0.02
,1000.4900.1000.52300.950,,Retirement,,,$0,,$0,,$0,$642,$642,$0,0.00
,1000.4900.1000.52300.990,,Retirement,,,$0,,$0,,$0,$12,$12,$0,0.00
,1000.4900.1000.52310.950,,Retirement,,,"$5,243",,"$5,580",,"$1,388","$8,166","$8,596",$430,5.27
,1000.4900.1000.52310.990,,Retirement,,,"$2,017",,"$2,318",,$11,"$1,199",$354,($845),(70.47)
,1000.4900.1000.53000.950,,Purchased,,Professional Services,$0,,$0,,"$1,822","$3,867","$4,515",$648,16.74
,1000.4900.1000.53000.990,,Purchase,Professional,Services,$0,,$0,,$0,$345,$0,($345),(100.00)
,1000.4900.1000.53400.950,,Professional,,Services Testing,$177,,"$1,404",,$0,$0,$0,$0,0.00
,1000.4900.1000.53440.950,,GaTE,K-8,Professional Servies,"$4,107",,"$1,410",,$316,$0,$0,$0,0.00
,1000.4900.1000.53440.990,,GaTE,HS Professional,Services,"$2,990",,"$2,407",,"$1,099","$9,325","$9,355",$30,0.32
,1000.4900.1000.55800.950,,Travel,,,$431,,$448,,$0,$908,$908,$0,0.00
,1000.4900.1000.55800.990,,Travel,,,$293,,$483,,$0,$300,$0,($300),(100.00)
,1000.4900.1000.56100.950,,GaTE,K-8 Instructional,Supplies,"$1,223",,"$1,780",,"$1,147","$4,292","$3,836",($456),(10.63)
,1000.4900.1000.56100.990,,GaTE,HS Instructional,Supplies,$0,,$0,,$0,$563,$463,($100),(17.76)
,1000.4900.1000.56400.950,,GaTE,K-8 Books,,$711,,$495,,$447,"$1,200","$1,200",$0,0.00
,1000.4900.1000.58100.950,,Dues,and Fees,,$0,,$0,,$0,"$2,752","$3,352",$600,21.80
Grand,Total:,,,,,"$13,197,769","$13,932,988",,"$12,777,724",,"$15,714,380","$16,401,257","$686,877",4.37
,,,,,,,End,of Report,,,,,,
