,,,,,RSU,No.,5,,,,,,
Article,4 Other,Instruction- Adopted,,,,,,,,,,,
,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
1000.4300.1000.51010.010,,Summer School,Teacher Salary -,"$8,352.00",$0.00,"$8,352.00",,$0.00,$0.00,"$8,352.00",$0.00,"$8,352.00",100.00%
,,DCS,,,,,,,,,,,
1000.4300.1000.51020.010,,Summer School ET,Wages - DCS,"$4,050.00",$0.00,"$4,050.00",,$0.00,$0.00,"$4,050.00",$0.00,"$4,050.00",100.00%
1000.4300.1000.52010.010,,Summer School,Teacher Benefits -,$281.00,$0.00,,$281.00,$0.00,$0.00,$281.00,$0.00,$281.00,100.00%
,,DCS,,,,,,,,,,,
1000.4300.1000.52020.010,,Summer School ET,Benefits - DCS,$136.00,$0.00,,$136.00,$0.00,$0.00,$136.00,$0.00,$136.00,100.00%
1000.4300.1000.52310.010,,Summer School,Teacher,$373.00,$0.00,,$373.00,$0.00,$0.00,$373.00,$0.00,$373.00,100.00%
,,Retirement - DCS,,,,,,,,,,,
1000.4300.1000.52320.010,,Summer School ET,Retirement -,$181.00,$0.00,,$181.00,$0.00,$0.00,$181.00,$0.00,$181.00,100.00%
,,DCS,,,,,,,,,,,
,Program:,SUMMER,SCHOOL - 4300,"$13,373.00",$0.00,"$13,373.00",,$0.00,$0.00,"$13,373.00",$0.00,"$13,373.00",100.00%
1000.9100.1000.51500.010,,Stipends,,"$30,841.00",$0.00,"$30,841.00",,$0.00,$0.00,"$30,841.00",$0.00,"$30,841.00",100.00%
1000.9100.1000.52000.010,,Benefits,,"$1,036.00",$0.00,"$1,036.00",,$0.00,$0.00,"$1,036.00",$0.00,"$1,036.00",100.00%
1000.9100.1000.52300.010,,Retirement,,"$1,379.00",$0.00,"$1,379.00",,$0.00,$0.00,"$1,379.00",$0.00,"$1,379.00",100.00%
1000.9100.1000.56000.010,,Supplies,,"$1,250.00",$0.00,"$1,250.00",,$0.00,$0.00,"$1,250.00",$0.00,"$1,250.00",100.00%
1000.9100.1000.58100.010,,Dues & Fees,,"$1,422.00",$0.00,"$1,422.00",,$0.00,$0.00,"$1,422.00",$0.00,"$1,422.00",100.00%
,Program:,CO-CURRICULAR,K-8 - 9100,"$35,928.00",$0.00,"$35,928.00",,$0.00,$0.00,"$35,928.00",$0.00,"$35,928.00",100.00%
