,,,,,,,,RSU,No.,5,,,,,
Article,4,Other,Instruction-,Adopted,,,,,,,,,,,
From,Date:,7/1/2023,To,Date:,6/30/2024,,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,,Percentage
,,,,,,FY20,Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,,
,1000.9600.1000.58100.300,,Dues and,Fees,,,"$33,806.39","$34,853.33",,"$43,562.69",,"$46,969.00","$50,114.00","$3,145.00",6.70
Program:,,EXTRA-CURRICULAR,9-12 -,9600,,,"$332,938.84","$290,805.62",,"$322,088.46",,"$397,705.00","$426,043.00","$28,338.00",7.13
Function:,REGULAR,INSTRUCTION,- 1000,,,,"$421,959.34","$379,739.79",,"$418,713.84",,"$500,403.00","$542,970.00","$42,567.00",8.51
,1000.9600.2330.51010.300,,Athletic,Director Salary,- FHS,,$0.00,,$0.00,"$73,661.16",,"$75,387.00","$76,127.00",$740.00,0.98
,1000.9600.2330.51180.300,,Athletic,Office Support,Staff,Wages - FHS,$0.00,,$0.00,"$13,273.45",,"$12,189.00","$13,926.00","$1,737.00",14.25
,1000.9600.2330.52010.300,,Athletic,Director,Benefits - FHS,,$0.00,,$0.00,"$13,633.39",,$0.00,"$42,639.00","$42,639.00",0.00
,1000.9600.2330.52080.300,,Athletic,Office Support,Staff,Benefits - FHS,$0.00,,$0.00,,"$1,043.50",$0.00,"$3,662.00","$3,662.00",0.00
,1000.9600.2330.52310.300,,Athletic,Director,Retirement -,FHS,$0.00,,$0.00,,"$2,828.64",$0.00,"$4,536.00","$4,536.00",0.00
Program:,,EXTRA-CURRICULAR,9-12 -,9600,,,$0.00,,$0.00,"$104,440.14",,"$87,576.00","$140,890.00","$53,314.00",60.88
Function:,SPECIAL,AREA,ADMINISTRATION,- 2330,,,$0.00,,$0.00,"$104,440.14",,"$87,576.00","$140,890.00","$53,314.00",60.88
Cost,Center:,FREEPORT HIGH,SCHOOL,- 300,,,"$421,959.34","$379,739.79",,"$523,153.98",,"$587,979.00","$683,860.00","$95,881.00",16.31
,1000.9100.1000.51500.950,,Stipends,Paid,,,$0.00,,$0.00,,$0.00,$0.00,"$1,272.00","$1,272.00",0.00
,1000.9100.1000.52000.950,,Employee,Benefits,,,$0.00,,$0.00,,$0.00,$0.00,$30.00,$30.00,0.00
Program:,,CO-CURRICULAR,K-8 - 9100,,,,$0.00,,$0.00,,$0.00,$0.00,"$1,302.00","$1,302.00",0.00
Function:,REGULAR,INSTRUCTION,- 1000,,,,$0.00,,$0.00,,$0.00,$0.00,"$1,302.00","$1,302.00",0.00
Cost,Center: K-8,- 950,,,,,$0.00,,$0.00,,$0.00,$0.00,"$1,302.00","$1,302.00",0.00
,Page 38,of 80,,,,,,,,,,,,,
