,,,,,,RSU,No.,5,,,,,
FY25,Article,2 Special,Education-,Proposed,,,,,,,,,
From,Date:,3/1/2024,To,Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.2800.2170.52010.950,,PT Benefits,,"$4,183.76","$10,538.82",,"$11,547.44",,"$16,519.00","$16,569.00",$50.00,0.30
,1000.2800.2170.52310.950,,PT Retirement,,$351.36,"$1,577.76",,,"$2,322.18","$2,705.00","$2,046.00",($659.00),(24.36)
,1000.2800.2170.55800.950,,Travel,,$0.00,,$0.00,,$242.83,$0.00,$0.00,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,"$43,057.51","$50,541.81",,"$57,377.85",,"$79,746.00","$61,055.00","($18,691.00)",(23.44)
Function:,PT -,2170,,,"$43,057.51","$50,541.81",,"$57,377.85",,"$79,746.00","$61,055.00","($18,691.00)",(23.44)
,1000.2500.2330.53440.950,,MAINECARE,SEED- BEHAVORIAL,"DAY$9,244.78","$31,279.62",,"$45,032.30",,"$65,000.00","$60,000.00","($5,000.00)",(7.69)
Program:,,ADMINISTRATION,- 2500,,"$9,244.78","$31,279.62",,"$45,032.30",,"$65,000.00","$60,000.00","($5,000.00)",(7.69)
Function:,SPECIAL,AREA,ADMINISTRATION,- 2330,"$9,244.78","$31,279.62",,"$45,032.30",,"$65,000.00","$60,000.00","($5,000.00)",(7.69)
Cost,Center: K-8,- 950,,,"$61,456.39","$183,268.08",,"$210,922.03",,"$254,340.00","$251,808.00","($2,532.00)",(1.00)
,1000.2400.1000.53440.990,,Tutoring,Services - Hospital/Homebound,SEC$0.00,,$697.50,,$0.00,"$15,000.00","$5,000.00","($10,000.00)",(66.67)
Program:,,Homebound/Hospital,- 2400,,$0.00,,$697.50,,$0.00,"$15,000.00","$5,000.00","($10,000.00)",(66.67)
Function:,REGULAR,INSTRUCTION,- 1000,,$0.00,,$697.50,,$0.00,"$15,000.00","$5,000.00","($10,000.00)",(66.67)
,1000.2800.2110.52310.990,,Retirement,,$0.00,"($1,481.30)",,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,$0.00,"($1,481.30)",,,$0.00,$0.00,$0.00,$0.00,0.00
Function:,Attendance,& Social,Work - 2110,,$0.00,"($1,481.30)",,,$0.00,$0.00,$0.00,$0.00,0.00
,03/13/2024,,,,,,,,,,,30,
