,,,,,,,RSU,No.,5,,,,,,
,Article 3,CTE-,Adopted,,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account Number,,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.3000.1000.55640.300,,MVR,10 Assessment,,"$307,645.00",$0.00,"$307,645.00",,$0.00,$0.00,"$307,645.00",$0.00,"$307,645.00",100.00%
,,,Program:,CAREER & TECH,ED - 3000,"$307,645.00",$0.00,"$307,645.00",,$0.00,$0.00,"$307,645.00",$0.00,"$307,645.00",100.00%
,,Function:,REGULAR,INSTRUCTION,- 1000,"$307,645.00",$0.00,"$307,645.00",,$0.00,$0.00,"$307,645.00",$0.00,"$307,645.00",100.00%
,,Cost Center:,FREEPORT,HIGH,SCHOOL - 300,"$307,645.00",$0.00,"$307,645.00",,$0.00,$0.00,"$307,645.00",$0.00,"$307,645.00",100.00%
Grand,Total:,,,,,"$307,645.00",$0.00,"$307,645.00",,$0.00,$0.00,"$307,645.00",$0.00,"$307,645.00",100.00%
,,,,,,,End,of Report,,,,,,,
