,,,,,,RSU,No. 5,,,,,,,
FY27,Article,1 Regular,,Instruction-,Proposed,,,,,,,,,
From,Date:,7/1/2026,,To Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,Description,,,,,,,,,
,1000.1200.1000.54300.300,,,,Copier Repair/Maint,"$40,597.85","$42,092.73",,"$42,596.95","$40,000.00","$40,000.00",,$0.00,0.00
,1000.1200.1000.54330.300,,,,Software,$0.00,,"$1,167.56",$0.00,$200.00,$200.00,,$0.00,0.00
,1000.1200.1000.55800.300,,,,Travel,"$1,398.90",,$268.08,$877.09,"$1,500.00","$1,500.00",,$0.00,0.00
,1000.1200.1000.56100.300,,,,Instructional Supplies High,"$55,902.35","$56,736.15",,"$50,631.22","$54,490.00","$57,499.00",,"$3,009.00",5.52
,,,,,School,,,,,,,,,
,1000.1200.1000.56110.300,,,,"Equipment & Furniture,",$0.00,,$0.00,$0.00,"$4,769.00","$12,373.00",,"$7,604.00",159.45
,,,,,Instructional,,,,,,,,,
,1000.1200.1000.56400.300,,,,Books High School,"$8,330.58",,"$5,615.94","$8,820.13","$21,780.00","$12,665.00","($9,115.00)",,(41.85)
,1000.1200.1000.57300.300,,,,Equipment High School,"$17,646.45","$15,215.80",,"$5,200.52",$0.00,$0.00,,$0.00,0.00
,1000.1200.1000.58100.300,,,,Dues and Fees,$215.00,,$275.00,$653.76,"$1,264.00","$1,784.00",,$520.00,41.14
Program:,,SECONDARY,PROGRAMS -,1200,,"$4,142,049.98","$4,449,486.26",,"$4,851,275.59","$5,058,884.00","$5,283,140.00","$224,256.00",,4.43
,1000.4200.1000.53000.300,,,,JMG,"$25,000.00","$27,000.00",,"$27,000.00","$27,000.00","$27,000.00",,$0.00,0.00
Program:,ALT (AT,RISK) ED,PROGRAMS,- 4200,,"$25,000.00","$27,000.00",,"$27,000.00","$27,000.00","$27,000.00",,$0.00,0.00
Function:,REGULAR,INSTRUCTION,-,1000,,"$4,167,049.98","$4,476,486.26",,"$4,878,275.59","$5,085,884.00","$5,310,140.00","$224,256.00",,4.41
Cost,Center:,FREEPORT HIGH,SCHOOL,- 300,,"$4,167,049.98","$4,476,486.26",,"$4,878,275.59","$5,085,884.00","$5,310,140.00","$224,256.00",,4.41
,1000.4100.1000.53000.900,,,,Purchased Professional,$0.00,,$0.00,"$6,181.65",$0.00,$0.00,,$0.00,0.00
,,,,,Services,,,,,,,,,
,1000.4100.1000.53300.900,,,,Employee Training &,$0.00,,"$1,200.00",$0.00,$0.00,$0.00,,$0.00,0.00
,,,,,Development,,,,,,,,,
,1000.4100.1000.55800.900,,,,Travel - district wide,$0.00,,$0.00,$171.44,$0.00,$0.00,,$0.00,0.00
Program:,ELL -,4100,,,,$0.00,,"$1,200.00","$6,353.09",$0.00,$0.00,,$0.00,0.00
Function:,REGULAR,INSTRUCTION,-,1000,,$0.00,,"$1,200.00","$6,353.09",$0.00,$0.00,,$0.00,0.00
,,,,,,Page,12 of 89,,,,,,,
