,,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,2,Special,,Education-,,Proposed,,,,,,,,,
From,Date:,7/1/2026,,,To Date:,,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,,,Description,,,,,,,,,
,1000.2800.2150.53000.950,,,,,Purchased,Professional,$0.00,"$117,415.00",,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.2800.2150.53440.950,,,,,,MAINECARE SEED-,$76.41,,$308.84,$873.30,$0.00,$0.00,,$0.00,0.00
,,,,,,,SPEECH/HEARING,,,,,,,,,
Program:,OTHER,SPECIAL,,PROGRAMS,-,2800,,$76.41,"$117,723.84",,$873.30,$0.00,$0.00,,$0.00,0.00
Function:,SPEECH,&,AUDIOLOGY,-,2150,,,$76.41,"$117,723.84",,$873.30,$0.00,$0.00,,$0.00,0.00
,1000.2800.2170.51010.950,,,,,PT,Salary,"$43,265.40","$42,632.48",,"$67,919.82","$71,995.00","$75,955.00",,"$3,960.00",5.50
,1000.2800.2170.52010.950,,,,,PT,Benefits,"$11,547.44",,"$9,869.97","$17,452.18","$20,058.00","$21,501.00",,"$1,443.00",7.19
,1000.2800.2170.52310.950,,,,,PT,Retirement,"$2,322.18",,"$2,046.47","$3,024.54","$3,218.00","$3,395.00",,$177.00,5.50
,1000.2800.2170.53440.950,,,,,,MAINECARE SEED-,$0.00,,$0.00,$118.56,$0.00,$0.00,,$0.00,0.00
,,,,,,,AUDIOLOGY,,,,,,,,,
,1000.2800.2170.55800.950,,,,,Travel,,$242.83,,$0.00,$0.00,$300.00,$300.00,,$0.00,0.00
Program:,OTHER,SPECIAL,,PROGRAMS,-,2800,,"$57,377.85","$54,548.92",,"$88,515.10","$95,571.00","$101,151.00",,"$5,580.00",5.84
Function:,PT -,2170,,,,,,"$57,377.85","$54,548.92",,"$88,515.10","$95,571.00","$101,151.00",,"$5,580.00",5.84
,1000.2500.2330.53440.950,,,,,,MAINECARE SEED-,"$45,032.30",,"$2,603.49","$10,343.58","$54,500.00","$60,000.00",,"$5,500.00",10.09
,,,,,,,BEHAVORIAL DAY,,,,,,,,,
Program:,,ADMINISTRATION,-,2500,,,,"$45,032.30",,"$2,603.49","$10,343.58","$54,500.00","$60,000.00",,"$5,500.00",10.09
Function:,SPECIAL,AREA,,ADMINISTRATION,,- 2330,,"$45,032.30",,"$2,603.49","$10,343.58","$54,500.00","$60,000.00",,"$5,500.00",10.09
Cost,Center: K-8,- 950,,,,,,"$210,922.03","$391,189.49",,"$259,457.41","$308,192.00","$347,140.00","$38,948.00",,12.64
,,,,,,,,Page,34 of 89,,,,,,,
