,,,,,RSU,No.,5,,,,,
Article 8,Transportation,& Buses,- - Adopted,,,,,,,,,
From Date:,7/1/2022,To,Date: 6/30/2023,Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,Percentage
,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,FY23,Adopted,,
Account,,Description,,,,,,,,,,
1000.0000.2700.51020.900,,Ed Tech Salaries,,"$19,134",,"$5,883",,$0,"$6,000","$10,377","$4,377",72.95
1000.0000.2700.51040.900,,Administrator,Salary,"$84,729","$101,153",,,"$85,714","$93,934","$97,691","$3,757",4.00
1000.0000.2700.51180.900,,Bus Drivers,Salaries,"$499,469","$365,568",,,"$570,067","$469,503","$584,250","$114,747",24.44
1000.0000.2700.51200.900,,Substitute,Salaries,"$33,978",,"$31,218",,"$34,104","$30,000","$33,000","$3,000",10.00
1000.0000.2700.52000.900,,Sub Bus Driver,Benefits,"$5,743",,"$6,666",,"$3,828","$2,319","$1,650",($669),(28.85)
1000.0000.2700.52020.900,,Ed Tech Benefits,,"$6,056",,"$1,861",,$0,"$2,000","$17,002","$15,002",750.10
1000.0000.2700.52040.900,,Administrator,Benefits,"$32,628",,"$34,164",,"$17,767","$36,207","$32,679","($3,528)",(9.74)
1000.0000.2700.52080.900,,Bus Driver,Benefits,"$194,575","$163,247",,,"$99,781","$156,324","$266,747","$110,423",70.64
1000.0000.2700.52180.900,,Retirement,,$423,,$8,,$0,$0,$0,$0,0.00
1000.0000.2700.52320.900,,Retirement,,$601,,$126,,$0,"$1,680","$1,679",($1),(0.06)
1000.0000.2700.52380.900,,Retirement,,$0,,$37,,$0,$0,$0,$0,0.00
1000.0000.2700.53000.900,,Purchased,Professional,"$19,132",,"$43,139",,"$3,438","$11,605","$11,605",$0,0.00
1000.0000.2700.53300.900,,Employee,Training,$642,,$630,,$0,"$1,359","$1,359",$0,0.00
1000.0000.2700.53400.900,,Contracted,Services,"$1,484",,$660,,$463,"$4,000","$4,000",$0,0.00
1000.0000.2700.54300.900,,Purchased,Repair/Maint,"$57,537",,"$35,184",,"$44,103","$50,000","$60,000","$10,000",20.00
1000.0000.2700.54450.900,,Bus Garage,Lease,"$12,500",,"$12,500",,"$12,500","$12,875","$12,875",$0,0.00
1000.0000.2700.55100.900,,Student,Transportation Contracted,"Servic $1,506",,"$4,963",,$0,$0,$0,$0,0.00
1000.0000.2700.55200.900,,Insurance,,"$10,855",,"$11,125",,"$13,912","$16,694","$16,694",$0,0.00
1000.0000.2700.56260.900,,Fleet Fuel,,"$128,346",,"$85,180",,"$102,064","$150,405","$150,405",$0,0.00
1000.0000.2700.56700.900,,Supplies,,"$80,189",,"$41,769",,"$64,191","$65,000","$65,000",$0,0.00
1000.0000.2700.58100.900,,Dues and Fees,,$884,,"$1,736",,"$4,581","$5,700","$5,700",$0,0.00
1000.0000.2700.58310.900,,Principal-Bus,Lease Purchase,"$269,522","$358,800",,,"$95,589","$67,000","$65,310","($1,690)",(2.52)
1000.0000.2750.51020.900,,Ed Tech Salaries,,"$3,754",,"$3,637",,"$9,324","$3,465",$0,"($3,465)",(100.00)
1000.0000.2750.51180.900,,Support Wages,,"$46,855",,"$41,574",,"$35,619",$0,$0,$0,0.00
,,,,,RSU,No.,5,,,,,
,Article 8,Transportation,& Buses - -,Adopted,,,,,,,,
From,Date:,7/1/2022,To Date:,6/30/2023 Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,Percentage
,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,FY23,Adopted,,
,Account,,Description,,,,,,,,,
,1000.0000.2750.52020.900,,Ed Tech Benefits,$913,,"$1,111",,$133,"$1,274",$0,"($1,274)",(100.00)
