,,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,and Staff,Support-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,Description,,,,,,,,,
,1000.0000.2230.52010.030,,,Teacher,Benefits,$7.71,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.52310.030,,,Retirement,,$14.41,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,$397.12,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
Function:,,INSTRUCTION RELATED,TECHNOLOGY,-,,$397.12,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
2230,,,,,,,,,,,,,,
Cost,Center:,POWNAL ELEMENTARY,- 030,,,"$185,431.80","$240,072.37",,"$185,010.71","$206,379.00","$219,819.00","$13,440.00",,6.51
,1000.0000.2110.51010.040,,,Social,Worker Salaries,$0.00,"$22,513.76",,"$24,669.49","$25,385.00","$26,781.00",,"$1,396.00",5.50
,1000.0000.2110.52010.040,,,Social,Worker Benefits,$0.00,,"$3,627.53","$4,572.26","$5,719.00","$6,106.00",,$387.00,6.77
,1000.0000.2110.52310.040,,,Social,Worker Retirement,$0.00,,"$1,006.46","$1,098.68","$1,135.00","$1,197.00",,$62.00,5.46
Program:,OVERHEAD,- 0000,,,,$0.00,"$27,147.75",,"$30,340.43","$32,239.00","$34,084.00",,"$1,845.00",5.72
Function:,Attendance,& Social,Work - 2110,,,$0.00,"$27,147.75",,"$30,340.43","$32,239.00","$34,084.00",,"$1,845.00",5.72
,1000.0000.2120.51010.040,,,Guidance,Salaries,"$99,930.13","$82,534.12",,"$92,372.05","$95,040.00","$101,060.00",,"$6,020.00",6.33
,1000.0000.2120.52010.040,,,Benefits,,"$9,251.11",,"$5,794.01","$3,089.78","$7,149.00","$7,357.00",,$208.00,2.91
,1000.0000.2120.52310.040,,,Retirement,,"$3,831.00",,"$3,696.57","$3,957.57","$4,248.00","$4,517.00",,$269.00,6.33
,1000.0000.2120.53000.040,,,Purchased,Professional,$226.25,,$66.66,$300.00,$300.00,$300.00,,$0.00,0.00
,1000.0000.2120.54330.040,,,Software,,$333.33,,$333.33,$275.33,$334.00,$500.00,,$166.00,49.70
,1000.0000.2120.56100.040,,,,Instructional Supplies,$19.35,,$167.30,$338.76,"$1,100.00","$1,100.00",,$0.00,0.00
,1000.0000.2120.56400.040,,,Guidance,Books &,$0.00,,$0.00,$99.09,$100.00,$100.00,,$0.00,0.00
,,,,Periodicals,,,,,,,,,,
,,,,,,Page,53 of 89,,,,,,,
