,,,,,,RSU,No. 5,,,,,,,
FY27,Article,4 Other,Instruction-,Proposed,,,,,,,,,,
From,Date:,7/1/2026,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,Description,,,,,,,,,
,1000.4300.1000.51010.010,,,Summer,School Teacher,$0.00,,$0.00,$0.00,"$8,352.00","$8,937.00",,$585.00,7.00
,,,,Salary -,DCS,,,,,,,,,
,1000.4300.1000.51020.010,,,Summer,School ET Wages,$0.00,,$0.00,$0.00,"$4,050.00","$4,050.00",,$0.00,0.00
,,,,- DCS,,,,,,,,,,
,1000.4300.1000.52010.010,,,Summer,School Teacher,$0.00,,$0.00,$0.00,$281.00,$894.00,,$613.00,218.15
,,,,Benefits -,DCS,,,,,,,,,
,1000.4300.1000.52020.010,,,Summer,School ET Benefits,$0.00,,$0.00,$0.00,$136.00,$405.00,,$269.00,197.79
,,,,- DCS,,,,,,,,,,
,1000.4300.1000.52310.010,,,Summer,School Teacher,$0.00,,$0.00,$0.00,$373.00,$399.00,,$26.00,6.97
,,,,Retirement,- DCS,,,,,,,,,
,1000.4300.1000.52320.010,,,Summer,School ET,$0.00,,$0.00,$0.00,$181.00,$181.00,,$0.00,0.00
,,,,Retirement,- DCS,,,,,,,,,
,Program: SUMMER,SCHOOL,- 4300,,,$0.00,,$0.00,$0.00,"$13,373.00","$14,866.00",,"$1,493.00",11.16
,1000.9100.1000.51180.010,,,Support,Wages - DCS,$228.75,,$420.00,$200.00,$0.00,$0.00,,$0.00,0.00
,1000.9100.1000.51500.010,,,Stipends,,"$33,146.19","$24,884.57",,"$25,167.00","$30,841.00","$29,441.00","($1,400.00)",,(4.54)
,1000.9100.1000.52000.010,,,Benefits,,"$5,078.01",,"$4,674.40","$4,276.68","$1,036.00",$989.00,,($47.00),(4.54)
,1000.9100.1000.52080.010,,,Support,Benefits - DCS,$2.48,,$16.30,$5.75,$0.00,$0.00,,$0.00,0.00
,1000.9100.1000.52300.010,,,Retirement,,"$1,064.00",,$997.71,"$1,116.27","$1,379.00","$1,316.00",,($63.00),(4.57)
,1000.9100.1000.52380.010,,,Retirement,for Regular,$0.00,,$19.62,$12.96,$0.00,$0.00,,$0.00,0.00
,,,,Employees,,,,,,,,,,
,1000.9100.1000.56000.010,,,Supplies,,$726.65,,"$1,043.27","$1,020.22","$1,250.00","$1,250.00",,$0.00,0.00
,1000.9100.1000.58100.010,,,Dues & Fees,,$810.00,,$765.00,"$1,500.00","$1,422.00","$1,867.00",,$445.00,31.29
,Program:,CO-CURRICULAR,K-8 - 9100,,,"$41,056.08","$32,820.87",,"$33,298.88","$35,928.00","$34,863.00","($1,065.00)",,(2.96)
,1000.9200.1000.51500.010,,,,EXTRA-CURRICULAR,"$4,090.00",,"$4,090.00","$2,180.00","$37,477.00","$37,477.00",,$0.00,0.00
,,,,STIPENDS,- DCS,,,,,,,,,
,,,,,,Page,38 of 89,,,,,,,
