,,,,,,,RSU,No.,5,,,,,
Article,2,Special,Education-,,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.2800.2110.51010.040,,Social,Worker,Salary,"$93,918.04","$62,567.25",,"$35,007.21",,"$36,246.00","$38,165.00","$1,919.00",5.29
,1000.2800.2110.52010.040,,Social,Worker,Benefits,"$27,779.01","$6,103.34",,,"$7,797.85","$15,258.00","$10,609.00","($4,649.00)",(30.47)
,1000.2800.2110.52310.040,,Retirement,,,"$3,907.02",,$947.52,,"$1,344.20","$1,507.00","$1,706.00",$199.00,13.21
,1000.2800.2110.55800.040,,Travel,,,$0.00,,$0.00,,$0.00,$150.00,$0.00,($150.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$125,604.07","$69,618.11",,"$44,149.26",,"$53,161.00","$50,480.00","($2,681.00)",(5.04)
Function:,Attendance,& Social,Work -,2110,,"$125,604.07","$69,618.11",,"$44,149.26",,"$53,161.00","$50,480.00","($2,681.00)",(5.04)
,1000.2800.2140.51010.040,,,Psychological,Services Salary,"$25,390.19","$32,555.20",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52010.040,,Psych,Services,Benefit,"$5,028.64","$1,246.98",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52310.040,,Retirement,,,"$1,056.13",,$294.30,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.55800.040,,Travel,,,$0.00,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$31,474.96","$34,096.48",,,$0.00,$125.00,$0.00,($125.00),(100.00)
Function:,,PSYCHOLOGICAL,- 2140,,,"$31,474.96","$34,096.48",,,$0.00,$125.00,$0.00,($125.00),(100.00)
,1000.2800.2150.51010.040,,Speech,&,Audiology Salaries,"$44,165.32","$45,101.52",,"$44,394.78",,"$86,897.00","$48,729.00","($38,168.00)",(43.92)
,1000.2800.2150.52010.040,,Speech,&,Audiology Benefits,"$10,699.85","$2,888.64",,"$12,861.75",,"$23,267.00","$14,089.00","($9,178.00)",(39.45)
,1000.2800.2150.52310.040,,Retirement,,,"$1,837.16",,$406.44,,"$1,704.82","$4,240.00","$2,178.00","($2,062.00)",(48.63)
,1000.2800.2150.55800.040,,Travel,,,$0.00,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$56,702.33","$48,396.60",,"$58,961.35",,"$114,529.00","$64,996.00","($49,533.00)",(43.25)
Function:,SPEECH,&,AUDIOLOGY -,2150,,"$56,702.33","$48,396.60",,"$58,961.35",,"$114,529.00","$64,996.00","($49,533.00)",(43.25)
,Page,21 of 80,,,,,,,,,,,,
