,,,,,,RSU,No.,5,,,,,,
Article,4,Other,Instruction-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,,Cost,Center: POWNAL,ELEMENTARY - 030,"$10,795.00",$0.00,"$10,795.00",,$0.00,$0.00,"$10,795.00",$0.00,"$10,795.00",100.00%
,1000.9100.1000.51500.040,,Stipends,,"$11,190.00",$0.00,"$11,190.00",,$0.00,$0.00,"$11,190.00",$0.00,"$11,190.00",100.00%
,1000.9100.1000.52000.040,,Stipend Benefits,,$376.00,$0.00,,$376.00,$0.00,$0.00,$376.00,$0.00,$376.00,100.00%
,1000.9100.1000.52300.040,,RETIREMENT,,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,1000.9100.1000.58100.040,,Dues & Fees,,$560.00,$0.00,,$560.00,$0.00,$0.00,$560.00,$0.00,$560.00,100.00%
,,,Program: CO-CURRICULAR,K-8 - 9100,"$12,626.00",$0.00,"$12,626.00",,$0.00,$0.00,"$12,626.00",$0.00,"$12,626.00",100.00%
,,Function:,REGULAR,INSTRUCTION - 1000,"$12,626.00",$0.00,"$12,626.00",,$0.00,$0.00,"$12,626.00",$0.00,"$12,626.00",100.00%
,,,Cost Center: MAST,LANDING - 040,"$12,626.00",$0.00,"$12,626.00",,$0.00,$0.00,"$12,626.00",$0.00,"$12,626.00",100.00%
,1000.9100.1000.51500.050,,Stipends,,"$35,164.00",$0.00,"$35,164.00",,$0.00,$0.00,"$35,164.00",$0.00,"$35,164.00",100.00%
,1000.9100.1000.52000.050,,Stipend Benefits,,"$1,181.00",$0.00,"$1,181.00",,$0.00,$0.00,"$1,181.00",$0.00,"$1,181.00",100.00%
,1000.9100.1000.52300.050,,Retirement,,"$1,572.00",$0.00,"$1,572.00",,$0.00,$0.00,"$1,572.00",$0.00,"$1,572.00",100.00%
,1000.9100.1000.56100.050,,Instructional,Supplies,"$3,900.00",$0.00,"$3,900.00",,$0.00,$0.00,"$3,900.00",$0.00,"$3,900.00",100.00%
,1000.9100.1000.58100.050,,Dues & Fees,,"$2,350.00",$0.00,"$2,350.00",,$0.00,$0.00,"$2,350.00",$0.00,"$2,350.00",100.00%
,,,Program: CO-CURRICULAR,K-8 - 9100,"$44,167.00",$0.00,"$44,167.00",,$0.00,$0.00,"$44,167.00",$0.00,"$44,167.00",100.00%
,1000.9200.1000.51500.050,,Stipends-Coaches,,"$81,816.00",$0.00,"$81,816.00",,$0.00,$0.00,"$81,816.00",$0.00,"$81,816.00",100.00%
,1000.9200.1000.52000.050,,Benefits,,"$2,749.00",$0.00,"$2,749.00",,$0.00,$0.00,"$2,749.00",$0.00,"$2,749.00",100.00%
,1000.9200.1000.52300.050,,Retirement,,"$3,657.00",$0.00,"$3,657.00",,$0.00,$0.00,"$3,657.00",$0.00,"$3,657.00",100.00%
,1000.9200.1000.53000.050,,Game Officials,,"$28,282.00",$0.00,"$28,282.00",,$0.00,$0.00,"$28,282.00",$0.00,"$28,282.00",100.00%
,1000.9200.1000.56100.050,,Program Supplies,,"$28,977.00",$0.00,"$28,977.00",,$0.00,$0.00,"$28,977.00",$0.00,"$28,977.00",100.00%
,1000.9200.1000.58100.050,,Dues and Fees,,"$18,243.00",$0.00,"$18,243.00",,$0.00,$0.00,"$18,243.00",$0.00,"$18,243.00",100.00%
,,Program:,EXTRA-CURRICULAR,K-8 - 9200,"$163,724.00",$0.00,"$163,724.00",,$0.00,$0.00,"$163,724.00",$0.00,"$163,724.00",100.00%
,,Function:,REGULAR,INSTRUCTION - 1000,"$207,891.00",$0.00,"$207,891.00",,$0.00,$0.00,"$207,891.00",$0.00,"$207,891.00",100.00%
,1000.9200.2330.51010.050,,Athletic Director,Salary -,"$36,729.00",$0.00,"$36,729.00",,$0.00,$0.00,"$36,729.00","$36,729.19",($0.19),0.00%
,1000.9200.2330.51180.050,,Athletic Office,Support Staff Wages,"$7,112.00",$0.00,"$7,112.00",,$0.00,$0.00,"$7,112.00","$16,064.28","($8,952.28)",-125.88%
,,,-,,,,,,,,,,,
,1000.9200.2330.52010.050,,Athletic Director,Benefits -,"$13,381.00",$0.00,"$13,381.00",,$0.00,$0.00,"$13,381.00",$0.00,"$13,381.00",100.00%
,1000.9200.2330.52080.050,,Athletic Office,Support Staff,"$1,627.00",$0.00,"$1,627.00",,$0.00,$0.00,"$1,627.00",$0.00,"$1,627.00",100.00%
,,,Benefits -,,,,,,,,,,,
,1000.9200.2330.52310.050,,Athletic Director,Retirement -,"$1,642.00",$0.00,"$1,642.00",,$0.00,$0.00,"$1,642.00",$0.00,"$1,642.00",100.00%
,,Program:,EXTRA-CURRICULAR,K-8 - 9200,"$60,491.00",$0.00,"$60,491.00",,$0.00,$0.00,"$60,491.00","$52,793.47","$7,697.53",12.73%
,Function:,SPECIAL,AREA,ADMINISTRATION - 2330,"$60,491.00",$0.00,"$60,491.00",,$0.00,$0.00,"$60,491.00","$52,793.47","$7,697.53",12.73%
,Cost,Center:,FREEPORT MIDDLE,SCHOOL - 050,"$268,382.00",$0.00,"$268,382.00",,$0.00,$0.00,"$268,382.00","$52,793.47","$215,588.53",80.33%
,1000.4300.1000.51010.300,,Summer School,Teacher Salary -,"$8,686.00",$0.00,"$8,686.00",,$0.00,$0.00,"$8,686.00",$0.00,"$8,686.00",100.00%
,,,FHS,,,,,,,,,,,
