,,,,,,,,RSU,No.,5,,,,,
FY25,Article,1 Regular,Instruction-,,,Proposed,,,,,,,,,
From,Date:,3/1/2024,To,Date:,,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,,Percent
,,,,,,FY21,Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,,
,1000.1100.1000.54300.050,,Copiers,Repair/Maint,,,"$9,699.54","$10,064.41",,,"$6,566.37","$16,100.00","$16,100.00",$0.00,0.00
,1000.1100.1000.54330.050,,Software,,,,"$6,149.30","$5,904.87",,,"$5,705.67","$5,908.00","$5,908.00",$0.00,0.00
,1000.1100.1000.55800.050,,Travel,,,,$889.29,,$900.64,,"$2,364.82","$3,000.00","$3,000.00",$0.00,0.00
,1000.1100.1000.56000.050,,Supplies,,,,$48.64,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.1100.1000.56100.050,,Instructional,Supplies,,,"$53,561.70","$42,472.07",,"$43,581.32",,"$43,313.00","$43,313.00",$0.00,0.00
,1000.1100.1000.56400.050,,Books,,,,"$9,695.74","$8,433.80",,,"$9,537.62","$12,000.00","$12,000.00",$0.00,0.00
,1000.1100.1000.57300.050,,Equipment,,,,"$27,377.14","$18,169.65",,"$18,474.45",,"$21,466.00","$21,425.00",($41.00),(0.19)
,1000.1100.1000.58100.050,,Dues &,Fees,,,$45.00,"$2,247.20",,,"$1,465.74","$2,120.00","$2,120.00",$0.00,0.00
Program:,,ELEMENTARY,PROGRAMS -,1100,,,"$2,145,573.72","$2,380,788.86",,"$2,500,474.73",,"$2,821,550.00","$2,992,774.00","$171,224.00",6.07
,1000.4200.1000.53000.050,,JMG,,,,"$25,000.00","$25,000.00",,"$25,000.00",,"$27,000.00","$27,000.00",$0.00,0.00
Program:,ALT (AT,RISK) ED,PROGRAMS,- 4200,,,"$25,000.00","$25,000.00",,"$25,000.00",,"$27,000.00","$27,000.00",$0.00,0.00
,1000.4900.1000.51501.050,,GaTE Art,Advisor,Stipend,- FMS,$0.00,"$1,272.00",,,$636.00,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.51502.050,,GaTE Music,Advisor,Stipend,- FMS,$0.00,"$1,272.00",,,$423.99,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52001.050,,GaTE Art,Stipend,Benefits,- FMS,$0.00,,$21.02,,$162.17,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52002.050,,GaTE Music,Advisor,Benefits,- FMS,$0.00,,$20.72,,$123.86,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52301.050,,GaTE Art,Stipend,Retirement,- FMS,$0.00,,$48.84,,$24.43,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52302.050,,GaTE Music,Advisor,,Retirement - FMS,$0.00,,$48.76,,$16.24,$0.00,$0.00,$0.00,0.00
Program:,GIFTED,& TALENTED,- 4900,,,,$0.00,"$2,683.34",,,"$1,386.69",$0.00,$0.00,$0.00,0.00
Function:,REGULAR,INSTRUCTION,- 1000,,,,"$2,170,573.72","$2,408,472.20",,"$2,526,861.42",,"$2,848,550.00","$3,019,774.00","$171,224.00",6.01
Cost,Center:,FREEPORT MIDDLE,SCHOOL,- 050,,,"$2,170,573.72","$2,408,472.20",,"$2,526,861.42",,"$2,848,550.00","$3,019,774.00","$171,224.00",6.01
,03/13/2024,,,,,,,,,,,,,9,
