,,,,,RSU,No.,5,,,,,,
Article 6,System,Administration-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
1000.0000.2310.51500.900,,Stipends,,"$7,150.00",$0.00,"$7,150.00",,$0.00,$0.00,"$7,150.00",$0.00,"$7,150.00",100.00%
1000.0000.2310.52000.900,,Board Stipend,Benefits,$674.00,$0.00,,$674.00,$0.00,$0.00,$674.00,$0.00,$674.00,100.00%
1000.0000.2310.53400.900,,Professional Services,,"$92,970.00",$0.00,"$92,970.00",,$0.00,$0.00,"$92,970.00",$0.00,"$92,970.00",100.00%
1000.0000.2310.55200.900,,Insurance,,"$47,555.00",$0.00,"$47,555.00",,$0.00,$0.00,"$47,555.00",$0.00,"$47,555.00",100.00%
1000.0000.2310.55800.900,,Committee Travel,,$150.00,$0.00,,$150.00,$0.00,$0.00,$150.00,$0.00,$150.00,100.00%
1000.0000.2310.56000.900,,Supplies,,$850.00,$0.00,,$850.00,$0.00,$0.00,$850.00,$0.00,$850.00,100.00%
1000.0000.2310.58100.900,,Dues & Fees,,"$7,592.00",$0.00,"$7,592.00",,$0.00,$0.00,"$7,592.00",$0.00,"$7,592.00",100.00%
,,Program:,OVERHEAD - 0000,"$156,941.00",$0.00,"$156,941.00",,$0.00,$0.00,"$156,941.00",$0.00,"$156,941.00",100.00%
,Function:,BOARD OF,DIRECTORS - 2310,"$156,941.00",$0.00,"$156,941.00",,$0.00,$0.00,"$156,941.00",$0.00,"$156,941.00",100.00%
1000.0000.2314.53100.900,,Election Costs,,"$7,525.00",$0.00,"$7,525.00",,$0.00,$0.00,"$7,525.00",$0.00,"$7,525.00",100.00%
,,Program:,OVERHEAD - 0000,"$7,525.00",$0.00,"$7,525.00",,$0.00,$0.00,"$7,525.00",$0.00,"$7,525.00",100.00%
,,Function: ELECTION,COSTS - 2314,"$7,525.00",$0.00,"$7,525.00",,$0.00,$0.00,"$7,525.00",$0.00,"$7,525.00",100.00%
1000.0000.2320.51040.900,,Superintendent's,Salary,"$244,059.00",$0.00,"$244,059.00",,$0.00,$0.00,"$244,059.00","$46,131.61","$197,927.39",81.10%
1000.0000.2320.51180.900,,Support Wages,,"$87,286.00",$0.00,"$87,286.00",,$0.00,$0.00,"$87,286.00","$87,286.00",$0.00,0.00%
1000.0000.2320.52040.900,,Superintendent,Benefits,"$61,007.00",$0.00,"$61,007.00",,$0.00,$0.00,"$61,007.00",$0.00,"$61,007.00",100.00%
1000.0000.2320.52080.900,,Support Benefits,,"$39,910.00",$0.00,"$39,910.00",,$0.00,$0.00,"$39,910.00",$0.00,"$39,910.00",100.00%
1000.0000.2320.52340.900,,Retirement,,"$10,909.00",$0.00,"$10,909.00",,$0.00,$0.00,"$10,909.00",$0.00,"$10,909.00",100.00%
1000.0000.2320.53300.900,,Employee Training,& Development,"$3,050.00",$0.00,"$3,050.00",,$0.00,$0.00,"$3,050.00",$0.00,"$3,050.00",100.00%
1000.0000.2320.53400.900,,Professional Services,,"$72,995.00",$0.00,"$72,995.00",,$0.00,$0.00,"$72,995.00",$0.00,"$72,995.00",100.00%
1000.0000.2320.54330.900,,Software Repairs &,Maintenance,"$10,000.00",$0.00,"$10,000.00",,$0.00,$0.00,"$10,000.00",$0.00,"$10,000.00",100.00%
1000.0000.2320.55310.900,,Postage,,"$7,200.00",$0.00,"$7,200.00",,$0.00,$0.00,"$7,200.00",$0.00,"$7,200.00",100.00%
1000.0000.2320.55400.900,,Advertising,,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
1000.0000.2320.55800.900,,Travel,,"$2,600.00",$0.00,"$2,600.00",,$0.00,$0.00,"$2,600.00",$0.00,"$2,600.00",100.00%
1000.0000.2320.56000.900,,Supplies,,"$15,400.00",$0.00,"$15,400.00",,$0.00,$0.00,"$15,400.00",$0.00,"$15,400.00",100.00%
1000.0000.2320.56400.900,,Books,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
1000.0000.2320.58100.900,,Dues and Fees,,"$7,648.00",$0.00,"$7,648.00",,$0.00,$0.00,"$7,648.00",$0.00,"$7,648.00",100.00%
1000.0000.2320.59000.900,,Aspirations /,Miscellaneous,"$8,600.00",$0.00,"$8,600.00",,$0.00,$0.00,"$8,600.00",$0.00,"$8,600.00",100.00%
,,Program:,OVERHEAD - 0000,"$572,264.00",$0.00,"$572,264.00",,$0.00,$0.00,"$572,264.00","$133,417.61","$438,846.39",76.69%
,Function:,EXECUTIVE ADMINISTRATION,- 2320,"$572,264.00",$0.00,"$572,264.00",,$0.00,$0.00,"$572,264.00","$133,417.61","$438,846.39",76.69%
1000.0000.2500.51040.900,,Administrator Salary,,"$151,925.00",$0.00,"$151,925.00",,$0.00,$0.00,"$151,925.00","$151,925.68",($0.68),0.00%
1000.0000.2500.51180.900,,Salaries,,"$217,944.00",$0.00,"$217,944.00",,$0.00,$0.00,"$217,944.00","$213,060.00","$4,884.00",2.24%
1000.0000.2500.52040.900,,Admin Benefits,,"$46,070.00",$0.00,"$46,070.00",,$0.00,$0.00,"$46,070.00",$0.00,"$46,070.00",100.00%
