,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2100.1000.53440.950,,Purchased Professional,,"$1,250.00",$0.00,"$1,250.00",,$0.00,$0.00,"$1,250.00",$0.00,"$1,250.00",100.00%
,Program:,REGULAR,CLASSROOM,PLACEMENT - 2100,"$18,514.00",$0.00,"$18,514.00",,$0.00,$0.00,"$18,514.00",$0.00,"$18,514.00",100.00%
,1000.2400.1000.53440.950,,Tutoring Services -,,"$7,500.00",$0.00,"$7,500.00",,$0.00,$0.00,"$7,500.00",$0.00,"$7,500.00",100.00%
,,,Hospital/Homebound,ELEM,,,,,,,,,,
,,,Program: Homebound/Hospital,- 2400,"$7,500.00",$0.00,"$7,500.00",,$0.00,$0.00,"$7,500.00",$0.00,"$7,500.00",100.00%
,,Function:,REGULAR INSTRUCTION,- 1000,"$26,014.00",$0.00,"$26,014.00",,$0.00,$0.00,"$26,014.00",$0.00,"$26,014.00",100.00%
,1000.2800.2140.51010.950,,Psychological Services,Salary K-8,"$105,388.00",$0.00,"$105,388.00",,$0.00,$0.00,"$105,388.00","$50,769.14","$54,618.86",51.83%
,1000.2800.2140.52010.950,,Psych Services,Benefit,"$22,008.00",$0.00,"$22,008.00",,$0.00,$0.00,"$22,008.00",$0.00,"$22,008.00",100.00%
,1000.2800.2140.52310.950,,Retirement,,"$4,711.00",$0.00,"$4,711.00",,$0.00,$0.00,"$4,711.00",$0.00,"$4,711.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$132,107.00",$0.00,"$132,107.00",,$0.00,$0.00,"$132,107.00","$50,769.14","$81,337.86",61.57%
,,,Function: PSYCHOLOGICAL,- 2140,"$132,107.00",$0.00,"$132,107.00",,$0.00,$0.00,"$132,107.00","$50,769.14","$81,337.86",61.57%
,1000.2800.2170.51010.950,,PT Salary,,"$71,995.00",$0.00,"$71,995.00",,$0.00,$0.00,"$71,995.00","$71,995.00",$0.00,0.00%
,1000.2800.2170.52010.950,,PT Benefits,,"$20,058.00",$0.00,"$20,058.00",,$0.00,$0.00,"$20,058.00",$0.00,"$20,058.00",100.00%
,1000.2800.2170.52310.950,,PT Retirement,,"$3,218.00",$0.00,"$3,218.00",,$0.00,$0.00,"$3,218.00",$0.00,"$3,218.00",100.00%
,1000.2800.2170.55800.950,,Travel,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$95,571.00",$0.00,"$95,571.00",,$0.00,$0.00,"$95,571.00","$71,995.00","$23,576.00",24.67%
,,,Function:,PT - 2170,"$95,571.00",$0.00,"$95,571.00",,$0.00,$0.00,"$95,571.00","$71,995.00","$23,576.00",24.67%
,1000.2500.2330.53440.950,,MAINECARE SEED-,BEHAVORIAL,"$60,000.00",$0.00,"$60,000.00",,$0.00,$0.00,"$60,000.00",$0.00,"$60,000.00",100.00%
,,,DAY,,,,,,,,,,,
,,,Program: ADMINISTRATION,- 2500,"$60,000.00",$0.00,"$60,000.00",,$0.00,$0.00,"$60,000.00",$0.00,"$60,000.00",100.00%
,,Function: SPECIAL,AREA ADMINISTRATION,- 2330,"$60,000.00",$0.00,"$60,000.00",,$0.00,$0.00,"$60,000.00",$0.00,"$60,000.00",100.00%
,,,Cost,Center: K-8 - 950,"$313,692.00",$0.00,"$313,692.00",,$0.00,$0.00,"$313,692.00","$122,764.14","$190,927.86",60.86%
,1000.2400.1000.53440.990,,Tutoring Services -,,"$7,500.00",$0.00,"$7,500.00",,$0.00,$0.00,"$7,500.00",$0.00,"$7,500.00",100.00%
,,,Hospital/Homebound,SEC,,,,,,,,,,
,,,Program: Homebound/Hospital,- 2400,"$7,500.00",$0.00,"$7,500.00",,$0.00,$0.00,"$7,500.00",$0.00,"$7,500.00",100.00%
,,Function:,REGULAR INSTRUCTION,- 1000,"$7,500.00",$0.00,"$7,500.00",,$0.00,$0.00,"$7,500.00",$0.00,"$7,500.00",100.00%
,1000.2800.2140.51010.990,,Psychological Services,Salary 9-12,"$105,388.00",$0.00,"$105,388.00",,$0.00,$0.00,"$105,388.00","$50,769.40","$54,618.60",51.83%
,1000.2800.2140.52010.990,,Psych Services,Benefit,"$22,008.00",$0.00,"$22,008.00",,$0.00,$0.00,"$22,008.00",$0.00,"$22,008.00",100.00%
,1000.2800.2140.52310.990,,Retirement,,"$4,711.00",$0.00,"$4,711.00",,$0.00,$0.00,"$4,711.00",$0.00,"$4,711.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$132,107.00",$0.00,"$132,107.00",,$0.00,$0.00,"$132,107.00","$50,769.40","$81,337.60",61.57%
,,,Function: PSYCHOLOGICAL,- 2140,"$132,107.00",$0.00,"$132,107.00",,$0.00,$0.00,"$132,107.00","$50,769.40","$81,337.60",61.57%
,1000.2500.2330.53440.990,,MAINE CARE SEED-,,"$17,400.00",$0.00,"$17,400.00",,$0.00,$0.00,"$17,400.00",$0.00,"$17,400.00",100.00%
,,,BEHAVORIAL DAY,,,,,,,,,,,
,,,Program: ADMINISTRATION,- 2500,"$17,400.00",$0.00,"$17,400.00",,$0.00,$0.00,"$17,400.00",$0.00,"$17,400.00",100.00%
