,,,,,,RSU,No.,5,,,,,,,,
,Article 10,Debt Service-,,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024 Definition:,FY25,Adopted,,,,,,,,,
,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,FY21,Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,,,,
,1000.0000.5100.58310.900,,,Principal Payments-State,Supported Debt,"$1,139,733.82",,"$995,302.00","$995,302.00",,"$995,302.00",,"$995,302.00",,$0.00,0.00
,1000.0000.5100.58320.900,,Interest,Payments-State Supported,Debt,"$287,512.44",,"$213,647.22","$186,302.54",,"$144,093.00",,"$115,762.00","($28,331.00)",,(19.66)
,Program:,OVERHEAD - 0000,,,"$1,427,246.26","$1,208,949.22",,"$1,181,604.54",,"$1,139,395.00",,"$1,111,064.00",,"($28,331.00)",,(2.49)
,Function: STATE,SUPPORTED,DEBT,SERVICE - 5100,"$1,427,246.26","$1,208,949.22",,"$1,181,604.54",,"$1,139,395.00",,"$1,111,064.00",,"($28,331.00)",,(2.49)
Cost,Center:,SYSTEM WIDE,- 900,,"$1,427,246.26","$1,208,949.22",,"$1,181,604.54",,"$1,139,395.00",,"$1,111,064.00",,"($28,331.00)",,(2.49)
Grand,Total:,,,,,"$1,427,246.26","$1,208,949.22",,"$1,181,604.54",,"$1,139,395.00",,"$1,111,064.00","($28,331.00)",,(2.49)
,,,,,,End,of Report,,,,,,,,,
,03/27/2024,,,,,,,,,,,,,,80 of 81,
