,,,,,,,RSU,No. 5,,,,,,,
,FY27 Article,10 Debt,,Service-,Proposed,,,,,,,,,,
From,Date:,7/1/2026,,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,FY23 Actual,FY24 Actual,FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,,Description,,,,,,,,,
,1000.0000.5100.58310.900,,,,,Principal Payments-State,"$995,302.00","$995,302.00",,"$995,302.00","$995,302.00","$995,302.00",,$0.00,0.00
,,,,,,Supported Debt,,,,,,,,,
,1000.0000.5100.58320.900,,,,Interest,Payments-State,"$186,302.54","$144,092.97",,"$115,761.52","$92,126.00","$76,275.00","($15,851.00)",,(17.21)
,,,,,,Supported Debt,,,,,,,,,
,Program:,OVERHEAD - 0000,,,,,"$1,181,604.54","$1,139,394.97",,"$1,111,063.52","$1,087,428.00","$1,071,577.00","($15,851.00)",,(1.46)
,Function: STATE,SUPPORTED,DEBT,,SERVICE - 5100,,"$1,181,604.54","$1,139,394.97",,"$1,111,063.52","$1,087,428.00","$1,071,577.00","($15,851.00)",,(1.46)
Cost,Center:,SYSTEM WIDE,- 900,,,,"$1,181,604.54","$1,139,394.97",,"$1,111,063.52","$1,087,428.00","$1,071,577.00","($15,851.00)",,(1.46)
Grand,Total:,,,,,,"$1,181,604.54","$1,139,394.97",,"$1,111,063.52","$1,087,428.00","$1,071,577.00","($15,851.00)",,(1.46)
,,,,,,,End of,Report,,,,,,,
,,,,,,,Page 88,of 89,,,,,,,
