,,,,,,,RSU,No.,5,,,,,,
,Article 4,Other,Instruction-,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account Number,,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.9100.1000.52000.950,,Employee,Benefits,,$50.00,$0.00,,$50.00,$0.00,$0.00,$50.00,$0.00,$50.00,100.00%
,,,Program:,CO-CURRICULAR,K-8 - 9100,"$1,536.00",$0.00,,"$1,536.00",$0.00,$0.00,"$1,536.00","$1,336.00",$200.00,13.02%
,,Function:,REGULAR,INSTRUCTION,- 1000,"$1,536.00",$0.00,,"$1,536.00",$0.00,$0.00,"$1,536.00","$1,336.00",$200.00,13.02%
,,,,Cost Center:,K-8 - 950,"$1,536.00",$0.00,,"$1,536.00",$0.00,$0.00,"$1,536.00","$1,336.00",$200.00,13.02%
Grand,Total:,,,,,"$1,119,087.00",$0.00,"$1,119,087.00",,$0.00,$0.00,"$1,119,087.00","$260,933.55","$858,153.45",76.68%
,,,,,,,End,of Report,,,,,,,
