,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,2 Special,,Education-,,Proposed,,,,,,,,,
From,Date:,7/1/2026,,To Date:,,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,,Description,,,,,,,,,
,1000.2810.1000.52010.950,,,,Summer,School Teacher,$0.00,,$0.00,$0.00,$0.00,"$1,777.00",,"$1,777.00",0.00
,,,,,(K-8),,,,,,,,,,
,1000.2810.1000.52020.950,,,,Summer,School Ed Tech,$0.00,,$0.00,$0.00,$0.00,"$1,492.00",,"$1,492.00",0.00
,,,,,(K-8),,,,,,,,,,
,1000.2810.1000.52310.950,,,,Summer,School Teacher,$0.00,,$0.00,$0.00,$0.00,$766.00,,$766.00,0.00
,,,,,(K-8),,,,,,,,,,
,1000.2810.1000.52320.950,,,,Summer,School Ed Tech,$0.00,,$0.00,$0.00,$0.00,$644.00,,$644.00,0.00
,,,,,(K-8),,,,,,,,,,
,1000.2810.1000.56100.950,,,,Summer,School Supplies,$0.00,,$0.00,$0.00,$0.00,$50.00,,$50.00,0.00
,,,,,(K-8),,,,,,,,,,
Program:,ESY,Coord - LE -,2810,,,,$0.00,,$0.00,$0.00,$0.00,"$36,288.00","$36,288.00",,0.00
Function:,REGULAR,,INSTRUCTION -,1000,,,"$23,821.14","$15,274.19",,"$37,680.66","$26,014.00","$43,788.00","$17,774.00",,68.32
,1000.2800.2110.53440.950,,,,MAINECARE,SEED-,$909.99,,$0.00,$0.00,$0.00,"$2,500.00",,"$2,500.00",0.00
,,,,,SOCIAL,WORK,,,,,,,,,
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,,$909.99,,$0.00,$0.00,$0.00,"$2,500.00",,"$2,500.00",0.00
Function:,Attendance,& Social,Work -,2110,,,$909.99,,$0.00,$0.00,$0.00,"$2,500.00",,"$2,500.00",0.00
,1000.2800.2140.51010.950,,,,Psychological,Services,"$71,220.21","$45,643.51",,"$99,887.21","$105,388.00","$111,184.00",,"$5,796.00",5.50
,,,,,Salary,K-8,,,,,,,,,
,1000.2800.2140.52010.950,,,,Psych,Services Benefit,"$9,616.31",,"$5,591.16","$17,709.42","$22,008.00","$23,547.00",,"$1,539.00",6.99
,1000.2800.2140.52310.950,,,,Retirement,,"$2,734.69",,"$2,040.23","$4,448.14","$4,711.00","$4,970.00",,$259.00,5.50
,1000.2800.2140.53000.950,,,,Purchased,Professional,$0.00,"$147,764.15",,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.2800.2140.55800.950,,,,Travel,,$133.13,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,,"$83,704.34","$201,039.05",,"$122,044.77","$132,107.00","$139,701.00",,"$7,594.00",5.75
Function:,,PSYCHOLOGICAL,- 2140,,,,"$83,704.34","$201,039.05",,"$122,044.77","$132,107.00","$139,701.00",,"$7,594.00",5.75
,,,,,,,Page,33 of 89,,,,,,,
