,,,,,RSU,No.,5,,,,,,
Article,1 Regular,Instruction-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.1100.1000.53400.030,Professional,Services,"$12,967.00",$0.00,"$12,967.00",,$0.00,$0.00,"$12,967.00",$0.00,"$12,967.00",100.00%
,1000.1100.1000.54300.030,Copiers Repairs/Maint,,"$9,700.00",$0.00,"$9,700.00",,$0.00,$0.00,"$9,700.00",$0.00,"$9,700.00",100.00%
,1000.1100.1000.54330.030,Software,,"$5,610.00",$0.00,"$5,610.00",,$0.00,$0.00,"$5,610.00",$0.00,"$5,610.00",100.00%
,1000.1100.1000.55800.030,Travel,,"$2,000.00",$0.00,"$2,000.00",,$0.00,$0.00,"$2,000.00",$0.00,"$2,000.00",100.00%
,1000.1100.1000.56100.030,Instructional,Supplies,"$18,405.00",$0.00,"$18,405.00",,$0.00,$0.00,"$18,405.00",$0.00,"$18,405.00",100.00%
,1000.1100.1000.56110.030,Equipment &,"Furniture, Instructional","$2,303.00",$0.00,"$2,303.00",,$0.00,$0.00,"$2,303.00",$0.00,"$2,303.00",100.00%
,1000.1100.1000.56400.030,Books,,"$3,200.00",$0.00,"$3,200.00",,$0.00,$0.00,"$3,200.00",$0.00,"$3,200.00",100.00%
,1000.1100.1000.58100.030,Dues and Fees,,$200.00,$0.00,,$200.00,$0.00,$0.00,$200.00,$0.00,$200.00,100.00%
,Program:,ELEMENTARY,PROGRAMS - 1100,"$1,019,177.00",$0.00,"$1,019,177.00",,$0.00,$0.00,"$1,019,177.00","$686,960.56","$332,216.44",32.60%
,1000.1120.1000.51010.030,Teacher Salaries,,"$132,314.00",$0.00,"$132,314.00",,$0.00,$0.00,"$132,314.00","$114,910.40","$17,403.60",13.15%
,1000.1120.1000.51020.030,Ed Tech Salaries,,"$29,432.00",$0.00,"$29,432.00",,$0.00,$0.00,"$29,432.00","$28,673.19",$758.81,2.58%
,1000.1120.1000.52010.030,Teacher Benefits,,"$32,713.00",$0.00,"$32,713.00",,$0.00,$0.00,"$32,713.00",$0.00,"$32,713.00",100.00%
,1000.1120.1000.52020.030,Ed Tech Benefits,,"$5,537.00",$0.00,"$5,537.00",,$0.00,$0.00,"$5,537.00",$0.00,"$5,537.00",100.00%
,1000.1120.1000.52310.030,Retirement,,"$5,914.00",$0.00,"$5,914.00",,$0.00,$0.00,"$5,914.00",$0.00,"$5,914.00",100.00%
,1000.1120.1000.52320.030,Retirement,,"$1,316.00",$0.00,"$1,316.00",,$0.00,$0.00,"$1,316.00",$0.00,"$1,316.00",100.00%
,,Program: K-2,INSTRUCTION - 1120,"$207,226.00",$0.00,"$207,226.00",,$0.00,$0.00,"$207,226.00","$143,583.59","$63,642.41",30.71%
,Function:,REGULAR,INSTRUCTION - 1000,"$1,226,403.00",$0.00,"$1,226,403.00",,$0.00,$0.00,"$1,226,403.00","$830,544.15","$395,858.85",32.28%
,Cost,Center: POWNAL,ELEMENTARY - 030,"$1,226,403.00",$0.00,"$1,226,403.00",,$0.00,$0.00,"$1,226,403.00","$830,544.15","$395,858.85",32.28%
