,,,,,RSU,No.,5,,,,,
,FY25 Article,11 All,Other Expenditures-,Proposed,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.0000.3100.59100.900,,Fund Transfer Out,"$73,311.24",,$0.00,,$0.00,"$293,245.00","$185,334.00","($107,911.00)",(36.80)
,Program:,OVERHEAD - 0000,,"$73,311.24",,$0.00,,$0.00,"$293,245.00","$185,334.00","($107,911.00)",(36.80)
,Function: FOOD,SERVICES,OPERATIONS - 3100,"$73,311.24",,$0.00,,$0.00,"$293,245.00","$185,334.00","($107,911.00)",(36.80)
Cost,Center:,SYSTEM WIDE,- 900,"$73,311.24",,$0.00,,$0.00,"$293,245.00","$185,334.00","($107,911.00)",(36.80)
Grand,Total:,,,"$73,311.24",,$0.00,,$0.00,"$293,245.00","$185,334.00","($107,911.00)",(36.80)
,,,,,End,of Report,,,,,,
,03/13/2024,,,,,,,,,,81,
