,,,,,,,RSU,No.,5,,,,,
Article,2,Special,Education-,,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
Function:,Attendance,& Social,Work -,2110,,"$73,258.84","$65,299.18",,"$80,785.34",,"$85,989.00","$89,996.00","$4,007.00",4.66
,1000.2800.2140.51010.010,,,Psychological,Services Salary,"$58,587.83","$22,929.90",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52010.010,,Psych,Services,Benefit,"$7,763.26","$1,278.25",,,$0.00,"$11,708.00",$0.00,"($11,708.00)",(100.00)
,1000.2800.2140.52310.010,,,Retirement,,"$2,484.69",,$294.30,,$0.00,"$1,674.00",$0.00,"($1,674.00)",(100.00)
,1000.2800.2140.55800.010,,Travel,,,$0.00,,$0.00,,$14.94,$580.00,$0.00,($580.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$68,835.78","$24,502.45",,,$14.94,"$13,962.00",$0.00,"($13,962.00)",(100.00)
Function:,,PSYCHOLOGICAL,- 2140,,,"$68,835.78","$24,502.45",,,$14.94,"$13,962.00",$0.00,"($13,962.00)",(100.00)
,1000.2800.2150.51010.010,,Speech,&,Audiology Salaries,"$79,061.76","$73,212.07",,"$79,211.62",,"$94,657.00","$108,925.00","$14,268.00",15.07
,1000.2800.2150.52010.010,,Speech,&,Audiology Benefits,"$10,545.46","$2,135.57",,,"$9,707.88","$16,465.00","$14,233.00","($2,232.00)",(13.56)
,1000.2800.2150.52310.010,,,Retirement,,"$3,288.84",,$734.22,,"$3,252.56","$4,409.00","$4,869.00",$460.00,10.43
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$92,896.06","$76,081.86",,"$92,172.06",,"$115,531.00","$128,027.00","$12,496.00",10.82
Function:,SPEECH,&,AUDIOLOGY -,2150,,"$92,896.06","$76,081.86",,"$92,172.06",,"$115,531.00","$128,027.00","$12,496.00",10.82
,1000.2800.2160.51010.010,,OT,Salary,,$0.00,"$59,199.84",,"$50,178.64",,"$72,426.00","$67,107.00","($5,319.00)",(7.34)
,1000.2800.2160.52010.010,,OT,Benefits,,$0.00,"$2,141.87",,"$10,562.07",,"$21,038.00","$18,008.00","($3,030.00)",(14.40)
,1000.2800.2160.52310.010,,,Retirement,,$0.00,,$0.00,,"$1,926.94","$3,484.00","$3,000.00",($484.00),(13.89)
,1000.2800.2160.55800.010,,Travel,,,$0.00,,$0.00,,$172.87,$210.00,$0.00,($210.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,$0.00,"$61,341.71",,"$62,840.52",,"$97,158.00","$88,115.00","($9,043.00)",(9.31)
Function:,OT -,2160,,,,$0.00,"$61,341.71",,"$62,840.52",,"$97,158.00","$88,115.00","($9,043.00)",(9.31)
Cost,Center:,DURHAM,COMMUNITY,- 010,,"$712,870.11","$785,815.75",,"$915,839.92",,"$1,042,841.00","$1,088,275.00","$45,434.00",4.36
,Page 15,of 80,,,,,,,,,,,,
