,,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,4 Other,Instruction-,,,Proposed,,,,,,,,,,
From,Date:,7/1/2026,,To Date:,,6/30/2027,,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,,Description,,,,,,,,,,
,1000.9200.1000.52000.010,,,,,EXTRA-CURR,STIPEND,$872.53,,$720.50,$365.02,"$1,259.00","$1,259.00",,$0.00,0.00
,,,,,BENEFITS,,,,,,,,,,,
,1000.9200.1000.52300.010,,,,,EXTRA-CURR,STIPEND,$157.06,,$182.83,$97.44,"$1,675.00","$1,675.00",,$0.00,0.00
,,,,,,RETIREMENT,,,,,,,,,,
Program:,,EXTRA-CURRICULAR,K-8 -,9200,,,,"$5,119.59",,"$4,993.33","$2,642.46","$40,411.00","$40,411.00",,$0.00,0.00
Function:,REGULAR,INSTRUCTION,-,1000,,,,"$46,175.67","$37,814.20",,"$35,941.34","$89,712.00","$90,140.00",,$428.00,0.48
Cost,Center:,DURHAM,COMMUNITY -,010,,,,"$46,175.67","$37,814.20",,"$35,941.34","$89,712.00","$90,140.00",,$428.00,0.48
,1000.4300.1000.51010.020,,,,Summer,School,Teacher,$0.00,,$0.00,$0.00,$0.00,"$7,150.00",,"$7,150.00",0.00
,,,,,Salary,- MSS,,,,,,,,,,
,1000.4300.1000.51020.020,,,,Summer,School,ET Wages,$0.00,,"$4,564.12",$0.00,$0.00,$0.00,,$0.00,0.00
,,,,,- MSS,,,,,,,,,,,
,1000.4300.1000.52010.020,,,,Summer,School,Teacher,$0.00,,$0.00,$0.00,$0.00,$240.00,,$240.00,0.00
,,,,,Benefits,- MSS,,,,,,,,,,
,1000.4300.1000.52310.020,,,,Summer,School,Teacher,$0.00,,$0.00,$0.00,$0.00,$320.00,,$320.00,0.00
,,,,,Retirement,- MSS,,,,,,,,,,
Program:,SUMMER,SCHOOL,- 4300,,,,,$0.00,,"$4,564.12",$0.00,$0.00,"$7,710.00",,"$7,710.00",0.00
Function:,REGULAR,INSTRUCTION,-,1000,,,,$0.00,,"$4,564.12",$0.00,$0.00,"$7,710.00",,"$7,710.00",0.00
Cost,Center:,MORSE STREET,- 020,,,,,$0.00,,"$4,564.12",$0.00,$0.00,"$7,710.00",,"$7,710.00",0.00
,1000.4300.1000.51020.030,,,,Summer,School,ET Wages,$0.00,,$0.00,$0.00,"$1,950.00","$3,873.00",,"$1,923.00",98.62
,,,,,- PES,,,,,,,,,,,
,1000.4300.1000.52020.030,,,,Summer,School,ET Benefits,$0.00,,$0.00,$0.00,$66.00,$387.00,,$321.00,486.36
,,,,,- PES,,,,,,,,,,,
,1000.4300.1000.52320.030,,,,Summer,School,ET,$0.00,,$0.00,$0.00,$87.00,$173.00,,$86.00,98.85
,,,,,Retirement,- PES,,,,,,,,,,
Program:,SUMMER,SCHOOL,- 4300,,,,,$0.00,,$0.00,$0.00,"$2,103.00","$4,433.00",,"$2,330.00",110.79
,,,,,,,,Page,39 of 89,,,,,,,
