,,,,RSU,No. 5,,,,,
,Article 4,Other,Instruction- Adopted,,,,,,,
From,Date:,7/1/2023,To Date: 6/30/2024,Definition:,FY25 Adopted,,,,,
,,,,,,,,FY25,Dollar,Percent
,,,,FY21 Actual,FY22 Actual,FY23 Actual,FY24 Adopted,Difference,,Difference
,,,,,,,,Adopted,,
,Account,,Description,,,,,,,
Cost,Center:,9-12 - 990,,$0.00,$226.40,$0.00,$0.00,$0.00 $0.00,,0.00
Grand,Total:,,,"$604,154.88","$829,188.15","$918,822.06","$1,044,071.00","$1,034,849.00 ($9,222.00)",,(0.88)
,,,,End,of Report,,,,,
,,03/27/2024,,,,,,,39 of 81,
