,,,,,RSU,No.,5,,,,,
,FY25 Article,1 Regular,Instruction-,Proposed,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
Cost,Center:,MORSE STREET,- 020,"$1,654,639.99","$2,053,282.02",,"$2,093,487.74",,"$2,303,264.00","$2,345,303.00","$42,039.00",1.83
,1000.1100.1000.51010.030,,Teacher Salaries,"$560,957.21","$510,605.81",,"$558,586.19",,"$574,128.00","$585,554.00","$11,426.00",1.99
,1000.1100.1000.51020.030,,Ed Tech Salaries,"$31,525.17","$38,385.84",,"$33,042.15",,"$41,136.00","$47,635.00","$6,499.00",15.80
,1000.1100.1000.51230.030,,Sub Salaries,"$34,679.32","$42,859.19",,"$14,623.46",,"$30,000.00","$33,450.00","$3,450.00",11.50
,1000.1100.1000.52010.030,,Teacher Benefits,"$33,104.35","$136,480.43",,"$99,417.83",,"$119,785.00","$173,548.00","$53,763.00",44.88
,1000.1100.1000.52020.030,,Ed Tech Benefits,"$6,007.90","$1,316.78",,,"$1,442.91","$10,701.00","$9,028.00","($1,673.00)",(15.63)
,1000.1100.1000.52030.030,,Sub Benefits,$4.98,"$1,925.69",,,"$1,140.15",$585.00,"$2,559.00","$1,974.00",337.44
,1000.1100.1000.52310.030,,Retirement,"$3,863.87","$16,037.31",,"$25,772.12",,"$25,664.00","$28,691.00","$3,027.00",11.79
,1000.1100.1000.52320.030,,Retirement,$88.75,"$1,491.33",,,"$1,264.76","$1,968.00","$2,129.00",$161.00,8.18
,1000.1100.1000.52330.030,,Retirement,$10.16,,$907.43,,$31.78,"$1,248.00",$450.00,($798.00),(63.94)
,1000.1100.1000.53400.030,,Professional Services,"$3,186.32","$6,470.10",,,"$7,622.99","$10,000.00","$13,304.00","$3,304.00",33.04
