,,,,,,RSU,No.,5,,,,,,
,1000.1100.1000.51230.020,Substitute,Wages,,"$74,220.00",$0.00,"$74,220.00",,$0.00,$0.00,"$74,220.00",$0.00,"$74,220.00",100.00%
,1000.1100.1000.52010.020,Teacher,Benefits,,"$248,768.00",$0.00,"$248,768.00",,$0.00,$0.00,"$248,768.00",$0.00,"$248,768.00",100.00%
,1000.1100.1000.52020.020,Ed Tech,Benefits,,"$65,781.00",$0.00,"$65,781.00",,$0.00,$0.00,"$65,781.00",$0.00,"$65,781.00",100.00%
,1000.1100.1000.52030.020,Substitute,Benefits,,"$2,397.00",$0.00,"$2,397.00",,$0.00,$0.00,"$2,397.00",$0.00,"$2,397.00",100.00%
,1000.1100.1000.52310.020,Retirement,,,"$53,429.00",$0.00,"$53,429.00",,$0.00,$0.00,"$53,429.00",$0.00,"$53,429.00",100.00%
,1000.1100.1000.52320.020,Retirement,,,"$6,015.00",$0.00,"$6,015.00",,$0.00,$0.00,"$6,015.00",$0.00,"$6,015.00",100.00%
,1000.1100.1000.52330.020,Retirement,,,"$3,318.00",$0.00,"$3,318.00",,$0.00,$0.00,"$3,318.00",$0.00,"$3,318.00",100.00%
,1000.1100.1000.53400.020,Professional,Servics,,"$7,810.00",$0.00,"$7,810.00",,$0.00,$0.00,"$7,810.00",$0.00,"$7,810.00",100.00%
,1000.1100.1000.54300.020,,Copiers-Equipment Maint,,"$13,000.00",$0.00,"$13,000.00",,$0.00,$0.00,"$13,000.00",$0.00,"$13,000.00",100.00%
,1000.1100.1000.54330.020,Software,,,"$4,050.00",$0.00,"$4,050.00",,$0.00,$0.00,"$4,050.00",$0.00,"$4,050.00",100.00%
,1000.1100.1000.55800.020,Travel,,,$700.00,$0.00,,$700.00,$0.00,$0.00,$700.00,$0.00,$700.00,100.00%
,1000.1100.1000.56100.020,Instructional,Supplies,,"$42,982.00",$0.00,"$42,982.00",,$0.00,$0.00,"$42,982.00",$0.00,"$42,982.00",100.00%
,1000.1100.1000.56400.020,BOOKS,,,"$8,200.00",$0.00,"$8,200.00",,$0.00,$0.00,"$8,200.00",$0.00,"$8,200.00",100.00%
,Program:,ELEMENTARY,PROGRAMS,- 1100,"$1,860,528.00",$0.00,"$1,860,528.00",,$0.00,$0.00,"$1,860,528.00","$1,411,143.91","$449,384.09",24.15%
,1000.1120.1000.51010.020,Salaries,,,"$314,027.00",$0.00,"$314,027.00",,$0.00,$0.00,"$314,027.00","$236,122.16","$77,904.84",24.81%
,1000.1120.1000.51020.020,Ed Tech,Salaries,,"$63,334.00",$0.00,"$63,334.00",,$0.00,$0.00,"$63,334.00","$64,342.98","($1,008.98)",-1.59%
,1000.1120.1000.52010.020,Benefits,,,"$81,864.00",$0.00,"$81,864.00",,$0.00,$0.00,"$81,864.00",$0.00,"$81,864.00",100.00%
,1000.1120.1000.52020.020,Ed Tech,Benefit,,"$11,383.00",$0.00,"$11,383.00",,$0.00,$0.00,"$11,383.00","$3,500.00","$7,883.00",69.25%
,1000.1120.1000.52310.020,Retirement,,,"$14,037.00",$0.00,"$14,037.00",,$0.00,$0.00,"$14,037.00",$0.00,"$14,037.00",100.00%
,1000.1120.1000.52320.020,Retirement,,,"$2,831.00",$0.00,"$2,831.00",,$0.00,$0.00,"$2,831.00",$0.00,"$2,831.00",100.00%
,,Program: K-2,INSTRUCTION,- 1120,"$487,476.00",$0.00,"$487,476.00",,$0.00,$0.00,"$487,476.00","$303,965.14","$183,510.86",37.65%
,Function:,REGULAR,INSTRUCTION,- 1000,"$2,348,004.00",$0.00,"$2,348,004.00",,$0.00,$0.00,"$2,348,004.00","$1,715,109.05","$632,894.95",26.95%
,,Cost Center:,MORSE STREET,- 020,"$2,348,004.00",$0.00,"$2,348,004.00",,$0.00,$0.00,"$2,348,004.00","$1,715,109.05","$632,894.95",26.95%
,1000.1100.1000.51010.030,Teacher,Salaries,,"$726,219.00",$0.00,"$726,219.00",,$0.00,$0.00,"$726,219.00","$623,409.34","$102,809.66",14.16%
,1000.1100.1000.51020.030,Ed Tech,Salaries,,"$47,154.00",$0.00,"$47,154.00",,$0.00,$0.00,"$47,154.00","$63,551.22","($16,397.22)",-34.77%
,1000.1100.1000.51230.030,Sub Salaries,,,"$17,270.00",$0.00,"$17,270.00",,$0.00,$0.00,"$17,270.00",$0.00,"$17,270.00",100.00%
,1000.1100.1000.52010.030,Teacher,Benefits,,"$129,905.00",$0.00,"$129,905.00",,$0.00,$0.00,"$129,905.00",$0.00,"$129,905.00",100.00%
,1000.1100.1000.52020.030,Ed Tech,Benefits,,"$8,344.00",$0.00,"$8,344.00",,$0.00,$0.00,"$8,344.00",$0.00,"$8,344.00",100.00%
,1000.1100.1000.52030.030,Sub Benefits,,,$558.00,$0.00,,$558.00,$0.00,$0.00,$558.00,$0.00,$558.00,100.00%
,1000.1100.1000.52310.030,Retirement,,,"$32,462.00",$0.00,"$32,462.00",,$0.00,$0.00,"$32,462.00",$0.00,"$32,462.00",100.00%
,1000.1100.1000.52320.030,Retirement,,,"$2,108.00",$0.00,"$2,108.00",,$0.00,$0.00,"$2,108.00",$0.00,"$2,108.00",100.00%
,1000.1100.1000.52330.030,Retirement,,,$772.00,$0.00,,$772.00,$0.00,$0.00,$772.00,$0.00,$772.00,100.00%
