,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2220.56100.020,,Instructional Supplies,$0.00,,$114.10,,$0.00,$339.00,$350.00,$11.00,3.24
,1000.0000.2220.56400.020,,Books,"$6,165.95","$6,447.38",,,"$6,676.73","$6,355.00","$6,825.00",$470.00,7.40
Program:,OVERHEAD,- 0000,,"$69,928.13","$70,694.54",,"$63,964.78",,"$69,102.00","$74,345.00","$5,243.00",7.59
Function:,LIBRARY,SERVICES,- 2220,"$69,928.13","$70,694.54",,"$63,964.78",,"$69,102.00","$74,345.00","$5,243.00",7.59
,1000.0000.2230.51010.020,,Teacher Salaries,"$36,648.56","($3,486.91)",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52010.020,,Teacher Benefits,"$7,852.90",,$902.10,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52310.020,,Retirement,"$1,560.90",,$141.65,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.55350.020,,Online Subscription -,Instructional MSS $0.00,,$0.00,,$590.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$46,062.36","($2,443.16)",,,$590.00,$0.00,$0.00,$0.00,0.00
Function:,,INSTRUCTION,RELATED TECHNOLOGY -,"$46,062.36","($2,443.16)",,,$590.00,$0.00,$0.00,$0.00,0.00
2230,,,,,,,,,,,,
Cost,Center:,MORSE STREET,- 020,"$272,538.78","$225,365.86",,"$276,957.92",,"$289,771.00","$312,559.00","$22,788.00",7.86
,1000.0000.2120.51010.030,,Guidance Salaries,"$34,122.64","$30,496.55",,"$35,867.53",,"$37,346.00","$40,321.00","$2,975.00",7.97
,1000.0000.2120.52010.030,,Benefits,"$3,291.63",,$36.94,,"$2,492.11","$2,527.00","$2,649.00",$122.00,4.83
,1000.0000.2120.52310.030,,Retirement,"$20,712.24","$88,097.05",,,"$1,634.31","$1,621.00","$1,802.00",$181.00,11.17
,1000.0000.2120.53000.030,,Purchased Professional,$0.00,,$0.00,,$0.00,$300.00,$300.00,$0.00,0.00
,1000.0000.2120.54330.030,,Software,$0.00,,$0.00,,$333.33,$334.26,$334.00,($0.26),(0.08)
,1000.0000.2120.56100.030,,Supplies,$0.00,,$13.99,,$338.11,$339.00,$350.00,$11.00,3.24
,1000.0000.2120.56400.030,,Books,$0.00,,$67.37,,$148.29,$150.00,$150.00,$0.00,0.00
,1000.0000.2120.57300.030,,Equipment,$0.00,,$0.00,,$0.00,$500.00,$750.00,$250.00,50.00
Program:,OVERHEAD,- 0000,,"$58,126.51","$118,711.90",,"$40,813.68",,"$43,117.26","$46,656.00","$3,538.74",8.21
,Page 45,of 80,,,,,,,,,,
