,,,,,,RSU,No.,5,,,,,,
Article,1,Regular,Instruction-,Adopted,,,,,,,,,,
From,Date:,7/1/2025,To Date:,,6/30/2026,Definition: FY26,Adopted,,,,,,,
,,,,,,,,,,,FY26,Dollar,,Percent
,,,,,,FY22 Actual,FY23,Actual FY24,Actual FY25,Adopted,,Difference,,Difference
,,,,,,,,,,,Adopted,,,
,Account,,,,Description,,,,,,,,,
,1000.4100.1000.52310.990,,,,Retirement,$749.34,,"$6,696.71","$6,804.94","$8,472.00","$4,154.00","($4,318.00)",,(50.97)
,1000.4100.1000.53000.990,,,,Purchased Professional,$0.00,,$0.00,"$4,686.75",$0.00,"$3,150.00","$3,150.00",,0.00
,,,,Services,,,,,,,,,,
,1000.4100.1000.55800.990,,,,Travel-Other,$0.00,,$0.00,$0.00,$0.00,$100.00,$100.00,,0.00
,1000.4100.1000.56100.990,,,,Instructional Supplies,$25.34,,$304.99,$0.00,$500.00,$250.00,($250.00),,(50.00)
Program:,ELL -,4100,,,,"$22,074.56",,"$207,136.66","$179,299.87","$226,459.00","$121,451.00","($105,008.00)",,(46.37)
,1000.4900.1000.51010.990,,,Teacher,Salaries,"$10,712.93",,"$11,203.93","$11,742.39","$11,743.00","$13,587.00","$1,844.00",,15.70
,1000.4900.1000.51500.990,,,Stipends,,$0.00,,$0.00,$0.00,$300.00,$300.00,,$0.00,0.00
,1000.4900.1000.52000.990,,,Stipends,,$0.00,,$0.00,$0.00,$5.00,$10.00,,$5.00,100.00
,1000.4900.1000.52010.990,,,Teacher,Benefits,"$3,200.47",,"$2,805.35","$2,895.58","$5,293.00","$4,693.00",($600.00),,(11.34)
,1000.4900.1000.52300.990,,,,Retirement,$0.00,,$0.00,$0.00,$13.00,$13.00,,$0.00,0.00
,1000.4900.1000.52310.990,,,,Retirement,$439.93,,$430.30,$524.94,$569.00,$607.00,,$38.00,6.68
,1000.4900.1000.53000.990,,,Purchase,Professional,$368.13,,$442.25,$0.00,$38.00,$38.00,,$0.00,0.00
,,,,Services,,,,,,,,,,
,1000.4900.1000.53440.990,,,GaTE,HS Professional,"$1,344.69",,"$2,242.14",$0.00,"$9,325.00","$11,190.00","$1,865.00",,20.00
,,,,Services,,,,,,,,,,
,1000.4900.1000.56100.990,,,GaTE,HS Instructional,$0.00,,$0.00,$0.00,$213.00,$105.00,($108.00),,(50.70)
,,,,Supplies,,,,,,,,,,
,1000.4900.1000.58100.990,,,GaTE,Dues & Fees - Sec,$0.00,,$0.00,$0.00,$250.00,$250.00,,$0.00,0.00
Program:,GIFTED,& TALENTED,- 4900,,,"$16,066.15",,"$17,123.97","$15,162.91","$27,749.00","$30,793.00","$3,044.00",,10.97
Function:,REGULAR,INSTRUCTION,- 1000,,,"$38,140.71",,"$224,260.63","$194,462.78","$254,208.00","$152,244.00","($101,964.00)",,(40.11)
Cost,Center: 9-12,- 990,,,,"$38,140.71",,"$224,260.63","$194,462.78","$254,208.00","$152,244.00","($101,964.00)",,(40.11)
Grand,Total:,,,,,"$14,466,857.17","$15,360,163.06",,"$16,552,374.10","$18,390,052.00","$19,356,261.00","$966,209.00",,5.25
,,,,,,End,of Report,,,,,,,
,Adopted,04/09/2025,,,,,,,,,,,Page 15 of 91,
