,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,,and Staff,Support-,Proposed,,,,,,,,,
From,Date:,7/1/2026,,To Date:,,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,,Description,,,,,,,,,
,1000.0000.2130.52010.300,,,,Nurses,Benefits,"$18,607.90","$19,695.59",,"$24,891.35","$28,024.00","$30,103.00",,"$2,079.00",7.42
,1000.0000.2130.52310.300,,,,Retirement,,"$2,694.74",,"$3,273.40","$3,743.28","$4,069.00","$4,353.00",,$284.00,6.98
,1000.0000.2130.53000.300,,,,Purchased,Professional,$0.00,,$245.00,$40.00,$300.00,$300.00,,$0.00,0.00
,1000.0000.2130.55800.300,,,,Travel,,$0.00,,$0.00,$33.77,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.56000.300,,,,Supplies,,"$1,552.68",,"$1,181.44","$1,861.20","$2,058.00","$2,216.00",,$158.00,7.68
,1000.0000.2130.58100.300,,,,Dues &,Fees,$0.00,,$0.00,$150.00,$180.00,$180.00,,$0.00,0.00
,Program:,OVERHEAD - 0000,,,,,"$93,027.81","$98,637.11",,"$120,023.02","$125,652.00","$134,544.00",,"$8,892.00",7.08
,Function: HEALTH,SERVICES,- 2130,,,,"$93,027.81","$98,637.11",,"$120,023.02","$125,652.00","$134,544.00",,"$8,892.00",7.08
,1000.0000.2213.51010.300,,,,9-12,HONORARIUM,"$8,000.25",,"$5,913.00","$9,222.99","$1,989.00","$2,128.00",,$139.00,6.99
,1000.0000.2213.51230.300,,,,Substitute,Salaries,$390.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2213.51500.300,,,,Stipends-Acad,Leadership,"$32,517.00","$33,489.00",,"$27,545.50","$20,530.00","$20,530.00",,$0.00,0.00
,,,,,and LCC,,,,,,,,,,
,1000.0000.2213.52000.300,,,,Stipend,Benefits - FHS,"$4,765.92",,"$5,146.51","$4,976.62",$690.00,$690.00,,$0.00,0.00
,1000.0000.2213.52010.300,,,,9-12,HONORARIUM,"$1,244.77",,"$1,157.82","$1,622.73",$67.00,$213.00,,$146.00,217.91
,,,,,BENEFITS,,,,,,,,,,
,1000.0000.2213.52030.300,,,,Substitute,Benefit,$32.22,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2213.52300.300,,,,Stipend,Retirement - FHS,"$1,248.56",,"$1,497.03","$1,229.56",$918.00,$918.00,,$0.00,0.00
,1000.0000.2213.52310.300,,,,9-12,HONORARIUM,$306.17,,$264.32,$421.46,$89.00,$95.00,,$6.00,6.74
,,,,,RETIREMENT,,,,,,,,,,
,1000.0000.2213.52510.300,,,,Tuition,,"$19,634.98","$17,445.00",,"$11,455.00","$20,000.00","$20,000.00",,$0.00,0.00
,,,,,,Reimbursement-Teacher,,,,,,,,,
,1000.0000.2213.52520.300,,,,Tuition,,$0.00,,$0.00,$0.00,"$1,500.00","$1,500.00",,$0.00,0.00
,,,,,,Reimbursement-Support,,,,,,,,,
,1000.0000.2213.53000.300,,,,Purchased,Professional,"$16,178.07","$14,679.93",,"$28,432.00","$35,400.00","$35,400.00",,$0.00,0.00
,,,,,Services,,,,,,,,,,
,,,,,,,Page,60 of 89,,,,,,,
