,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2220.56100.040,,Instructional Supplies,$0.00,,$331.44,,$153.34,$339.00,$350.00,$11.00,3.24
,1000.0000.2220.56400.040,,Books,"$3,294.48","$4,643.90",,,"$3,130.59","$5,022.50","$5,733.00",$710.50,14.15
Program:,OVERHEAD,- 0000,,"$102,082.64","$118,764.63",,"$111,721.71",,"$114,150.50","$82,217.00","($31,933.50)",(27.97)
Function:,LIBRARY,SERVICES,- 2220,"$102,082.64","$118,764.63",,"$111,721.71",,"$114,150.50","$82,217.00","($31,933.50)",(27.97)
,1000.0000.2230.52010.040,,Teacher Benefits,$0.00,"$5,658.06",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.56500.040,,Supplies,$74.20,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,$74.20,"$5,658.06",,,$0.00,$0.00,$0.00,$0.00,0.00
Function:,,INSTRUCTION,RELATED TECHNOLOGY -,$74.20,"$5,658.06",,,$0.00,$0.00,$0.00,$0.00,0.00
2230,,,,,,,,,,,,
Cost,Center:,MAST LANDING,- 040,"$267,144.38","$256,919.44",,"$334,455.73",,"$303,228.50","$285,715.00","($17,513.50)",(5.78)
,1000.0000.2110.51010.050,,Social Worker Salaries,$0.00,,$0.00,,$0.00,$0.00,"$43,851.00","$43,851.00",0.00
,1000.0000.2110.52010.050,,Social Worker Benefits,$0.00,,$0.00,,$0.00,$0.00,"$8,699.00","$8,699.00",0.00
,1000.0000.2110.52310.050,,Social Worker Retirement,$0.00,,$0.00,,$0.00,$0.00,"$1,960.00","$1,960.00",0.00
Program:,OVERHEAD,- 0000,,$0.00,,$0.00,,$0.00,$0.00,"$54,510.00","$54,510.00",0.00
Function:,Attendance,& Social,Work - 2110,$0.00,,$0.00,,$0.00,$0.00,"$54,510.00","$54,510.00",0.00
,1000.0000.2120.51010.050,,Guidance Salaries,"$74,875.00","$80,748.00",,"$79,211.62",,"$86,026.00","$89,503.00","$3,477.00",4.04
,1000.0000.2120.52010.050,,Benefits,"$21,593.87","$4,677.47",,"$21,523.48",,"$22,202.00","$23,666.00","$1,464.00",6.59
,1000.0000.2120.52310.050,,Retirement,"$3,265.50",,$783.03,,"$3,252.35","$3,578.00","$4,001.00",$423.00,11.82
,Page 50,of 80,,,,,,,,,,
