,,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account,Number,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2200.1000.52020.300,,Ed Tech,Benefits,,"$26,609.00",$0.00,"$26,609.00",,$0.00,$0.00,"$26,609.00",$0.00,"$26,609.00",100.00%
,1000.2200.1000.52310.300,,Retirement,,,"$6,360.00",$0.00,"$6,360.00",,$0.00,$0.00,"$6,360.00",$0.00,"$6,360.00",100.00%
,1000.2200.1000.52320.300,,Retirement,,,"$3,021.00",$0.00,"$3,021.00",,$0.00,$0.00,"$3,021.00",$0.00,"$3,021.00",100.00%
,1000.2200.1000.56100.300,,Instructional,Supplies,,$600.00,$0.00,,$600.00,$0.00,$0.00,$600.00,$0.00,$600.00,100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT,- 2200,"$287,109.00",$0.00,"$287,109.00",,$0.00,$0.00,"$287,109.00","$238,075.27","$49,033.73",17.08%
,1000.2300.1000.51010.300,,Teacher,Salaries,,"$175,562.00",$0.00,"$175,562.00",,$0.00,$0.00,"$175,562.00","$79,771.06","$95,790.94",54.56%
,1000.2300.1000.51020.300,,Ed Tech,Salaries,,"$127,282.00",$0.00,"$127,282.00",,$0.00,$0.00,"$127,282.00","$182,532.78","($55,250.78)",-43.41%
,1000.2300.1000.52010.300,,Teacher,Benefits,,"$41,720.00",$0.00,"$41,720.00",,$0.00,$0.00,"$41,720.00",$0.00,"$41,720.00",100.00%
,1000.2300.1000.52020.300,,Ed Tech,Benefits,,"$49,863.00",$0.00,"$49,863.00",,$0.00,$0.00,"$49,863.00",$0.00,"$49,863.00",100.00%
,1000.2300.1000.52310.300,,Retirement,,,"$7,848.00",$0.00,"$7,848.00",,$0.00,$0.00,"$7,848.00",$0.00,"$7,848.00",100.00%
,1000.2300.1000.52320.300,,Retirement,,,"$5,689.00",$0.00,"$5,689.00",,$0.00,$0.00,"$5,689.00",$0.00,"$5,689.00",100.00%
,Program:,SELF,CONTAINED CLASS,PLACEMENT,- 2300,"$407,964.00",$0.00,"$407,964.00",,$0.00,$0.00,"$407,964.00","$262,303.84","$145,660.16",35.70%
,,Function:,REGULAR,INSTRUCTION,- 1000,"$711,879.00",$0.00,"$711,879.00",,$0.00,$0.00,"$711,879.00","$500,379.11","$211,499.89",29.71%
,1000.2800.2110.51010.300,,Social Worker,Salary,,"$80,192.00",$0.00,"$80,192.00",,$0.00,$0.00,"$80,192.00","$80,192.31",($0.31),0.00%
,1000.2800.2110.52010.300,,Social Worker,Benefits,,"$12,977.00",$0.00,"$12,977.00",,$0.00,$0.00,"$12,977.00",$0.00,"$12,977.00",100.00%
,1000.2800.2110.52310.300,,Retirement,,,"$3,585.00",$0.00,"$3,585.00",,$0.00,$0.00,"$3,585.00",$0.00,"$3,585.00",100.00%
,1000.2800.2110.53440.300,,Professional,Services,,"$2,600.00",$0.00,"$2,600.00",,$0.00,$0.00,"$2,600.00",$0.00,"$2,600.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$99,354.00",$0.00,"$99,354.00",,$0.00,$0.00,"$99,354.00","$80,192.31","$19,161.69",19.29%
,,Function:,Attendance,& Social Work,- 2110,"$99,354.00",$0.00,"$99,354.00",,$0.00,$0.00,"$99,354.00","$80,192.31","$19,161.69",19.29%
,1000.2800.2140.53440.300,,Professional,Services,,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,1000.2800.2140.55800.300,,Travel,,,$267.00,$0.00,,$267.00,$0.00,$0.00,$267.00,$0.00,$267.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$1,767.00",$0.00,"$1,767.00",,$0.00,$0.00,"$1,767.00",$0.00,"$1,767.00",100.00%
,,,Function:,PSYCHOLOGICAL,- 2140,"$1,767.00",$0.00,"$1,767.00",,$0.00,$0.00,"$1,767.00",$0.00,"$1,767.00",100.00%
,1000.2800.2150.51010.300,,Speech &,Audiology Salaries,,"$46,255.00",$0.00,"$46,255.00",,$0.00,$0.00,"$46,255.00","$46,254.52",$0.48,0.00%
,1000.2800.2150.52010.300,,Speech &,Audiology Benefits,,"$13,076.00",$0.00,"$13,076.00",,$0.00,$0.00,"$13,076.00",$0.00,"$13,076.00",100.00%
,1000.2800.2150.52310.300,,Retirement,,,"$2,068.00",$0.00,"$2,068.00",,$0.00,$0.00,"$2,068.00",$0.00,"$2,068.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$61,399.00",$0.00,"$61,399.00",,$0.00,$0.00,"$61,399.00","$46,254.52","$15,144.48",24.67%
,,,Function: SPEECH &,AUDIOLOGY,- 2150,"$61,399.00",$0.00,"$61,399.00",,$0.00,$0.00,"$61,399.00","$46,254.52","$15,144.48",24.67%
,1000.2800.2160.51010.300,,OT Salary,,,"$6,989.00",$0.00,"$6,989.00",,$0.00,$0.00,"$6,989.00","$7,041.31",($52.31),-0.75%
,1000.2800.2160.52010.300,,OT Benefits,,,$506.00,$0.00,,$506.00,$0.00,$0.00,$506.00,$0.00,$506.00,100.00%
,1000.2800.2160.52310.300,,Retirement,,,$312.00,$0.00,,$312.00,$0.00,$0.00,$312.00,$0.00,$312.00,100.00%
