,,,,,,,RSU,No.,5,,,,,
,Article 5,Student and,Staff,Support,- Proposed,,,,,,,,,
From,Date:,7/1/2021,,To Date:,6/30/2022,Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,,
,1000.0000.2240.53000.900,,,Purchased,Professional - Assessment,"$16,900",,"$17,100",,"$4,763","$6,331","$5,616",($715),(11.29)
,1000.0000.2290.51060.300,,Outreach,Coordinator,Salary,$0,,$0,,$0,"$58,554","$87,674","$29,120",49.73
,1000.0000.2290.52060.300,,Outreach,Coordinator,Benefits,$0,,$0,,$0,"$24,603",$0,"($24,603)",(100.00)
Grand,Total:,,,,,"$3,223,736","$3,314,224",,"$2,716,070",,"$3,458,441","$3,594,805","$136,364",3.94
,,,,,,,End,of Report,,,,,,
,,,,,,,,,,,,,3/21/22 Page 35,
