,,,,RSU,No. 5,,,,,,,
,FY27 Article,2 Special,Education- Proposed,,,,,,,,,
From,Date:,7/1/2026,To Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,FY27,,Dollar,Percent
,,,,FY23 Actual,FY24 Actual,FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,Description,,,,,,,,,
,1000.2500.2330.53440.990,,MAINE CARE SEED-,"$16,748.04","$18,699.17",,"$16,480.17","$17,400.00","$17,400.00",,$0.00,0.00
,,,BEHAVORIAL DAY,,,,,,,,,
,Program:,ADMINISTRATION - 2500,,"$16,748.04","$18,699.17",,"$16,480.17","$17,400.00","$17,400.00",,$0.00,0.00
,Function: SPECIAL,AREA ADMINISTRATION,- 2330,"$16,748.04","$18,699.17",,"$16,480.17","$17,400.00","$17,400.00",,$0.00,0.00
Cost,Center:,9-12 - 990,,"$100,773.16","$81,879.38",,"$146,941.80","$157,007.00","$359,601.00","$202,594.00",,129.04
Grand,Total:,,,"$4,898,941.43","$4,884,843.40",,"$5,613,792.58","$6,513,451.00","$7,510,422.00","$996,971.00",,15.31
,,,,End of,Report,,,,,,,
,,,,Page 36,of 89,,,,,,,
,,,,RSU,No. 5,,,,,,,
,FY27 Article,3 CTE-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,FY27,,Dollar,Percent
,,,,FY23 Actual,FY24 Actual,FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,Description,,,,,,,,,
,1000.3000.1000.55640.300,,MVR 10 Assessment,"$184,596.00","$272,017.00",,"$289,668.00","$307,645.00","$337,282.00","$29,637.00",,9.63
,Program:,CAREER & TECH,ED - 3000,"$184,596.00","$272,017.00",,"$289,668.00","$307,645.00","$337,282.00","$29,637.00",,9.63
,Function:,REGULAR,INSTRUCTION - 1000,"$184,596.00","$272,017.00",,"$289,668.00","$307,645.00","$337,282.00","$29,637.00",,9.63
Cost,Center:,FREEPORT,HIGH SCHOOL - 300,"$184,596.00","$272,017.00",,"$289,668.00","$307,645.00","$337,282.00","$29,637.00",,9.63
Grand,Total:,,,"$184,596.00","$272,017.00",,"$289,668.00","$307,645.00","$337,282.00","$29,637.00",,9.63
,,,,End of,Report,,,,,,,
,,,,Page 37,of 89,,,,,,,
