,,,,,,RSU,No.,5,,,,,,
,1000.0000.2213.51500.010,,Stipends-Acad,Leadership and LCC,"$32,962.00",$0.00,"$32,962.00",,$0.00,$0.00,"$32,962.00",$0.00,"$32,962.00",100.00%
,1000.0000.2213.52000.010,,Stipend Benefits -,DCS,"$1,108.00",$0.00,"$1,108.00",,$0.00,$0.00,"$1,108.00",$0.00,"$1,108.00",100.00%
,1000.0000.2213.52300.010,,Stipend Retirement,- DCS,"$1,473.00",$0.00,"$1,473.00",,$0.00,$0.00,"$1,473.00",$0.00,"$1,473.00",100.00%
,,,Program:,OVERHEAD - 0000,"$35,543.00",$0.00,"$35,543.00",,$0.00,$0.00,"$35,543.00",$0.00,"$35,543.00",100.00%
,Function:,INSTRUCTIONAL,STAFF,TRAINING - 2213,"$35,543.00",$0.00,"$35,543.00",,$0.00,$0.00,"$35,543.00",$0.00,"$35,543.00",100.00%
,1000.0000.2220.51010.010,,Librarian Salary,,"$93,415.00",$0.00,"$93,415.00",,$0.00,$0.00,"$93,415.00","$90,579.15","$2,835.85",3.04%
,1000.0000.2220.51020.010,,Ed Tech Salaries,,"$20,799.00",$0.00,"$20,799.00",,$0.00,$0.00,"$20,799.00","$13,722.80","$7,076.20",34.02%
,1000.0000.2220.52010.010,,Librarian Benefits,,"$20,876.00",$0.00,"$20,876.00",,$0.00,$0.00,"$20,876.00",$0.00,"$20,876.00",100.00%
,,,,,,RSU,No.,5,,,,,,
,Article 5,Student,and Staff,Support- Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2220.52020.010,,Ed Tech Salaries,,"$7,251.00",$0.00,"$7,251.00",,$0.00,$0.00,"$7,251.00",$0.00,"$7,251.00",100.00%
,1000.0000.2220.52310.010,,Retirement,,"$4,176.00",$0.00,"$4,176.00",,$0.00,$0.00,"$4,176.00",$0.00,"$4,176.00",100.00%
,1000.0000.2220.52320.010,,Ed Tech Retirement,,$930.00,$0.00,,$930.00,$0.00,$0.00,$930.00,$0.00,$930.00,100.00%
,1000.0000.2220.54330.010,,Software,,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,1000.0000.2220.56100.010,,Supplies,,"$1,300.00",$0.00,"$1,300.00",,$0.00,$0.00,"$1,300.00",$0.00,"$1,300.00",100.00%
,1000.0000.2220.56400.010,,Books,,"$10,456.00",$0.00,"$10,456.00",,$0.00,$0.00,"$10,456.00",$0.00,"$10,456.00",100.00%
,,,Program:,OVERHEAD - 0000,"$160,703.00",$0.00,"$160,703.00",,$0.00,$0.00,"$160,703.00","$104,301.95","$56,401.05",35.10%
,,,Function: LIBRARY,SERVICES - 2220,"$160,703.00",$0.00,"$160,703.00",,$0.00,$0.00,"$160,703.00","$104,301.95","$56,401.05",35.10%
,1000.0000.2230.51500.010,,Stipends,,"$2,972.00",$0.00,"$2,972.00",,$0.00,$0.00,"$2,972.00",$0.00,"$2,972.00",100.00%
,1000.0000.2230.52000.010,,Benefits,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,1000.0000.2230.52300.010,,Stipend Retirement,,$133.00,$0.00,,$133.00,$0.00,$0.00,$133.00,$0.00,$133.00,100.00%
,,,Program:,OVERHEAD - 0000,"$3,205.00",$0.00,"$3,205.00",,$0.00,$0.00,"$3,205.00",$0.00,"$3,205.00",100.00%
,Function:,INSTRUCTION,RELATED,TECHNOLOGY - 2230,"$3,205.00",$0.00,"$3,205.00",,$0.00,$0.00,"$3,205.00",$0.00,"$3,205.00",100.00%
,,Cost,Center: DURHAM,COMMUNITY - 010,"$555,923.00",$0.00,"$555,923.00",,$0.00,$0.00,"$555,923.00","$392,916.19","$163,006.81",29.32%
,1000.0000.2110.51010.020,,Social Worker,Salaries,"$26,915.00",$0.00,"$26,915.00",,$0.00,$0.00,"$26,915.00","$26,199.64",$715.36,2.66%
,1000.0000.2110.52010.020,,Social Worker,Benefits,"$5,768.00",$0.00,"$5,768.00",,$0.00,$0.00,"$5,768.00",$0.00,"$5,768.00",100.00%
,1000.0000.2110.52310.020,,Social Worker,Retirement,"$1,203.00",$0.00,"$1,203.00",,$0.00,$0.00,"$1,203.00",$0.00,"$1,203.00",100.00%
,,,Program:,OVERHEAD - 0000,"$33,886.00",$0.00,"$33,886.00",,$0.00,$0.00,"$33,886.00","$26,199.64","$7,686.36",22.68%
,,Function:,Attendance &,Social Work - 2110,"$33,886.00",$0.00,"$33,886.00",,$0.00,$0.00,"$33,886.00","$26,199.64","$7,686.36",22.68%
,1000.0000.2120.51010.020,,Guidance Salaries,,"$86,169.00",$0.00,"$86,169.00",,$0.00,$0.00,"$86,169.00","$86,169.16",($0.16),0.00%
,1000.0000.2120.52010.020,,Benefits,,"$27,867.00",$0.00,"$27,867.00",,$0.00,$0.00,"$27,867.00",$0.00,"$27,867.00",100.00%
,1000.0000.2120.52310.020,,Retirement,,"$3,852.00",$0.00,"$3,852.00",,$0.00,$0.00,"$3,852.00",$0.00,"$3,852.00",100.00%
,1000.0000.2120.53000.020,,Purchased,Professional,$400.00,$0.00,,$400.00,$0.00,$0.00,$400.00,$0.00,$400.00,100.00%
,1000.0000.2120.54330.020,,Software,,$334.00,$0.00,,$334.00,$0.00,$0.00,$334.00,$0.00,$334.00,100.00%
,1000.0000.2120.56100.020,,Supplies,,"$1,100.00",$0.00,"$1,100.00",,$0.00,$0.00,"$1,100.00",$0.00,"$1,100.00",100.00%
,1000.0000.2120.56400.020,,Books,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,1000.0000.2120.58100.020,,Dues & Fees,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,,,Program:,OVERHEAD - 0000,"$120,372.00",$0.00,"$120,372.00",,$0.00,$0.00,"$120,372.00","$86,169.16","$34,202.84",28.41%
,,,Function:,COUNSELING - 2120,"$120,372.00",$0.00,"$120,372.00",,$0.00,$0.00,"$120,372.00","$86,169.16","$34,202.84",28.41%
,1000.0000.2130.51010.020,,Nurse Salary,,"$99,078.00",$0.00,"$99,078.00",,$0.00,$0.00,"$99,078.00","$99,077.78",$0.22,0.00%
,1000.0000.2130.52010.020,,Nurse Benefits,,"$6,700.00",$0.00,"$6,700.00",,$0.00,$0.00,"$6,700.00",$0.00,"$6,700.00",100.00%
