,,,2026-2027,,,
,,Superintendent's,Proposed Budget,by Article,,
ARTICLE,#,Description,Adopted,Proposed,Difference,Difference
,,,2025-2026,2026-2027 in,Dollars,%
Article,1,Regular Instruction,"$19,356,261","$19,873,193","$516,932",2.67%
Article,2 Special,Education,"$6,513,451","$7,510,422","$996,971",15.31%
Article,3 Career,& Technical Education,"$307,645","$337,282","$29,637",9.63%
Article,4 Other,Instruction,"$1,119,087","$1,172,539","$53,452",4.78%
,,(Co-Curr & Athletics),,,,
Article,5,Student & Staff Support,"$4,644,307","$4,906,366","$262,059",5.64%
Article,6 System,Administration,"$1,263,587","$1,308,008","$44,421",3.52%
Article,7 School,Administration,"$2,514,485","$2,638,024","$123,539",4.91%
Article,8,Transportation & Buses,"$1,931,576","$2,388,457","$456,881",23.65%
Article,9,Facilities & Maintenance,"$5,490,511","$5,993,777","$503,266",9.17%
Article,10 Debt,Service,"$1,087,428","$1,071,577","$(15,851)",-1.46%
Article,11 All,Other/Nutrition,"$139,591","$69,796","$(69,795)",-50.00%
,Total,Articles 1-11 Budget,"$44,367,929","$47,269,441","$2,901,512",
,Adult,Education,"$88,000","$88,000",$0,0%
,Total,Operating Budget,"$44,455,929","$47,357,441","$2,901,512",6.53%
Updated,02.11.2026,,,,,
