,,,,,,,RSU,No.,5,,,,,
,Article 5,Student and,Staff,Support,- - Adopted,,,,,,,,,
From,Date:,7/1/2022,,To Date:,6/30/2023,Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,,,FY23,Adopted,,
,Account,,,Description,,,,,,,,,,
,1000.0000.2240.53000.900,,,Purchased,Professional - Assessment,"$16,900",,"$17,100",,"$4,763","$6,331","$5,616",($715),(11.29)
,1000.0000.2290.51060.300,,Outreach,Coordinator,Salary,$0,,$0,,$0,"$58,554","$87,674","$29,120",49.73
,1000.0000.2290.52060.300,,Outreach,Coordinator,Benefits,$0,,$0,,$0,"$24,603",$0,"($24,603)",(100.00)
Grand,Total:,,,,,"$3,223,736","$3,314,224",,"$2,716,070",,"$3,458,441","$3,594,805","$136,364",3.94
,,,,,,,End,of Report,,,,,,
