,,,,,RSU,No.,5,,,,,,
Article,4 Other,Instruction- Adopted,,,,,,,,,,,
,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
1000.4300.1000.52010.300,,Summer School,Teacher Benefits -,$292.00,$0.00,,$292.00,$0.00,$0.00,$292.00,$0.00,$292.00,100.00%
,,FHS,,,,,,,,,,,
1000.4300.1000.52310.300,,Summer School,Teacher,$388.00,$0.00,,$388.00,$0.00,$0.00,$388.00,$0.00,$388.00,100.00%
,,Retirement - FHS,,,,,,,,,,,
,,Program: SUMMER,SCHOOL - 4300,"$9,366.00",$0.00,"$9,366.00",,$0.00,$0.00,"$9,366.00",$0.00,"$9,366.00",100.00%
1000.9500.1000.51500.300,,Stipends,,"$105,262.00",$0.00,"$105,262.00",,$0.00,$0.00,"$105,262.00","$13,500.00","$91,762.00",87.17%
1000.9500.1000.52000.300,,Stipend Benefits,,"$3,537.00",$0.00,"$3,537.00",,$0.00,$0.00,"$3,537.00",$0.00,"$3,537.00",100.00%
1000.9500.1000.52300.300,,Retirement,,"$4,705.00",$0.00,"$4,705.00",,$0.00,$0.00,"$4,705.00",$0.00,"$4,705.00",100.00%
1000.9500.1000.53400.300,,Co-Curricular Purch,Professional,"$4,377.00",$0.00,"$4,377.00",,$0.00,$0.00,"$4,377.00",$0.00,"$4,377.00",100.00%
1000.9500.1000.55800.300,,Co-Curricular Travel,,$200.00,$0.00,,$200.00,$0.00,$0.00,$200.00,$0.00,$200.00,100.00%
1000.9500.1000.56100.300,,Instructional Supplies,,"$2,770.00",$0.00,"$2,770.00",,$0.00,$0.00,"$2,770.00",$0.00,"$2,770.00",100.00%
1000.9500.1000.58100.300,,Dues and Fees,,"$10,865.00",$0.00,"$10,865.00",,$0.00,$0.00,"$10,865.00",$0.00,"$10,865.00",100.00%
,Program:,CO-CURRICULAR,9-12 - 9500,"$131,716.00",$0.00,"$131,716.00",,$0.00,$0.00,"$131,716.00","$13,500.00","$118,216.00",89.75%
1000.9600.1000.51500.300,,Stipends-Coaches,,"$180,688.00",$0.00,"$180,688.00",,$0.00,$0.00,"$180,688.00",$0.00,"$180,688.00",100.00%
1000.9600.1000.52000.300,,Stipend Benefits,,"$6,071.00",$0.00,"$6,071.00",,$0.00,$0.00,"$6,071.00",$0.00,"$6,071.00",100.00%
