,,,,,,RSU,No.,5,,,,,,
Article,9,Operations,& Maintenance-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2600.55800.300,,Travel,,$15.00,$0.00,,$15.00,$0.00,$0.00,$15.00,$0.00,$15.00,100.00%
,1000.0000.2600.56000.300,,Supplies,,"$37,200.00",$0.00,"$37,200.00",,$0.00,$0.00,"$37,200.00",$0.00,"$37,200.00",100.00%
,1000.0000.2600.56011.300,,Materials for Repair,,"$7,600.00",$0.00,"$7,600.00",,$0.00,$0.00,"$7,600.00",$0.00,"$7,600.00",100.00%
,1000.0000.2600.56013.300,,Major Maintenance,,"$25,045.00",$0.00,"$25,045.00",,$0.00,$0.00,"$25,045.00",$0.00,"$25,045.00",100.00%
,1000.0000.2600.56220.300,,Electricity,,"$42,000.00",$0.00,"$42,000.00",,$0.00,$0.00,"$42,000.00",$0.00,"$42,000.00",100.00%
,1000.0000.2600.56240.300,,Heating Fuel,,"$91,000.00",$0.00,"$91,000.00",,$0.00,$0.00,"$91,000.00",$0.00,"$91,000.00",100.00%
,,,Program:,OVERHEAD - 0000,"$777,105.00",$0.00,"$777,105.00",,$0.00,$0.00,"$777,105.00","$288,949.60","$488,155.40",62.82%
,,Function:,OPERATION OF,PLANT - 2600,"$777,105.00",$0.00,"$777,105.00",,$0.00,$0.00,"$777,105.00","$288,949.60","$488,155.40",62.82%
,1000.0000.2680.58310.300,,Principal-High,School Renovation,"$680,000.00",$0.00,"$680,000.00",,$0.00,$0.00,"$680,000.00",$0.00,"$680,000.00",100.00%
,1000.0000.2680.58320.300,,Interest-High School,Renovation,"$221,000.00",$0.00,"$221,000.00",,$0.00,$0.00,"$221,000.00",$0.00,"$221,000.00",100.00%
,,,Program:,OVERHEAD - 0000,"$901,000.00",$0.00,"$901,000.00",,$0.00,$0.00,"$901,000.00",$0.00,"$901,000.00",100.00%
,Function:,CAPITAL,ENHANCEMENT & IMPROVEMENT,- 2680,"$901,000.00",$0.00,"$901,000.00",,$0.00,$0.00,"$901,000.00",$0.00,"$901,000.00",100.00%
,,Cost Center:,FREEPORT HIGH,SCHOOL - 300,"$1,678,105.00",$0.00,"$1,678,105.00",,$0.00,$0.00,"$1,678,105.00","$288,949.60","$1,389,155.40",82.78%
,1000.0000.2620.51040.900,,Administrator Salary,,"$100,170.00",$0.00,"$100,170.00",,$0.00,$0.00,"$100,170.00","$100,170.78",($0.78),0.00%
,1000.0000.2620.51180.900,,Salaries,,"$366,326.00",$0.00,"$366,326.00",,$0.00,$0.00,"$366,326.00","$289,080.24","$77,245.76",21.09%
,1000.0000.2620.52040.900,,Administrator,Benefits,"$26,151.00",$0.00,"$26,151.00",,$0.00,$0.00,"$26,151.00",$0.00,"$26,151.00",100.00%
,1000.0000.2620.52080.900,,Benefits,,"$145,542.00",$0.00,"$145,542.00",,$0.00,$0.00,"$145,542.00",$0.00,"$145,542.00",100.00%
,1000.0000.2620.52380.900,,Retirement,,"$18,316.00",$0.00,"$18,316.00",,$0.00,$0.00,"$18,316.00",$0.00,"$18,316.00",100.00%
,1000.0000.2620.53000.900,,Purchased Professional,,"$5,396.00",$0.00,"$5,396.00",,$0.00,$0.00,"$5,396.00",$0.00,"$5,396.00",100.00%
,1000.0000.2620.53300.900,,Training & Development,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,1000.0000.2620.54300.900,,Purchased Repair,,"$40,431.00",$0.00,"$40,431.00",,$0.00,$0.00,"$40,431.00",$0.00,"$40,431.00",100.00%
,1000.0000.2620.55800.900,,Travel,,"$3,382.00",$0.00,"$3,382.00",,$0.00,$0.00,"$3,382.00",$0.00,"$3,382.00",100.00%
,1000.0000.2620.56000.900,,Supplies,,"$62,341.00",$0.00,"$62,341.00",,$0.00,$0.00,"$62,341.00",$0.00,"$62,341.00",100.00%
,1000.0000.2620.56260.900,,Fleet Fuel,,"$11,342.00",$0.00,"$11,342.00",,$0.00,$0.00,"$11,342.00",$0.00,"$11,342.00",100.00%
,1000.0000.2620.58100.900,,Dues & Fees,,$350.00,$0.00,,$350.00,$0.00,$0.00,$350.00,$0.00,$350.00,100.00%
,,,Program:,OVERHEAD - 0000,"$780,097.00",$0.00,"$780,097.00",,$0.00,$0.00,"$780,097.00","$389,251.02","$390,845.98",50.10%
,,Function:,MAINTENANCE OF,BUILDINGS - 2620,"$780,097.00",$0.00,"$780,097.00",,$0.00,$0.00,"$780,097.00","$389,251.02","$390,845.98",50.10%
,1000.0000.2650.54300.900,,Repair & Maintenance,Services,"$11,100.00",$0.00,"$11,100.00",,$0.00,$0.00,"$11,100.00",$0.00,"$11,100.00",100.00%
,1000.0000.2650.54449.900,,Lease Purchase of,,"$33,600.00",$0.00,"$33,600.00",,$0.00,$0.00,"$33,600.00",$0.00,"$33,600.00",100.00%
,,,Non-Instructional,Equipment,,,,,,,,,,
,,,Program:,OVERHEAD - 0000,"$44,700.00",$0.00,"$44,700.00",,$0.00,$0.00,"$44,700.00",$0.00,"$44,700.00",100.00%
Function:,Vehicle,Operation &,Maint (non Student,Transport) - 2650,"$44,700.00",$0.00,"$44,700.00",,$0.00,$0.00,"$44,700.00",$0.00,"$44,700.00",100.00%
