,,,,,,,RSU,No.,5,,,,,,
,Article 11 All,Other,Expenditures-,,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.3100.59100.900,Nutrition,Assessment,,,"$139,591.00",$0.00,"$139,591.00",,$0.00,$0.00,"$139,591.00",$0.00,"$139,591.00",100.00%
,,,Program:,OVERHEAD -,0000,"$139,591.00",$0.00,"$139,591.00",,$0.00,$0.00,"$139,591.00",$0.00,"$139,591.00",100.00%
,Function:,FOOD SERVICES,,OPERATIONS -,3100,"$139,591.00",$0.00,"$139,591.00",,$0.00,$0.00,"$139,591.00",$0.00,"$139,591.00",100.00%
,,Cost Center:,SYSTEM,WIDE -,900,"$139,591.00",$0.00,"$139,591.00",,$0.00,$0.00,"$139,591.00",$0.00,"$139,591.00",100.00%
Grand,Total:,,,,,"$139,591.00",$0.00,"$139,591.00",,$0.00,$0.00,"$139,591.00",$0.00,"$139,591.00",100.00%
,,,,,,,End,of Report,,,,,,,
