,,,,,,RSU,No.,5,,,,,
,Article 1,Regular,Instruction -,Proposed,,,,,,,,,
From,Date:,3/22/2023,To Date:,3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,,
,1000.4900.1000.53440.990,,GaTE HS,Professional Services,"$2,406.88","$1,098.52",,,"$1,344.69","$9,355.00","$13,055.00","$3,700.00",39.55
,1000.4900.1000.55800.950,,Travel,,$448.09,,$0.00,,$62.83,$908.00,$920.00,$12.00,1.32
,1000.4900.1000.55800.990,,Travel,,$483.30,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.56100.950,,GaTE K-8,Instructional Supplies,"$1,780.34","$1,146.97",,,"$2,163.43","$3,835.89","$2,117.00","($1,718.89)",(44.81)
,1000.4900.1000.56100.990,,GaTE HS,Instructional Supplies,$0.00,,$0.00,,$0.00,$462.99,$463.00,$0.01,0.00
,1000.4900.1000.56400.950,,GaTE K-8 Books,,$494.96,,$447.26,,$317.93,"$1,200.00","$1,200.00",$0.00,0.00
,1000.4900.1000.58100.950,,Dues and Fees,,$0.00,,$0.00,,$254.00,"$3,352.00","$4,734.00","$1,382.00",41.23
Grand,Total:,,,,"$13,932,987.68","$12,777,724.36",,"$14,442,552.83",,"$16,401,257.00","$17,072,759.00","$671,502.00",4.09
,,,,,,End,of Report,,,,,,
,,03/22/2023,,,,,,,,,,Page 11,
