,,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,2,Special,,Education-,,Proposed,,,,,,,,,
From,Date:,7/1/2026,,,To Date:,,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,,,Description,,,,,,,,,
,1000.2800.2140.55800.050,,,,,Travel,,$73.75,,$0.00,$0.00,$267.00,$267.00,,$0.00,0.00
Program:,OTHER,SPECIAL,,PROGRAMS,-,2800,,$73.75,,$0.00,$0.00,"$1,767.00","$1,767.00",,$0.00,0.00
Function:,,PSYCHOLOGICAL,-,2140,,,,$73.75,,$0.00,$0.00,"$1,767.00","$1,767.00",,$0.00,0.00
,1000.2800.2150.51010.050,,,,,Speech,& Audiology,"$41,834.51","$50,241.81",,"$43,129.58","$46,255.00","$49,414.00",,"$3,159.00",6.83
,,,,,,Salaries,,,,,,,,,,
,1000.2800.2150.52010.050,,,,,Speech,& Audiology,"$8,565.76",,"$9,264.46","$12,198.46","$13,076.00","$14,027.00",,$951.00,7.27
,,,,,,Benefits,,,,,,,,,,
,1000.2800.2150.52310.050,,,,,,Retirement,"$1,605.65",,"$2,245.99","$1,920.55","$2,068.00","$2,209.00",,$141.00,6.82
,1000.2800.2150.55800.050,,,,,Travel,,$0.00,,$0.00,$189.00,$100.00,$100.00,,$0.00,0.00
Program:,OTHER,SPECIAL,,PROGRAMS,-,2800,,"$52,005.92","$61,752.26",,"$57,437.59","$61,499.00","$65,750.00",,"$4,251.00",6.91
Function:,SPEECH,&,AUDIOLOGY,-,2150,,,"$52,005.92","$61,752.26",,"$57,437.59","$61,499.00","$65,750.00",,"$4,251.00",6.91
,1000.2800.2160.51010.050,,,,,OT,Salary,"$7,718.32",,"$7,828.34","$8,947.90","$9,601.00","$10,253.00",,$652.00,6.79
,1000.2800.2160.52010.050,,,,,OT,Benefits,"$1,713.62",,"$1,757.96","$2,152.62","$2,617.00","$2,783.00",,$166.00,6.34
,1000.2800.2160.52310.050,,,,,,Retirement,$296.60,,$349.96,$398.40,$429.00,$458.00,,$29.00,6.76
,1000.2800.2160.55800.050,,,,,Travel,,$0.00,,$0.00,$0.00,$50.00,$50.00,,$0.00,0.00
Program:,OTHER,SPECIAL,,PROGRAMS,-,2800,,"$9,728.54",,"$9,936.26","$11,498.92","$12,697.00","$13,544.00",,$847.00,6.67
Function:,OT -,2160,,,,,,"$9,728.54",,"$9,936.26","$11,498.92","$12,697.00","$13,544.00",,$847.00,6.67
Cost,Center:,FREEPORT,MIDDLE,,SCHOOL -,050,,"$831,851.72","$860,443.76",,"$861,821.06","$1,092,090.00","$1,062,320.00","($29,770.00)",,(2.73)
,,,,,,,,Page,26 of 89,,,,,,,
