,,,,,,,RSU,No.,5,,,,,,
,1000.0000.2213.52000.050,,,Stipend Benefits -,FMS,$944.00,$0.00,,$944.00,$0.00,$0.00,$944.00,$0.00,$944.00,100.00%
,1000.0000.2213.52300.050,,,Stipend Retirement,- FMS,"$1,256.00",$0.00,"$1,256.00",,$0.00,$0.00,"$1,256.00",$0.00,"$1,256.00",100.00%
,,,,Program:,OVERHEAD - 0000,"$30,303.00",$0.00,"$30,303.00",,$0.00,$0.00,"$30,303.00",$0.00,"$30,303.00",100.00%
,Function:,,INSTRUCTIONAL,STAFF,TRAINING - 2213,"$30,303.00",$0.00,"$30,303.00",,$0.00,$0.00,"$30,303.00",$0.00,"$30,303.00",100.00%
,1000.0000.2220.51010.050,,,Librarian Salaries,,"$91,684.00",$0.00,"$91,684.00",,$0.00,$0.00,"$91,684.00","$91,684.18",($0.18),0.00%
,1000.0000.2220.52010.050,,,Librarian Benefits,,"$28,045.00",$0.00,"$28,045.00",,$0.00,$0.00,"$28,045.00",$0.00,"$28,045.00",100.00%
,1000.0000.2220.52310.050,,,Retirement,,"$4,098.00",$0.00,"$4,098.00",,$0.00,$0.00,"$4,098.00",$0.00,"$4,098.00",100.00%
,1000.0000.2220.54330.050,,,Software,,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,,,,,,,RSU,No.,5,,,,,,
,Article,5 Student,and,Staff,Support- Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2220.56100.050,,,Instructional Supplies,,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,1000.0000.2220.56400.050,,,Books,,"$5,964.00",$0.00,"$5,964.00",,$0.00,$0.00,"$5,964.00",$0.00,"$5,964.00",100.00%
,,,,Program:,OVERHEAD - 0000,"$131,791.00",$0.00,"$131,791.00",,$0.00,$0.00,"$131,791.00","$91,684.18","$40,106.82",30.43%
,,,,Function: LIBRARY,SERVICES - 2220,"$131,791.00",$0.00,"$131,791.00",,$0.00,$0.00,"$131,791.00","$91,684.18","$40,106.82",30.43%
,1000.0000.2230.51500.050,,,Stipends,,"$4,458.00",$0.00,"$4,458.00",,$0.00,$0.00,"$4,458.00",$0.00,"$4,458.00",100.00%
,1000.0000.2230.52000.050,,,Stipend Benefits,,$150.00,$0.00,,$150.00,$0.00,$0.00,$150.00,$0.00,$150.00,100.00%
,1000.0000.2230.52300.050,,,Retirement,,$199.00,$0.00,,$199.00,$0.00,$0.00,$199.00,$0.00,$199.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$4,807.00",$0.00,"$4,807.00",,$0.00,$0.00,"$4,807.00",$0.00,"$4,807.00",100.00%
,,Function:,INSTRUCTION,RELATED,TECHNOLOGY - 2230,"$4,807.00",$0.00,"$4,807.00",,$0.00,$0.00,"$4,807.00",$0.00,"$4,807.00",100.00%
,,Cost,Center:,FREEPORT MIDDLE,SCHOOL - 050,"$456,648.00",$0.00,"$456,648.00",,$0.00,$0.00,"$456,648.00","$328,926.06","$127,721.94",27.97%
,1000.0000.2110.51010.300,,,Teachers Salaries,,"$84,967.00",$0.00,"$84,967.00",,$0.00,$0.00,"$84,967.00","$84,967.29",($0.29),0.00%
,1000.0000.2110.52010.300,,,Teacher Benefits,,"$27,828.00",$0.00,"$27,828.00",,$0.00,$0.00,"$27,828.00",$0.00,"$27,828.00",100.00%
,1000.0000.2110.52310.300,,,Retirement,,"$3,798.00",$0.00,"$3,798.00",,$0.00,$0.00,"$3,798.00",$0.00,"$3,798.00",100.00%
,,,,Program:,OVERHEAD - 0000,"$116,593.00",$0.00,"$116,593.00",,$0.00,$0.00,"$116,593.00","$84,967.29","$31,625.71",27.12%
,,,Function:,Attendance & Social,Work - 2110,"$116,593.00",$0.00,"$116,593.00",,$0.00,$0.00,"$116,593.00","$84,967.29","$31,625.71",27.12%
,1000.0000.2120.51010.300,,,Counselor Salaries,,"$264,579.00",$0.00,"$264,579.00",,$0.00,$0.00,"$264,579.00","$254,805.97","$9,773.03",3.69%
,1000.0000.2120.51180.300,,,Guidance Support,Wages,"$69,921.00",$0.00,"$69,921.00",,$0.00,$0.00,"$69,921.00","$35,242.90","$34,678.10",49.60%
,1000.0000.2120.52010.300,,,Counselor Benefits,,"$101,077.00",$0.00,"$101,077.00",,$0.00,$0.00,"$101,077.00",$0.00,"$101,077.00",100.00%
,1000.0000.2120.52080.300,,,Support Benefits,,"$31,267.00",$0.00,"$31,267.00",,$0.00,$0.00,"$31,267.00",$0.00,"$31,267.00",100.00%
,1000.0000.2120.52310.300,,,Retirement,,"$11,827.00",$0.00,"$11,827.00",,$0.00,$0.00,"$11,827.00",$0.00,"$11,827.00",100.00%
,1000.0000.2120.52380.300,,,Retirement,,"$3,496.00",$0.00,"$3,496.00",,$0.00,$0.00,"$3,496.00",$0.00,"$3,496.00",100.00%
,1000.0000.2120.53000.300,,,Purchased,Professional,"$24,602.00",$0.00,"$24,602.00",,$0.00,$0.00,"$24,602.00",$0.00,"$24,602.00",100.00%
,1000.0000.2120.54330.300,,,Software,,$334.00,$0.00,,$334.00,$0.00,$0.00,$334.00,$0.00,$334.00,100.00%
,1000.0000.2120.55810.300,,,Travel,,$900.00,$0.00,,$900.00,$0.00,$0.00,$900.00,$0.00,$900.00,100.00%
,1000.0000.2120.56100.300,,,Instructional Supplies,,"$1,750.00",$0.00,"$1,750.00",,$0.00,$0.00,"$1,750.00",$0.00,"$1,750.00",100.00%
,1000.0000.2120.58100.300,,,Dues & Fees,,$510.00,$0.00,,$510.00,$0.00,$0.00,$510.00,$0.00,$510.00,100.00%
,,,,Program:,OVERHEAD - 0000,"$510,263.00",$0.00,"$510,263.00",,$0.00,$0.00,"$510,263.00","$290,048.87","$220,214.13",43.16%
,,,,Function:,COUNSELING - 2120,"$510,263.00",$0.00,"$510,263.00",,$0.00,$0.00,"$510,263.00","$290,048.87","$220,214.13",43.16%
,1000.0000.2130.51010.300,,,Nurse Salary,,"$91,021.00",$0.00,"$91,021.00",,$0.00,$0.00,"$91,021.00","$91,021.00",$0.00,0.00%
,1000.0000.2130.52010.300,,,Nurses Benefits,,"$28,024.00",$0.00,"$28,024.00",,$0.00,$0.00,"$28,024.00",$0.00,"$28,024.00",100.00%
,1000.0000.2130.52310.300,,,Retirement,,"$4,069.00",$0.00,"$4,069.00",,$0.00,$0.00,"$4,069.00",$0.00,"$4,069.00",100.00%
