,,,,,RSU,No.,5,,,,,,
,Article 10,Debt Service,- Adopted,,,,,,,,,,
From,Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,,
,,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,,Difference
,,,,,,,,,FY24,Adopted,,,
,Account,,Description,,,,,,,,,,
,1000.0000.5100.58310.900,,Principal Payments-State,"Supported$ D1e,1b3t9,733.73","$1,139,733.82",,"$995,302.00",,"$995,302.00","$995,302.00",,$0.00,0.00
,1000.0000.5100.58320.900,,Interest Payments-State,"Supported De$b4t42,022.08","$287,512.44",,"$213,647.22",,"$186,301.00","$144,093.00",,"($42,208.00)",(22.66)
Grand,Total:,,,"$1,581,755.81","$1,427,246.26",,"$1,208,949.22",,"$1,181,603.00","$1,139,395.00",,"($42,208.00)",(3.57)
,,,,,End,of Report,,,,,,,
,,03/22/2023,,,,,,,,,,Page 54,
