,,,,,,RSU,No.,5,,,,,
,FY25 Article,10 Debt,,Service- Proposed,,,,,,,,,
From,Date:,3/1/2024,,To Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.5100.58310.900,,Principal,Payments-State,"Supported$ D1e,1b3t9,733.82","$995,302.00",,"$995,302.00",,"$995,302.00","$995,302.00",$0.00,0.00
,1000.0000.5100.58320.900,,Interest,Payments-State Supported,"De$b2t87,512.44","$213,647.22",,"$186,302.54",,"$144,093.00","$115,762.00","($28,331.00)",(19.66)
,Program:,OVERHEAD - 0000,,,"$1,427,246.26","$1,208,949.22",,"$1,181,604.54",,"$1,139,395.00","$1,111,064.00","($28,331.00)",(2.49)
,Function: STATE,SUPPORTED,DEBT,SERVICE - 5100,"$1,427,246.26","$1,208,949.22",,"$1,181,604.54",,"$1,139,395.00","$1,111,064.00","($28,331.00)",(2.49)
Cost,Center:,SYSTEM WIDE,- 900,,"$1,427,246.26","$1,208,949.22",,"$1,181,604.54",,"$1,139,395.00","$1,111,064.00","($28,331.00)",(2.49)
Grand,Total:,,,,"$1,427,246.26","$1,208,949.22",,"$1,181,604.54",,"$1,139,395.00","$1,111,064.00","($28,331.00)",(2.49)
,,,,,,End,of Report,,,,,,
,03/13/2024,,,,,,,,,,,80,
