,,,,,,RSU,No.,5,,,,,
Article,2,Special,Education-,Adopted,,,,,,,,,
From,Date:,7/1/2023,To,Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.2200.1000.51010.020,,Teacher,Salaries,"$258,883.42","$189,588.27",,"$72,280.56",,"$72,067.00","$82,812.00","$10,745.00",14.91
,1000.2200.1000.51020.020,,Ed Tech,Salaries,"$90,148.66","$90,581.22",,,$0.00,$0.00,"$139,551.00","$139,551.00",0.00
,1000.2200.1000.51230.020,,Sub Wages,,$596.48,"$4,747.70",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2200.1000.52010.020,,Teacher,Benefits,"$46,586.46","$5,734.53",,"$10,087.21",,"$10,502.00","$25,417.00","$14,915.00",142.02
,1000.2200.1000.52020.020,,Ed Tech,Benefits,"$18,762.07","$3,963.06",,,$0.00,$0.00,"$36,854.00","$36,854.00",0.00
,1000.2200.1000.52030.020,,Substitute,Benefits,$18.09,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2200.1000.52310.020,,Retirement,,"$10,815.45","$1,729.01",,,"$2,967.88",$0.00,"$3,702.00","$3,702.00",0.00
,1000.2200.1000.52320.020,,Retirement,,"$3,669.93",,$808.46,,$0.00,$0.00,"$6,674.00","$6,674.00",0.00
,1000.2200.1000.52330.020,,Retirement,,$12.37,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,RESOURCE,,CLASSROOM,PLACEMENT - 2200,"$429,492.93","$297,152.25",,"$85,335.65",,"$82,569.00","$295,010.00","$212,441.00",257.29
,1000.2300.1000.51010.020,,Teacher,Salaries,"$57,792.80","$66,694.73",,"$124,961.38",,"$128,357.00","$116,050.00","($12,307.00)",(9.59)
,1000.2300.1000.51020.020,,Ed Tech,Salaries,"$52,849.45","$48,367.12",,"$37,587.18",,"$96,978.00",$0.00,"($96,978.00)",(100.00)
,1000.2300.1000.52010.020,,Teacher,Benefits,"$21,736.38","$4,790.21",,"$34,785.32",,"$37,614.00","$43,774.00","$6,160.00",16.38
,1000.2300.1000.52020.020,,Ed Tech,Benefits,"$26,654.85","$6,256.39",,,"$5,387.73","$41,185.00",$0.00,"($41,185.00)",(100.00)
,1000.2300.1000.52310.020,,Retirement,,"$2,404.20",,$585.66,,"$4,929.43","$5,339.00","$5,187.00",($152.00),(2.85)
,1000.2300.1000.52320.020,,Retirement,,"$2,198.50",,$561.14,,"$1,438.37",$0.00,$0.00,$0.00,0.00
Program:,SELF,CONTAINED,CLASS,PLACEMENT - 2300,"$163,636.18","$127,255.25",,"$209,089.41",,"$309,473.00","$165,011.00","($144,462.00)",(46.68)
Function:,REGULAR,INSTRUCTION,- 1000,,"$593,129.11","$424,407.50",,"$294,425.06",,"$392,042.00","$460,021.00","$67,979.00",17.34
,1000.2800.2110.51010.020,,Social,Worker Salary,"$67,888.08","$33,721.89",,"$35,007.21",,"$36,874.00","$38,165.00","$1,291.00",3.50
,1000.2800.2110.52010.020,,Social,Worker Benefits,"$16,978.76","$1,777.42",,,"$7,798.63","$7,997.00","$10,609.00","$2,612.00",32.66
,Page 16,of 80,,,,,,,,,,,
