,,,RSU,No.,5,,,,,,
Article,3,CTE- Adopted,,,,,,,,,
From,Date:,7/1/2025 To Date:,6/30/2026 Definition: FY26,Adopted,,,,,,,
,,,,,,,,FY26,Dollar,,Percent
,,,FY22 Actual,FY23,Actual FY24,Actual FY25,Adopted,,Difference,,Difference
,,,,,,,,Adopted,,,
,Account,,Description,,,,,,,,
,1000.3000.1000.55640.300,MVR 10,"Assessment $142,979.04",,"$184,596.00","$272,017.00","$289,668.00","$307,645.00","$17,977.00",,6.21
Program:,CAREER,& TECH ED - 3000,"$142,979.04",,"$184,596.00","$272,017.00","$289,668.00","$307,645.00","$17,977.00",,6.21
Function:,REGULAR,INSTRUCTION - 1000,"$142,979.04",,"$184,596.00","$272,017.00","$289,668.00","$307,645.00","$17,977.00",,6.21
Cost,Center:,FREEPORT HIGH SCHOOL - 300,"$142,979.04",,"$184,596.00","$272,017.00","$289,668.00","$307,645.00","$17,977.00",,6.21
Grand,Total:,,"$142,979.04",,"$184,596.00","$272,017.00","$289,668.00","$307,645.00","$17,977.00",,6.21
,,,End,of Report,,,,,,,
,Adopted,04/09/2025,,,,,,,,Page 36 of 91,
