,,,,,,RSU,No.,5,,,,,,
Article,10,Debt Service-,Adopted,,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.5100.58310.900,,Principal Payments-State,Supported,"$995,302.00",$0.00,"$995,302.00",,$0.00,$0.00,"$995,302.00",$0.00,"$995,302.00",100.00%
,,,Debt,,,,,,,,,,,
,1000.0000.5100.58320.900,,Interest Payments-State,Supported,"$92,126.00",$0.00,"$92,126.00",,$0.00,$0.00,"$92,126.00",$0.00,"$92,126.00",100.00%
,,,Debt,,,,,,,,,,,
,,,Program: OVERHEAD,- 0000,"$1,087,428.00",$0.00,"$1,087,428.00",,$0.00,$0.00,"$1,087,428.00",$0.00,"$1,087,428.00",100.00%
,Function:,STATE,SUPPORTED DEBT,SERVICE - 5100,"$1,087,428.00",$0.00,"$1,087,428.00",,$0.00,$0.00,"$1,087,428.00",$0.00,"$1,087,428.00",100.00%
,,,Cost Center: SYSTEM,WIDE - 900,"$1,087,428.00",$0.00,"$1,087,428.00",,$0.00,$0.00,"$1,087,428.00",$0.00,"$1,087,428.00",100.00%
Grand,Total:,,,,"$1,087,428.00",$0.00,"$1,087,428.00",,$0.00,$0.00,"$1,087,428.00",$0.00,"$1,087,428.00",100.00%
,,,,,,End,of Report,,,,,,,
