,,,,,RSU,No.,5,,,,
,Article 3,CTE -,Adopted,,,,,,,,
From,Date:,3/22/2023,,To Date: 3/22/2023,Definition:,FY24,Proposed,,,,
,,,,,,,,,,,Percentage
,,,,,FY20 Actual FY21 Actual,,FY22 Actual,,,Dollar Difference,Difference
,,,,,,,,,FY23 Adopted FY24,Adopted,
,Account,,,Description,,,,,,,
,1000.3000.1000.55640.300,,MVR,10 Assessment,"$99,418.85 $101,705.42",,"$142,979.04",,"$184,596.00","$272,017.00 $87,421.00",47.36
Grand,Total:,,,,"$99,418.85 $101,705.42",,"$142,979.04",,"$184,596.00","$272,017.00 $87,421.00",47.36
,,,,,End,of Report,,,,,
,,03/22/2023,,,,,,,,,Page 22
